Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:51:00,,Siebter Spieler eingewechselt GWD Minden.,GWD Minden,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
59:44:00,,"Parade von Malte Semisch, Juri Knorr vergibt von der 7-Meter Linie!",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
59:40:00,,Es gibt eine 2 Minuten Strafe für Philipp Ahouansou (GWD Minden).,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
59:06:00,29:40:00,"Neuer Spielstand in Minden, 29:40 durch den Treffer 6M von Philipp Ahouansou für GWD Minden.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:59:00,,Überragende Parade des Torwarts Malte Semisch (GWD Minden)! Benjamin Helander kann den Ball nicht im Tor unterbringen!,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:11:00,,Zeitstrafe vorbei Rhein-Neckar Löwen.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
58:07:00,28:40:00,Mohamed Amine Darmoul (GWD Minden) trifft von (6M). Neuer Spielstand in Kampa-Halle: 28:40.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,1,0,0
57:51:00,,Zeitstrafe vorbei GWD Minden.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
57:30:00,,Philipp Ahouansou (GWD Minden) scheitert am Torwart Mikael Appelgren (Rhein-Neckar Löwen).,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
57:03:00,,"Tor Niklas Michalski, Rhein-Neckar Löwen.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:59:00,,Mikael Appelgren (Rhein-Neckar Löwen) hält den Wurf von Philipp Ahouansou.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:45:00,,Siebter Spieler eingewechselt GWD Minden.,GWD Minden,Rhein-Neckar Löwen,0,0,1,0,1,1,0,0
56:42:00,,Rhein-Neckar Löwen wechselt den Torwart. Mikael Appelgren kommt für Joel Birlehm.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:38:00,27:39:00,"Neuer Spielstand in Minden, 27:39 durch den Treffer von Juri Knorr für Rhein-Neckar Löwen.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:30:00,,Siebter Spieler eingewechselt Rhein-Neckar Löwen.,GWD Minden,Rhein-Neckar Löwen,0,0,0,1,1,1,0,0
56:11:00,27:38:00,"Tor von der 7-Meter Linie von Tomas Urban (GWD Minden), neuer Spielstand 27:38.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:08:00,,Torwartwechsel bei Rhein-Neckar Löwen. Joel Birlehm kommt für Mikael Appelgren.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,0,0
56:08:00,,"Nach einem harten Foul hat Robert Timmermeister (Rhein-Neckar Löwen) nun zwei Minuten Zeit, um sich auszuruhen.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,1,1,0
55:42:00,,Siebter Spieler eingewechselt GWD Minden.,GWD Minden,Rhein-Neckar Löwen,0,0,1,0,1,0,0,0
55:36:00,26:38:00,"Parade des Torwarts von Rhein-Neckar Löwen, Mikael Appelgren.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,0,0,0
55:30:00,,55:03:00 Mathias Bitsch (GWD Minden) erhält eine 2 Minuten Strafe.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,1,0,0,1
55:01:00,26:37:00,"Neuer Spielstand in Minden, 26:37 durch den Treffer 6M von Robert Timmermeister für Rhein-Neckar Löwen.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:01:00,,Parade von Torwart Mikael Appelgren (Rhein-Neckar Löwen).,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:36:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren pariert den Wurf.",GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
53:50:00,26:36:00,Tor (6M)! Ymir Örn Gislason (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 26:36.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:58:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
52:28:00,,52:08:00 Auszeit GWD Minden.,GWD Minden,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
51:50:00,,Tor! Niclas Kirkelokke (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 26:35.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
51:22:00,26:34:00,Mathias Bitsch (GWD Minden) trifft zum Spielstand von 26:34 in Kampa-Halle.,GWD Minden,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
