,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Maciej Gebala blockt den Wurf von Philipp Ahouansou.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
2,59:48:00,,Auszeit GWD Minden,GWD Minden,SC DHfK Leipzig,1,0,0,0,0,0,0,0
3,59:48:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,SC DHfK Leipzig,0,0,1,0,0,0,0,0
4,59:31:00,,Auszeit SC DHfK Leipzig,GWD Minden,SC DHfK Leipzig,0,1,0,0,0,0,0,0
5,59:15:00,28:29:00,Philipp Ahouansou (GWD Minden) überwindet den Torwart zum neuen Spielstand von 28:29.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
6,58:36:00,27:29:00,"Neuer Spielstand in Minden, 27:29 durch den Treffer von Mathias Bitsch für GWD Minden.",GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
7,58:31:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
8,58:28:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
9,57:40:00,,Tomas Urban mit dem Lattenkracher. Was für ein Pech.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
10,57:33:00,,Überragende Parade des Torwarts Malte Semisch (GWD Minden)! Matej Klima kann den Ball nicht im Tor unterbringen!,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
11,57:11:00,,SC DHfK Leipzig wechselt den Torwart. Mohamed Essam Moustafa El-Tayar kommt für Kristian Sæverås.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
12,56:59:00,26:29:00,Florian Kranzmann (GWD Minden) trifft von der 7-Meter Linie und bringt den Spielstand auf 26:29.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
13,56:55:00,,Torwartwechsel bei SC DHfK Leipzig. Kristian Sæverås kommt für Mohamed Essam Moustafa El-Tayar.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
14,56:41:00,25:29:00,Tor (6M)! Matej Klima (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 25:29.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
15,55:47:00,,Philipp Ahouansou (GWD Minden) trifft die Latte.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
16,55:11:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Sime Ivic.",GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
17,54:05:00,,Tim Matthes von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
18,53:57:00,,"Block von Simon Ernst, der den Torwurf von Mathias Bitsch verhindert.",GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
19,53:01:00,,Sime Ivic von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
20,51:58:00,,"Der Torwart von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar hält den Wurf von Mathias Bitsch.",GWD Minden,SC DHfK Leipzig,0,0,0,0,0,0,0,0
