,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:57:00,,Max Staar (GWD Minden) überwindet den Torwart zum neuen Spielstand von 18:34.,GWD Minden,THW Kiel,0,0,0,0,0,0,0,0
2,59:43:00,17:34,"Neuer Spielstand in Minden, 17:34 durch den Treffer von Luca Alexander Schwormstede für THW Kiel.",GWD Minden,THW Kiel,0,0,0,0,0,0,0,0
3,59:24:00,,Siebter Spieler eingewechselt THW Kiel,GWD Minden,THW Kiel,0,0,0,1,0,0,0,0
4,59:02:00,,Der Wurf von Mathias Bitsch (GWD Minden) landet hinter dem Tor.,GWD Minden,THW Kiel,0,0,0,0,0,0,0,0
5,58:20:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,THW Kiel,0,0,0,0,1,0,0,0
6,58:13:00,,"Parade des Torwarts von GWD Minden, Yahav Shamir.",GWD Minden,THW Kiel,0,0,0,0,1,0,0,0
7,57:22:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,THW Kiel,0,0,1,0,1,0,0,0
8,57:10:00,17:33,Patrick Wiencek (THW Kiel) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 17:33.,GWD Minden,THW Kiel,0,0,0,0,1,0,0,0
9,56:39:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,THW Kiel,0,0,1,0,1,0,0,0
10,56:30:00,17:32,"Neuer Spielstand in Minden, 17:32 durch den Treffer 6M von Miha Zarabec für THW Kiel.",GWD Minden,THW Kiel,0,0,0,0,1,0,0,0
11,56:12:00,,Justus Nicolas Richtzenhain (GWD Minden) erhält eine Rote Karte.,GWD Minden,THW Kiel,0,0,0,0,1,0,0,1
12,56:03:00,,Carles Asensio Cambra von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,THW Kiel,0,0,0,0,0,0,0,0
13,55:53:00,,"Wurf von Patrick Wiencek (THW Kiel), aber der Ball landet nur am Pfosten.",GWD Minden,THW Kiel,0,0,0,0,0,0,0,0
14,55:28:00,,Siebter Spieler eingewechselt THW Kiel,GWD Minden,THW Kiel,0,0,0,1,0,0,0,0
