Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,31:35:00,Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 31:35.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:28:00,,Parade von Torwart Jens Vortmann (Handball Sport Verein Hamburg).,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:54:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Casper Ulrich Mortensen.",GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:27:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
58:22:00,31:34:00,Philipp Ahouansou (GWD Minden) trifft von (RR/fern). Neuer Spielstand in MERKUR Arena: 31:34.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
58:06:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
57:57:00,30:34:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart von (RA) zum neuen Spielstand von 30:34.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
57:19:00,30:33:00,"Neuer Spielstand in Lübbecke, 30:33 durch den Treffer 6M von Besard Hakaj für GWD Minden.",GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
56:43:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
56:35:00,,"Neuer Spielstand in Lübbecke, 29:33 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
56:23:00,,Sveinn Johannsson (GWD Minden) erhält eine Rote Karte.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
56:23:00,,Sveinn Johannsson geht den Gegner zu stark an. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
55:38:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
55:32:00,29:32:00,Philipp Ahouansou (GWD Minden) überwindet den Torwart zum neuen Spielstand von 29:32.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
55:30:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,1,0,1,0,0,0
55:05:00,28:32:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
54:22:00,,Auszeit Handball Sport Verein Hamburg,GWD Minden,Handball Sport Verein Hamburg,0,1,0,0,1,0,0,0
53:54:00,28:31:00,Tor (6M)! Philipp Ahouansou (GWD Minden) netzt ein zum neuen Spielstand von 28:31.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
53:34:00,,Mohamed Amine Darmoul (GWD Minden) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
53:33:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
53:31:00,27:31:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in MERKUR Arena: 27:31.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:38:00,27:30:00,Tor! Nicolai Theilinger (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 27:30.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:12:00,27:29:00,Sveinn Johannsson (GWD Minden) trifft zum Spielstand von 27:29 in MERKUR Arena.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:22:00,,Der Wurfversuch von Frederik Bo Andersen (Handball Sport Verein Hamburg) wurde durch einen Block von Sveinn Johannsson verhindert.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:11:00,26:29:00,Philipp Ahouansou (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 26:29.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:41:00,25:29:00,Mohamed Amine Darmoul (GWD Minden) trifft von (6M). Neuer Spielstand in MERKUR Arena: 25:29.,GWD Minden,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
