Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Fehlwurf von Sveinn Johannsson (GWD Minden).,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
59:26:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,MT Melsungen,0,0,0,0,1,0,0,0
59:22:00,21:28,Timo Kastening (MT Melsungen) trifft von (6M). Neuer Spielstand in MERKUR Arena: 21:28.,GWD Minden,MT Melsungen,0,0,0,0,1,0,0,0
58:56:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,MT Melsungen,0,0,1,0,1,0,0,0
58:49:00,21:27,Tor (6M)! Florian Drosten (MT Melsungen) netzt ein zum neuen Spielstand von 21:27.,GWD Minden,MT Melsungen,0,0,0,0,1,0,0,0
58:21:00,21:26,"Neuer Spielstand in Lübbecke, 21:26 durch den Treffer LA von Florian Kranzmann für GWD Minden.",GWD Minden,MT Melsungen,0,0,0,0,1,0,0,0
57:42:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,MT Melsungen,0,0,1,0,1,0,0,0
57:30:00,,"Domagoj Pavlovic (6M) wirft, jedoch neben das Tor.",GWD Minden,MT Melsungen,0,0,0,0,1,0,0,0
57:15:00,,2-Minuten-Strafe für Mohamed Amine Darmoul. GWD Minden muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,MT Melsungen,0,0,0,0,1,0,0,1
56:12:00,20:26,Timo Kastening (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 20:26.,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
56:07:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Mohamed Amine Darmoul.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
55:51:00,20:25,Tor! Rogerio Moraes Ferreira (MT Melsungen) netzt ein zum neuen Spielstand von 20:25.,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
55:04:00,,"Der Torwart von MT Melsungen, Nebojsa Simic hält den Wurf von Tomas Urban.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
54:49:00,20:24,Kai Häfner (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 20:24.,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
54:21:00,20:23,"Neuer Spielstand in Lübbecke, 20:23 durch den Treffer von Florian Kranzmann für GWD Minden.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
54:13:00,,"Der Torwart von GWD Minden, Malte Semisch pariert den Wurf.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
53:29:00,,Auszeit MT Melsungen,GWD Minden,MT Melsungen,0,1,0,0,0,0,0,0
52:57:00,19:23,"Tor nach Tempogegenstoß. Die Abwehr von GWD Minden steht gut, und Mohamed Amine Darmoul trifft souverän zum 19:23.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
52:46:00,18:23,Kai Häfner (MT Melsungen) tankt sich durch und erzielt einen Treffer zum 18:23.,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
52:01:00,,Mathias Bitsch (GWD Minden) scheitert am Torwart Nebojsa Simic (MT Melsungen).,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
51:51:00,,"Gute Torchance, aber André Gomes (MT Melsungen) kann diese nicht erfolgreich verwandeln.",GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
51:22:00,18:22,Tor (6M)! Florian Kranzmann (GWD Minden) netzt ein zum neuen Spielstand von 18:22.,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
51:22:00,,Überragende Parade des Torwarts Nebojsa Simic (MT Melsungen)! Sveinn Johannsson kann den Ball nicht im Tor unterbringen!,GWD Minden,MT Melsungen,0,0,0,0,0,0,0,0
51:21:00,,Zeitstrafe vorbei MT Melsungen,GWD Minden,MT Melsungen,0,0,0,0,0,1,0,0
51:11:00,,Malte Semisch (GWD Minden) hält den Wurf von Kai Häfner.,GWD Minden,MT Melsungen,0,0,0,0,0,1,0,0
50:16:00,,Siebter Spieler eingewechselt MT Melsungen,GWD Minden,MT Melsungen,0,0,0,1,0,1,0,0
50:08:00,17:22,Florian Kranzmann (GWD Minden) trifft von (LA). Neuer Spielstand in MERKUR Arena: 17:22.,GWD Minden,MT Melsungen,0,0,0,0,0,1,0,0
49:56:00,,Agustin Casado Marcelo von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,MT Melsungen,0,0,0,0,0,1,0,0
49:50:00,,"Parade des Torwarts von GWD Minden, Malte Semisch.",GWD Minden,MT Melsungen,0,0,0,0,0,1,0,0
49:25:00,,Siebter Spieler eingewechselt MT Melsungen,GWD Minden,MT Melsungen,0,0,0,1,0,1,0,0
