Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,30:44:00,Magnus Saugstrup (SC Magdeburg) trifft von (6M). Neuer Spielstand in MERKUR Arena: 30:44.,GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
59:14:00,30:43:00,"Neuer Spielstand in Lübbecke, 30:43 durch den Treffer von Christian O'Sullivan für SC Magdeburg.",GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
59:12:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
58:55:00,30:42:00,"Neuer Spielstand in Lübbecke, 30:42 durch den Treffer 6M von Matthias Musche für SC Magdeburg.",GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
58:49:00,30:41:00,Tor! Magnus Holpert (GWD Minden) netzt ein zum neuen Spielstand von 30:41.,GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
58:38:00,29:41:00,Magnus Saugstrup (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 29:41.,GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
58:16:00,,Fehlwurf von Doruk Pehlivan (GWD Minden).,GWD Minden,SC Magdeburg,0,0,0,0,0,0,0,0
57:39:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
57:29:00,29:40:00,Matthias Musche (SC Magdeburg) trifft zum Spielstand von 29:40 in MERKUR Arena.,GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
57:19:00,,Mike Jensen (SC Magdeburg) hält den Wurf von Doruk Pehlivan.,GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
56:58:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
56:09:00,29:39:00,"Neuer Spielstand in Lübbecke, 29:39 durch den Treffer 6M von Matthias Musche für SC Magdeburg.",GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
55:42:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,SC Magdeburg,0,0,1,0,1,0,0,0
55:34:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Christian O'Sullivan.",GWD Minden,SC Magdeburg,0,0,0,0,1,0,0,0
