Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Kevin Møller (SG Flensburg-Handewitt) mit einer Parade.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:51:00,27:41:00,Lasse Kjær Møller (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 27:41.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:31:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Florian Kranzmann.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
59:25:00,,Tomas Urban (GWD Minden) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:54:00,27:40:00,Tor (6M)! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 27:40.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:41:00,27:39:00,"Neuer Spielstand in Lübbecke, 27:39 durch den Treffer 6M von Lasse Kjær Møller für SG Flensburg-Handewitt.",GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
58:04:00,27:38:00,58:04:00 27:38:00 Tomas Urban (GWD Minden) überwindet den Torwart von (6M) zum neuen Spielstand von 27:38.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
57:28:00,26:38:00,"Neuer Spielstand in Lübbecke, 26:38 durch den Treffer von Florian Kranzmann für GWD Minden.",GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:50:00,25:38:00,56:50:00 25:38:00 Magnus Holpert (GWD Minden) trifft von (6M). Neuer Spielstand in MERKUR Arena: 25:38.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:21:00,,"Chance für Emil Jakobsen (SG Flensburg-Handewitt), er trifft aber nur den Pfosten.",GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:55:00,,55:55:00 Florian Kranzmann (GWD Minden) trifft nur den Pfosten.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:35:00,24:38:00,55:35:00 24:38:00 Sveinn Johannsson (GWD Minden) trifft zum Spielstand von 24:38 in MERKUR Arena.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
55:25:00,,55:25:00 Yahav Shamir (GWD Minden) hält den Wurf von Franz Semper.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:58:00,23:38,Tor! Magnus Holpert (GWD Minden) netzt ein zum neuen Spielstand von 23:38.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:26:00,22:38,Teitur Örn Einarsson (SG Flensburg-Handewitt) überwindet den Torwart von (RA) zum neuen Spielstand von 22:38.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:13:00,22:37,54:13:00 22:37 Tomas Urban (GWD Minden) trifft zum Spielstand von 22:37 in MERKUR Arena.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
53:29:00,21:37,Tor (6M)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 21:37.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
53:21:00,21:36,53:21:00 21:36 Doruk Pehlivan (GWD Minden) überwindet den Torwart zum neuen Spielstand von 21:36.,GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
53:10:00,20:36,"Neuer Spielstand in Lübbecke, 20:36 durch den Treffer 6M von Franz Semper für SG Flensburg-Handewitt.",GWD Minden,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
