Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Wurf von Emil Buhl Lærke (TBV Lemgo Lippe) landet hinter dem Tor.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:48:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
59:34:00,36:35:00,Der 7-Meter wurde von Mats Korte (GWD Minden) erfolgreich verwandelt.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:08:00,,Auszeit GWD Minden,GWD Minden,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
35:35:00,,Tor! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 35:35.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:44:00,35:35:00,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
58:10:00,35:34:00,Mathias Bitsch (GWD Minden) trifft zum Spielstand von 35:34 in MERKUR Arena.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:31:00,,Samuel Zehnder (TBV Lemgo Lippe) scheitert am Torwart Malte Semisch (GWD Minden).,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:16:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
57:02:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:29:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
56:24:00,34:34:00,Tor (6M)! Mats Korte (GWD Minden) netzt ein zum neuen Spielstand von 34:34.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:48:00,33:34:00,Samuel Zehnder (TBV Lemgo Lippe) trifft von (LA). Neuer Spielstand in MERKUR Arena: 33:34.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:07:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
54:38:00,,"Neuer Spielstand in Lübbecke, 33:33 durch den Treffer 6M von Niels Gerardus Versteijnen für TBV Lemgo Lippe.",GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:34:00,,Der Wurfversuch von Mohamed Amine Darmoul (GWD Minden) wurde durch einen Block von Gedeon Guardiola verhindert.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:29:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
54:08:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
53:56:00,,"Neuer Spielstand in Lübbecke, 33:32 durch den Treffer 6M von Niels Gerardus Versteijnen für TBV Lemgo Lippe.",GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
53:54:00,,TBV Lemgo Lippe wechselt den Torwart. Urh Kastelic kommt für Finn Zecher.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
53:22:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
53:07:00,,"Neuer Spielstand in Lübbecke, 33:31 durch den Treffer von Samuel Zehnder für TBV Lemgo Lippe.",GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
52:55:00,33:30:00,Philipp Ahouansou (GWD Minden) überwindet den Torwart zum neuen Spielstand von 33:30.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
52:32:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
52:26:00,,Maximilian Janke (GWD Minden) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
52:25:00,32:30:00,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 32:30.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:57:00,,Auszeit TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
51:56:00,32:29:00,Doruk Pehlivan (GWD Minden) trifft zum Spielstand von 32:29 in MERKUR Arena.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:21:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
51:09:00,31:29:00,Die Vorbereitung von Mathias Bitsch (GWD Minden) führt zum Treffer durch Sveinn Johannsson.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
50:37:00,,Tor (6M)! Frederik Simak (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 30:29.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
50:26:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,GWD Minden,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
50:14:00,30:28:00,Tor! Mathias Bitsch (GWD Minden) netzt ein zum neuen Spielstand von 30:28.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
49:28:00,29:28:00,Tim Suton (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in MERKUR Arena: 29:28.,GWD Minden,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
