Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:56:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic hält den Wurf von Tomas Urban.",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
59:43:00,,Zeitstrafe vorbei TVB Stuttgart,GWD Minden,TVB Stuttgart,0,0,0,0,0,1,0,0
59:29:00,23:29,"Neuer Spielstand in Minden, 23:29 durch den Treffer von Patrick Zieker für TVB Stuttgart.",GWD Minden,TVB Stuttgart,0,0,0,0,0,1,0,0
59:26:00,,Yahav Shamir (GWD Minden) bleibt Sieger im 7-Meter-Duell gegen Jorge Serrano Villalobos (TVB Stuttgart).,GWD Minden,TVB Stuttgart,0,0,0,0,0,1,0,0
58:50:00,,Der Wurf von TVB Stuttgart wurde geblockt.,GWD Minden,TVB Stuttgart,0,0,0,0,0,1,0,0
57:57:00,,Siebter Spieler eingewechselt TVB Stuttgart,GWD Minden,TVB Stuttgart,0,0,0,1,0,1,0,0
57:47:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade beim 7-Meter.,GWD Minden,TVB Stuttgart,0,0,0,0,0,1,0,0
57:43:00,,Max Häfner geht den Gegner zu stark an. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,GWD Minden,TVB Stuttgart,0,0,0,0,0,1,1,0
57:29:00,23:28,Max Häfner (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 23:28.,GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
57:13:00,,Siebter Spieler eingewechselt TVB Stuttgart,GWD Minden,TVB Stuttgart,0,0,0,1,0,0,0,0
57:05:00,,Auszeit TVB Stuttgart,GWD Minden,TVB Stuttgart,0,1,0,0,0,0,0,0
57:00:00,,Siebter Spieler eingewechselt TVB Stuttgart,GWD Minden,TVB Stuttgart,0,0,0,1,0,0,0,0
56:47:00,,Miljan Vujovic (TVB Stuttgart) hält den Wurf von Mohamed Amine Darmoul.,GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
56:25:00,,"Der Torwart von GWD Minden, Yahav Shamir pariert den Wurf.",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
55:51:00,23:27,"Neuer Spielstand in Minden, 23:27 durch den Treffer 6M von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
55:09:00,22:27,Egon Hanusz (TVB Stuttgart) trifft zum Spielstand von 22:27 in Kampa-Halle.,GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
54:37:00,22:26,"Tor Mats Korte, GWD Minden",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
54:36:00,,"Block von Mats Korte, der den Torwurf von Jerome Müller verhindert.",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
54:28:00,,Siebter Spieler eingewechselt TVB Stuttgart,GWD Minden,TVB Stuttgart,0,0,0,1,0,0,0,0
54:08:00,,"Parade des Torwarts von TVB Stuttgart, Miljan Vujovic.",GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
52:59:00,21:26,Tomas Urban (GWD Minden) trifft von (RM/fern). Neuer Spielstand in Kampa-Halle: 21:26.,GWD Minden,TVB Stuttgart,0,0,0,0,0,0,0,0
