Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
58:49:00,,"Parade des Torwarts von GWD Minden, Malte Semisch.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
58:11:00,,Mathias Bitsch von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
57:43:00,38:38:00,Lukas Blohme (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 38:38.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
57:36:00,38:37:00,"Neuer Spielstand in Lübbecke, 38:37 durch den Treffer RM/fern von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
57:20:00,,Auszeit GWD Minden,GWD Minden,VfL Gummersbach,1,0,0,0,0,0,0,0
57:01:00,37:37:00,Tor! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 37:37.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
56:52:00,,"Max Staar (RA) wirft, jedoch neben das Tor.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
56:35:00,,Tom Kiesler blockt den Wurf von Doruk Pehlivan.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
55:09:00,37:36:00,Der 7-Meter wurde von Dominik Mappes (VfL Gummersbach) erfolgreich verwandelt.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
54:01:00,,"Parade des Torwarts von GWD Minden, Malte Semisch.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
53:36:00,,Auszeit VfL Gummersbach,GWD Minden,VfL Gummersbach,0,1,0,0,0,0,0,0
53:35:00,37:35:00,Tor (6M)! Tomas Urban (GWD Minden) netzt ein zum neuen Spielstand von 37:35.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
53:27:00,,Malte Semisch (GWD Minden) mit einer Parade.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
52:58:00,36:35:00,"Tor von der 7-Meter Linie von Mohamed Amine Darmoul (GWD Minden), neuer Spielstand 36:35.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
52:37:00,35:35:00,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 35:35 in MERKUR Arena.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
52:30:00,35:34:00,Sveinn Johannsson (GWD Minden) überwindet den Torwart zum neuen Spielstand von 35:34.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
51:52:00,34:34:00,"Neuer Spielstand in Lübbecke, 34:34 durch den Treffer von Julian Köster für VfL Gummersbach.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
51:30:00,,Zeitstrafe vorbei VfL Gummersbach,GWD Minden,VfL Gummersbach,0,0,0,0,0,1,0,0
51:19:00,34:33:00,"Tor Max Staar, GWD Minden",GWD Minden,VfL Gummersbach,0,0,0,0,0,1,0,0
51:13:00,,"Der Torwart von GWD Minden, Malte Semisch hält den Wurf von Jonas Stüber.",GWD Minden,VfL Gummersbach,0,0,0,0,0,1,0,0
50:57:00,,Siebter Spieler eingewechselt VfL Gummersbach,GWD Minden,VfL Gummersbach,0,0,0,1,0,1,0,0
50:43:00,33:33:00,Florian Kranzmann (GWD Minden) trifft von (RM/fern). Neuer Spielstand in MERKUR Arena: 33:33.,GWD Minden,VfL Gummersbach,0,0,0,0,0,1,0,0
50:09:00,,Siebter Spieler eingewechselt VfL Gummersbach,GWD Minden,VfL Gummersbach,0,0,0,1,0,1,0,0
49:49:00,32:33:00,Tor (6M)! Jonas Stüber (VfL Gummersbach) netzt ein zum neuen Spielstand von 32:33.,GWD Minden,VfL Gummersbach,0,0,0,0,0,1,0,0
49:25:00,,Ole Pregler (VfL Gummersbach) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,GWD Minden,VfL Gummersbach,0,0,0,0,0,1,1,0
49:24:00,32:32:00,"Neuer Spielstand in Lübbecke, 32:32 durch den Treffer von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
48:15:00,31:32:00,Dominik Mappes (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 31:32.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
47:25:00,,"Der Trainer von VfL Gummersbach, Gudjon Valur Sigurdsson stellt nun Fabian Norsten zwischen die Pfosten.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
47:15:00,31:31:00,Mohamed Amine Darmoul (GWD Minden) trifft von der 7-Meter Linie.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
46:59:00,,VfL Gummersbach wechselt den Torwart. Tibor Ivanisevic kommt für Fabian Norsten.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
46:02:00,,Zeitstrafe vorbei GWD Minden,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,0
45:57:00,,Lukas Blohme (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 30:31.,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,0
45:32:00,30:30:00,Mohamed Amine Darmoul (GWD Minden) trifft von (6M). Neuer Spielstand in MERKUR Arena: 30:30.,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,0
45:02:00,29:30:00,Mohamed Amine Darmoul (GWD Minden) trifft von der 7-Meter Linie und bringt den Spielstand auf 29:30.,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,0
44:19:00,,Siebter Spieler eingewechselt GWD Minden,GWD Minden,VfL Gummersbach,0,0,1,0,1,0,0,0
44:06:00,,Jonas Stüber (VfL Gummersbach) scheitert am Torwart Malte Semisch (GWD Minden).,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,0
43:55:00,,Florian Kranzmann (GWD Minden) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,GWD Minden,VfL Gummersbach,0,0,0,0,1,0,0,1
43:46:00,,Parade von Torwart Fabian Norsten (VfL Gummersbach).,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
43:21:00,,Fabian Norsten (VfL Gummersbach) hält den Wurf von Mohamed Amine Darmoul.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
43:09:00,28:30:00,"Neuer Spielstand in Lübbecke, 28:30 durch den Treffer 6M von Miro Schluroff für VfL Gummersbach.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
42:37:00,,"28:29:00 Neuer Spielstand in Lübbecke, 28:29 durch den Treffer von Mohamed Amine Darmoul für GWD Minden.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
42:32:00,,Mathis Häseler (VfL Gummersbach) trifft nur den Pfosten.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
42:26:00,28:29:00,Doruk Pehlivan (GWD Minden) trifft zum Spielstand von 27:29 in MERKUR Arena.,GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
41:58:00,26:29:00,"Neuer Spielstand in Lübbecke, 26:29 durch den Treffer von Hakon Dadi Styrmisson für VfL Gummersbach.",GWD Minden,VfL Gummersbach,0,0,0,0,0,0,0,0
41:32:00,,Auszeit GWD Minden,GWD Minden,VfL Gummersbach,1,0,0,0,0,0,0,0
