,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:49:00,34:28:00,Tor (RA)! Hampus Olsson (HC Erlangen) netzt ein zum neuen Spielstand von 34:28.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
2,59:30:00,,Blaz Blagotinsek (FRISCH AUF! Göppingen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
3,58:51:00,,Fehlwurf von Josip Sarac (FRISCH AUF! Göppingen).,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
4,58:35:00,,Manuel Zehnder (HC Erlangen) trifft nur den Pfosten.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
5,58:12:00,33:28:00,"Neuer Spielstand in Nürnberg, 33:28 durch den Treffer RA von Axel Goller für FRISCH AUF! Göppingen.",HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
6,57:40:00,33:27:00,"Tor von der 7-Meter Linie von Marcel Schiller (FRISCH AUF! Göppingen), neuer Spielstand 33:27.",HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
7,56:44:00,33:26:00,Hampus Olsson (HC Erlangen) überwindet den Torwart von (RA) zum neuen Spielstand von 33:26.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
8,55:46:00,32:26:00,Tor! Josip Sarac (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 32:26.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
9,55:06:00,32:25:00,Simon Jeppsson (HC Erlangen) trifft zum Spielstand von 32:25 in Arena Nürnberger Versicherung.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
10,54:15:00,31:25:00,David Schmidt (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 31:25.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
11,53:43:00,31:24:00,Manuel Zehnder (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 31:24.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
12,52:25:00,,Christoph Steinert blockt den Wurf von Tobias Ellebaek.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
13,51:59:00,,Bertram Obling (HC Erlangen) hält den Wurf von Tobias Ellebaek.,HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
14,51:21:00,30:24:00,"Neuer Spielstand in Nürnberg, 30:24 durch den Treffer von Tim Zechel für HC Erlangen.",HC Erlangen,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
15,51:17:00,,Auszeit FRISCH AUF! Göppingen,HC Erlangen,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
