,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:48:00,28:30:00,Tim Zechel (HC Erlangen) trifft zum Spielstand von 28:30 in Arena Nürnberger Versicherung.,HC Erlangen,Füchse Berlin,0,0,0,0,0,1,0,0
2,59:41:00,27:30:00,"Neuer Spielstand in Nürnberg, 27:30 durch den Treffer 6M von Paul Drux für Füchse Berlin.",HC Erlangen,Füchse Berlin,0,0,0,0,0,1,0,0
3,59:33:00,,Auszeit Füchse Berlin,HC Erlangen,Füchse Berlin,0,1,0,0,0,1,0,0
4,59:08:00,27:29:00,Johannes Sellin (HC Erlangen) überwindet den Torwart von (RA) zum neuen Spielstand von 27:29.,HC Erlangen,Füchse Berlin,0,0,0,0,0,1,0,0
5,58:52:00,,Fabian Wiede (Füchse Berlin) erhält eine 2 Minuten Strafe.,HC Erlangen,Füchse Berlin,0,0,0,0,0,1,1,0
6,58:36:00,26:29:00,Tor! Max Darj (Füchse Berlin) netzt ein zum neuen Spielstand von 26:29.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
7,58:09:00,,"Torwurf von Tim Zechel (HC Erlangen), aber der Ball trifft nur die Latte.",HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
8,58:09:00,,Dejan Milosavljev (Füchse Berlin) hält den Wurf von Christoph Steinert.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
9,57:41:00,,Bertram Obling (HC Erlangen) mit einer Parade.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
10,56:21:00,26:28:00,Tim Zechel (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:28.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
11,56:05:00,,"Gute Torchance, aber Nils Lichtlein (Füchse Berlin) kann diese nicht erfolgreich verwandeln.",HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
12,55:32:00,25:28:00,"Neuer Spielstand in Nürnberg, 25:28 durch den Treffer von Johannes Sellin für HC Erlangen.",HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
13,55:25:00,24:28:00,Milos Vujovic (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 24:28.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
14,54:26:00,24:27:00,Christopher Bissel (HC Erlangen) trifft von (LA). Neuer Spielstand in Arena Nürnberger Versicherung: 24:27.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
15,54:15:00,,"Der Torwart von HC Erlangen, Bertram Obling pariert den Wurf.",HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
16,53:26:00,23:27,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,HC Erlangen,Füchse Berlin,0,0,0,0,0,0,0,0
