,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:29:00,,"Der Torwart von HC Erlangen, Klemen Ferlin hält den Wurf von Hendrik Wagner.",HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
2,59:24:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Jonas Schelker kann den Ball nicht im Tor unterbringen!,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
3,59:20:00,,Siebter Spieler eingewechselt HSG Wetzlar,HC Erlangen,HSG Wetzlar,0,0,0,1,0,0,0,0
4,59:07:00,,"Der Towart von HSG Wetzlar, Till Klimpke pariert den gegebenen 7-Meter.",HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
5,57:58:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,HSG Wetzlar,0,0,1,0,0,0,0,0
6,57:46:00,,"Parade von Klemen Ferlin, Emil Mellegard vergibt von der 7-Meter Linie!",HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
7,57:22:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
8,57:02:00,,Siebter Spieler eingewechselt HSG Wetzlar,HC Erlangen,HSG Wetzlar,0,0,0,1,0,0,0,0
9,56:54:00,31:27:00,Tor! Christopher Bissel (HC Erlangen) netzt ein zum neuen Spielstand von 31:27.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
10,56:39:00,,Der Wurf von HC Erlangen wurde geblockt.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
11,55:57:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,HSG Wetzlar,0,0,1,0,0,0,0,0
12,55:13:00,,Siebter Spieler eingewechselt HSG Wetzlar,HC Erlangen,HSG Wetzlar,0,0,0,1,0,0,0,0
13,55:04:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
14,54:45:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,HSG Wetzlar,0,0,1,0,0,0,0,0
15,54:34:00,,Tim Zechel blockt den Wurf von Hendrik Wagner.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
16,54:10:00,,Siebter Spieler eingewechselt HSG Wetzlar,HC Erlangen,HSG Wetzlar,0,0,0,1,0,0,0,0
17,53:59:00,,Till Klimpke (HSG Wetzlar) mit einer Parade beim 7-Meter.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
18,53:24:00,30:27:00,Radojica Cepic (HSG Wetzlar) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:27.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
19,53:22:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,HSG Wetzlar,0,0,1,0,0,0,0,0
20,52:56:00,,Auszeit HC Erlangen,HC Erlangen,HSG Wetzlar,1,0,0,0,0,0,0,0
21,52:41:00,30:26:00,Domen Novak (HSG Wetzlar) trifft zum Spielstand von 30:26 in Arena Nürnberger Versicherung.,HC Erlangen,HSG Wetzlar,0,0,0,0,0,0,0,0
