,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:56:00,35:29:00,"Neuer Spielstand in Nürnberg, 35:29 durch den Treffer 6M von Johannes Sellin für HC Erlangen.",HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
2,59:23:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
3,59:13:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
4,59:00:00,34:29:00,Tor! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 34:29.,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
5,58:51:00,,Ivan Budalic (Handball Sport Verein Hamburg) mit einer Parade.,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
6,58:38:00,33:29:00,"Neuer Spielstand in Nürnberg, 33:29 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
7,58:27:00,,Christoph Steinert von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
8,57:53:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
9,57:45:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
10,57:44:00,33:28:00,"Neuer Spielstand in Nürnberg, 33:28 durch den Treffer 6M von Christoph Steinert für HC Erlangen.",HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
11,57:26:00,,"Neuer Spielstand in Nürnberg, 32:28 durch den Treffer von Frederik Bo Andersen für Handball Sport Verein Hamburg.",HC Erlangen,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
