Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,Auszeit MT Melsungen,HC Erlangen,MT Melsungen,0,1,0,0,1,1,0,0
59:58:00,,Siebter Spieler eingewechselt MT Melsungen,HC Erlangen,MT Melsungen,0,0,0,1,1,1,0,0
59:57:00,34:34:00,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 34:34.",HC Erlangen,MT Melsungen,0,0,0,0,1,1,0,0
59:53:00,,Agustin Casado Marcelo (MT Melsungen) erhält eine Rote Karte.,HC Erlangen,MT Melsungen,0,0,0,0,1,1,1,0
59:51:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,MT Melsungen,0,0,1,0,1,0,0,0
59:48:00,,Es gibt eine 2 Minuten Strafe für Nico Büdel (HC Erlangen).,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,1
59:24:00,,Auszeit HC Erlangen,HC Erlangen,MT Melsungen,1,0,0,0,0,0,0,0
58:51:00,33:34:00,André Gomes (MT Melsungen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 33:34.,HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
58:21:00,33:33:00,Manuel Zehnder (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 33:33.,HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
57:27:00,32:33:00,Der 7-Meter wurde von Ivan Martinovic (MT Melsungen) erfolgreich verwandelt.,HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
56:34:00,32:32:00,"Neuer Spielstand in Nürnberg, 32:32 durch den Treffer von Simon Jeppsson für HC Erlangen.",HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
56:16:00,,Der Wurf von Aidenas Malasinskas (MT Melsungen) landet hinter dem Tor.,HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
56:01:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,0
55:38:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,0
55:37:00,31:32:00,Simon Jeppsson (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 31:32.,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,0
55:04:00,,Der Wurf von HC Erlangen wurde geblockt.,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,0
53:59:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,MT Melsungen,0,0,1,0,1,0,0,0
53:51:00,,Rogerio Moraes Ferreira von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,0
53:32:00,,Nikolai Link (HC Erlangen) erhält eine 2 Minuten Strafe.,HC Erlangen,MT Melsungen,0,0,0,0,1,0,0,1
52:26:00,,Überragende Parade des Torwarts Nebojsa Simic (MT Melsungen)! Manuel Zehnder kann den Ball nicht im Tor unterbringen!,HC Erlangen,MT Melsungen,0,0,0,0,0,0,0,0
