,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:45:00,,Olle Forsell Schefvert (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 30:33.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
2,59:30:00,,Auszeit Rhein-Neckar Löwen,HC Erlangen,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
3,59:17:00,,"Chance für Christoph Steinert (HC Erlangen), er trifft aber nur den Pfosten.",HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
4,59:02:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
5,58:49:00,30:32:00,"Neuer Spielstand in Nürnberg, 30:32 durch den Treffer von Benjamin Helander für Rhein-Neckar Löwen.",HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
6,58:12:00,30:31:00,Lutz Heiny (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 30:31.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
7,58:03:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
8,57:45:00,29:31:00,Olle Forsell Schefvert (Rhein-Neckar Löwen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 29:31.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
9,56:52:00,29:30:00,"Neuer Spielstand in Nürnberg, 29:30 durch den Treffer RM/fern von Lutz Heiny für HC Erlangen.",HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
10,56:27:00,,Auszeit HC Erlangen,HC Erlangen,Rhein-Neckar Löwen,1,0,0,0,0,0,0,0
11,56:13:00,28:30:00,Mikael Appelgren (Rhein-Neckar Löwen) hält den Wurf von Christoph Steinert.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
12,55:43:00,28:30:00,Tor! Benjamin Helander (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 28:30.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
13,55:32:00,,"Block von Christoph Steinert, der den Torwurf von Juri Knorr verhindert.",HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
14,55:04:00,28:29:00,"Neuer Spielstand in Nürnberg, 28:29 durch den Treffer von Steffen Fäth für HC Erlangen.",HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
15,54:53:00,27:29:00,Niclas Kirkelokke (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 27:29.,HC Erlangen,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
16,54:18:00,,Auszeit Rhein-Neckar Löwen,HC Erlangen,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
