,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,27:34:00,Yannick Fraatz (THW Kiel) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 27:34.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
2,59:40:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,THW Kiel,0,0,1,0,0,0,0,0
3,59:25:00,27:33:00,"Neuer Spielstand in Nürnberg, 27:33 durch den Treffer RA von Yannick Fraatz für THW Kiel.",HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
4,58:52:00,27:32:00,Manuel Zehnder (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 27:32.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
5,58:44:00,26:32:00,"Neuer Spielstand in Nürnberg, 26:32 durch den Treffer von Nikola Bilyk für THW Kiel.",HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
6,58:06:00,26:31:00,Tor (RA)! Christoph Steinert (HC Erlangen) netzt ein zum neuen Spielstand von 26:31.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
7,58:06:00,,Patrick Wiencek mit dem Lattenkracher. Was für ein Pech.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
8,56:40:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,THW Kiel,0,0,1,0,0,0,0,0
9,56:28:00,,"Gute Torchance, aber Rune Dahmke (THW Kiel) kann diese nicht erfolgreich verwandeln.",HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
10,56:04:00,,Niklas Landin (THW Kiel) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
11,55:50:00,,Der eingewechselte Torwart Tomas Mrkva (THW Kiel) steht nun zwischen den Pfosten.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
12,55:47:00,25:31:00,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 25:31.",HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
13,55:34:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,THW Kiel,0,0,1,0,0,0,0,0
14,55:14:00,,Bertram Obling (HC Erlangen) bleibt Sieger im 7-Meter-Duell gegen Niclas Ekberg (THW Kiel).,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
15,54:06:00,,Auszeit THW Kiel,HC Erlangen,THW Kiel,0,1,0,0,0,0,0,0
16,53:55:00,24:31:00,Manuel Zehnder (HC Erlangen) trifft zum Spielstand von 24:31 in Arena Nürnberger Versicherung.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
17,52:47:00,,Tor (RR/fern)! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 23:30.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
18,52:00:00,23:39,Nico Büdel (HC Erlangen) trifft zum Spielstand von 23:29 in Arena Nürnberger Versicherung.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
19,51:52:00,,"Der Torwart von HC Erlangen, Bertram Obling hält den Wurf von Nikola Bilyk.",HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
20,51:15:00,22:39,Christoph Steinert (HC Erlangen) trifft zum Spielstand von 22:29 in Arena Nürnberger Versicherung.,HC Erlangen,THW Kiel,0,0,0,0,0,0,0,0
21,51:01:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,THW Kiel,0,0,1,0,0,0,0,0
