Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:33:00,31:28:00,Tor (RR/fern)! Fynn-Luca Nicolaus (TVB Stuttgart) netzt ein zum neuen Spielstand von 31:28.,HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
59:16:00,,Johannes Sellin von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
58:10:00,,"Wurf von Manuel Zehnder (HC Erlangen), aber der Ball landet nur am Pfosten.",HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
57:45:00,31:27:00,Tor! Jorge Serrano Villalobos (TVB Stuttgart) netzt ein zum neuen Spielstand von 31:27.,HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
57:39:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
57:37:00,31:26:00,Tim Zechel (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 31:26.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
57:00:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,TVB Stuttgart,0,0,1,0,1,0,0,0
56:54:00,30:26:00,Tor! Jorge Serrano Villalobos (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:26.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
56:42:00,30:25:00,Manuel Zehnder (HC Erlangen) trifft zum Spielstand von 30:25 in Arena Nürnberger Versicherung.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
56:00:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,TVB Stuttgart,0,0,1,0,1,0,0,0
55:47:00,,Fynn-Luca Nicolaus (TVB Stuttgart) scheitert am Torwart Klemen Ferlin (HC Erlangen).,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
55:39:00,,Es gibt eine 2 Minuten Strafe für Nico Büdel (HC Erlangen).,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,1
54:59:00,29:25:00,"Neuer Spielstand in Nürnberg, 29:25 durch den Treffer RM/fern von Nico Büdel für HC Erlangen.",HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
54:32:00,,Parade von Torwart Miljan Vujovic (TVB Stuttgart).,HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
54:09:00,,Auszeit HC Erlangen,HC Erlangen,TVB Stuttgart,1,0,0,0,0,0,0,0
53:37:00,,Egon Hanusz von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,TVB Stuttgart,0,0,0,0,0,0,0,0
53:13:00,,Christoph Steinert von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
52:44:00,,Jorge Serrano Villalobos (TVB Stuttgart) trifft die Latte.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
52:10:00,28:25:00,Tor (LA)! Daniel Fernandez Jimenez (TVB Stuttgart) netzt ein zum neuen Spielstand von 28:25.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
51:38:00,,Miljan Vujovic (TVB Stuttgart) hält den Wurf von Lutz Heiny.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
51:27:00,,Der Wurf von HC Erlangen wurde geblockt.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
51:03:00,,Der eingewechselte Torwart Klemen Ferlin (HC Erlangen) steht nun zwischen den Pfosten.,HC Erlangen,TVB Stuttgart,0,0,0,0,1,0,0,0
50:15:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,TVB Stuttgart,0,0,1,0,1,0,0,0
