,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:31:00,,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft von (6M).,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
2,59:07:00,31:36:00,"Neuer Spielstand in Nürnberg, 31:36 durch den Treffer RM/fern von Christoph Steinert für HC Erlangen.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
3,58:34:00,30:36:00,Tor! Tilen Kodrin (VfL Gummersbach) netzt ein zum neuen Spielstand von 30:36.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
4,58:22:00,,"Der Torwart von HC Erlangen, Klemen Ferlin hält den Wurf von Ellidi Snaer Vidarsson.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
5,57:48:00,30:35:00,Tor (6M)! Sebastian Firnhaber (HC Erlangen) netzt ein zum neuen Spielstand von 30:35.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
6,57:35:00,29:35:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft zum Spielstand von 29:35 in Arena Nürnberger Versicherung.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
7,56:42:00,29:34:00,Johannes Sellin (HC Erlangen) trifft von (RA). Neuer Spielstand in Arena Nürnberger Versicherung: 29:34.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
8,56:36:00,28:34:00,Julian Köster (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 28:34.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
9,56:09:00,28:33:00,"Neuer Spielstand in Nürnberg, 28:33 durch den Treffer von Johannes Sellin für HC Erlangen.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
10,55:29:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten pariert den Wurf.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
11,54:54:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,VfL Gummersbach,0,0,1,0,0,0,0,0
12,54:44:00,27:33:00,Lukas Blohme (VfL Gummersbach) überwindet den Torwart von (RA) zum neuen Spielstand von 27:33.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
13,54:12:00,,Fabian Norsten (VfL Gummersbach) hält den Wurf von Yannik Bialowas.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
14,53:33:00,27:32:00,"Neuer Spielstand in Nürnberg, 27:32 durch den Treffer 6M von Finn Schroven für VfL Gummersbach.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
15,52:52:00,27:31:00,Tor! Sebastian Firnhaber (HC Erlangen) netzt ein zum neuen Spielstand von 27:31.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
16,52:45:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,VfL Gummersbach,0,0,1,0,0,0,0,0
17,52:26:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
18,51:52:00,,Überragende Parade des Torwarts Fabian Norsten (VfL Gummersbach)! Christoph Steinert kann den Ball nicht im Tor unterbringen!,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
19,51:36:00,,Auszeit HC Erlangen,HC Erlangen,VfL Gummersbach,1,0,0,0,0,0,0,0
20,51:36:00,,Nun wird Fabian Norsten für VfL Gummersbach im Tor stehen.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
21,51:02:00,,Zeitstrafe vorbei VfL Gummersbach,HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,0,0
22,51:01:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,VfL Gummersbach,0,0,1,0,0,1,0,0
23,50:45:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,0,0
24,50:20:00,,Siebter Spieler eingewechselt VfL Gummersbach,HC Erlangen,VfL Gummersbach,0,0,0,1,0,1,0,0
25,50:07:00,26:31:00,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 26:31.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,0,0
26,49:57:00,,Der Wurf von Tom Jansen (VfL Gummersbach) landet hinter dem Tor.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,0,0
27,49:16:00,,Siebter Spieler eingewechselt VfL Gummersbach,HC Erlangen,VfL Gummersbach,0,0,0,1,0,1,0,0
28,49:06:00,,Tim Zechel von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,0,0
29,48:48:00,,"Nach einem harten Foul hat Lukas Blohme (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,1,1,0
30,48:07:00,25:31:00,"Neuer Spielstand in Nürnberg, 25:31 durch den Treffer von Ellidi Snaer Vidarsson für VfL Gummersbach.",HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
31,47:57:00,25:30:00,Nico Büdel (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 25:30.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
32,47:21:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,VfL Gummersbach,0,0,1,0,0,0,0,0
33,47:10:00,24:30:00,Miro Schluroff (VfL Gummersbach) trifft zum Spielstand von 24:30 in Arena Nürnberger Versicherung.,HC Erlangen,VfL Gummersbach,0,0,0,0,0,0,0,0
34,46:49:00,,Auszeit VfL Gummersbach,HC Erlangen,VfL Gummersbach,0,1,0,0,0,0,0,0
