Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:54:00,37:27:00,Justin Kurch (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 37:27.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:43:00,36:27:00,Tor! Savvas Savvas (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 36:27.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:32:00,36:26:00,Antonio Metzner (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 36:26.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:08:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:52:00,,"Chance für Jan Von Boenigk (ASV Hamm-Westfalen), er trifft aber nur den Pfosten.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:11:00,,Lutz Heiny (HC Erlangen) scheitert am Torwart Vladimir Bozic (ASV Hamm-Westfalen).,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:00:00,35:26:00,Alexander Schulze (ASV Hamm-Westfalen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 35:26.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:43:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:32:00,,Savvas Savvas von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:20:00,35:25:00,Lutz Heiny (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 35:25.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:48:00,,"Parade von Klemen Ferlin, Fabian Huesmann vergibt von der 7-Meter Linie!",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:36:00,34:25:00,Lutz Heiny (HC Erlangen) trifft zum Spielstand von 34:25 in Arena Nürnberger Versicherung.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:05:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:25:00,,"Der Torwart von ASV Hamm-Westfalen, Vladimir Bozic hält den Wurf von Sebastian Firnhaber.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:14:00,34:24:00,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 34:24.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:48:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:37:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
53:07:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Fabian Huesmann kann den Ball nicht im Tor unterbringen!,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
53:04:00,,Klemen Ferlin (HC Erlangen) mit einer Parade beim 7-Meter.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
53:01:00,34:23:00,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
52:26:00,33:23:00,"Neuer Spielstand in Nürnberg, 32:25 durch den Treffer 6M von Tim Wieling für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
52:20:00,,Johannes Sellin von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:55:00,,Tor! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 32:24.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:29:00,32:23:00,Tor (RM/fern)! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 32:23.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
51:13:00,31:23:00,Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 31:23.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
50:42:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
48:19:00,31:22:00,"Neuer Spielstand in Nürnberg, 31:22 durch den Treffer von Nico Büdel für HC Erlangen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
47:47:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
47:38:00,30:22:00,Simon Jeppsson (HC Erlangen) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 30:22.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
47:17:00,,Vladimir Bozic (ASV Hamm-Westfalen) mit einer Parade.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
47:07:00,,Marian Orlowski (ASV Hamm-Westfalen) scheitert am Torwart Klemen Ferlin (HC Erlangen).,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
46:31:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
46:29:00,,Es gibt eine 2 Minuten Strafe für Andreas Bornemann (ASV Hamm-Westfalen).,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
46:28:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
46:27:00,29:22:00,Tor für HC Erlangen durch Sebastian Firnhaber nach einem Pass von Simon Jeppsson.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
46:08:00,28:22:00,"Neuer Spielstand in Nürnberg, 28:22 durch den Treffer von Marian Orlowski für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:40:00,28:21:00,Die Vorbereitung von Nico Büdel (HC Erlangen) führt zum Treffer durch Sebastian Firnhaber.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:27:00,,Torwartwechsel bei HC Erlangen. Klemen Ferlin kommt für Bertram Obling.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:04:00,27:21:00,Yonatan Dayan (ASV Hamm-Westfalen) durchbricht die Abwehr und trifft zum 27:21.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
44:54:00,27:20:00,Nico Büdel (HC Erlangen) tankt sich durch und erzielt einen Treffer zum 27:20.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
44:00:00,26:20:00,Tor! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 26:20.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
43:16:00,,"Der Torwart von ASV Hamm-Westfalen, Vladimir Bozic hält den Wurf von Hampus Olsson.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
43:14:00,,"Der Trainer von ASV Hamm-Westfalen, Michael Lerscht stellt nun Vladimir Bozic zwischen die Pfosten.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:58:00,26:19:00,"Neuer Spielstand in Nürnberg, 26:19 durch den Treffer RM/fern von Marian Orlowski für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:35:00,,Der Wurfversuch von Andreas Bornemann (ASV Hamm-Westfalen) wurde durch einen Block von Nikolai Link verhindert.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
42:20:00,,Auszeit ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
42:17:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
42:03:00,26:18:00,Tor nach Tempogegenstoß. Die Abwehr von HC Erlangen steht gut und Hampus Olsson trifft souverän zum 26:18.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
41:52:00,,Andreas Bornemann von ASV Hamm-Westfalen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
41:50:00,,Zeitstrafe vorbei ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,1,0,0
41:12:00,,"Der Torwart von HC Erlangen, Bertram Obling pariert den Wurf.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,1,0,0
40:49:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,1,1,0,0
40:36:00,25:18:00,Sebastian Firnhaber (HC Erlangen) trifft im Tempogegenstoß zum neuen Spielstand von 25:18.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,1,0,0
40:26:00,,Yonatan Dayan (ASV Hamm-Westfalen) trifft die Latte.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,1,0,0
40:17:00,,2-Minuten-Strafe für Nikolai Link. HC Erlangen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,1,1,0,1
40:03:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,1,0,0
40:01:00,,Torwartwechsel bei ASV Hamm-Westfalen. Felix Hertlein kommt für Vladimir Bozic.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
39:52:00,24:18:00,Der 7-Meter wurde von Christoph Steinert (HC Erlangen) erfolgreich verwandelt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,0,0
39:49:00,,Marian Orlowski (ASV Hamm-Westfalen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,1,1,0
39:48:00,,Nun wird Vladimir Bozic für ASV Hamm-Westfalen im Tor stehen.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
38:29:00,23:18,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:54:00,22:18,Simon Jeppsson (HC Erlangen) trifft von (RL/fern). Neuer Spielstand in Arena Nürnberger Versicherung: 22:18.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:25:00,,"Gute Torchance, aber Björn Zintel (ASV Hamm-Westfalen) kann diese nicht erfolgreich verwandeln.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
36:04:00,21:18,Yannik Bialowas (HC Erlangen) trifft zum Spielstand von 21:18 in Arena Nürnberger Versicherung.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
35:35:00,,"Der Trainer von HC Erlangen, Raúl Alonso stellt nun Bertram Obling zwischen die Pfosten.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
35:31:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
35:28:00,,Der eingewechselte Torwart Felix Hertlein (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
35:20:00,20:18,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 20:18.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
35:17:00,,Vladimir Bozic (ASV Hamm-Westfalen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
34:47:00,19:18,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie und bringt den Spielstand auf 19:18.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
34:45:00,,HC Erlangen wechselt den Torwart. Klemen Ferlin kommt für Bertram Obling.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
34:29:00,19:17,Christoph Steinert (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 19:17.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
33:56:00,18:17,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie und bringt den Spielstand auf 18:17.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
33:02:00,18:16,Tor (LA)! Yannik Bialowas (HC Erlangen) netzt ein zum neuen Spielstand von 18:16.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
32:46:00,,Der Wurf von Tim Wieling (ASV Hamm-Westfalen) landet hinter dem Tor.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
32:29:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
32:14:00,17:16,Hampus Olsson (HC Erlangen) überwindet den Torwart von (RA) zum neuen Spielstand von 17:16.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
32:08:00,,HC Erlangen wechselt den Torwart. Bertram Obling kommt für Klemen Ferlin.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
31:51:00,16:16,Der 7-Meter wurde von Fabian Huesmann (ASV Hamm-Westfalen) erfolgreich verwandelt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
31:46:00,,Nun wird Klemen Ferlin für HC Erlangen im Tor stehen.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
31:31:00,,Sebastian Firnhaber von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
30:53:00,16:15,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
HALBZ,16:14,,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
29:37:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
29:31:00,16:14,Antonio Metzner (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 16:14.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
29:13:00,,Auszeit HC Erlangen,HC Erlangen,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
28:52:00,15:14,"Neuer Spielstand in Nürnberg, 15:14 durch den Treffer von Marian Orlowski für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
28:09:00,15:13,"Neuer Spielstand in Nürnberg, 15:13 durch den Treffer RM/fern von Hampus Olsson für HC Erlangen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
27:30:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
27:11:00,14:13,Tor (6M)! Mait Patrail (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 14:13.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
27:05:00,,Bertram Obling (HC Erlangen) mit einer Parade.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26:40:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
26:38:00,,"Der Trainer von ASV Hamm-Westfalen, Michael Lerscht stellt nun Felix Hertlein zwischen die Pfosten.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26:26:00,,Der Strafwurf von Christoph Steinert wurde von Vladimir Bozic (ASV Hamm-Westfalen) gehalten.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26:25:00,,Vladimir Bozic (ASV Hamm-Westfalen) hält den Wurf von Christoph Steinert.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
26:15:00,,Der eingewechselte Torwart Vladimir Bozic (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
25:12:00,14:12,Fabian Huesmann (ASV Hamm-Westfalen) trifft von (LA). Neuer Spielstand in Arena Nürnberger Versicherung: 14:12.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24:50:00,,Parade von Torwart Bertram Obling (HC Erlangen).,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24:28:00,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
24:23:00,14:11,Lutz Heiny (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 14:11.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
24:10:00,13:11,Tor! Benjamin Meschke (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 13:11.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
23:50,13:10,Yannik Bialowas (HC Erlangen) trifft zum Spielstand von 13:10 in Arena Nürnberger Versicherung.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
23:43,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
23:02,,Überragende Parade des Torwarts Felix Hertlein (ASV Hamm-Westfalen)! Nico Büdel kann den Ball nicht im Tor unterbringen!,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22:56,12:10,"Neuer Spielstand in Nürnberg, 12:10 durch den Treffer LA von Fabian Huesmann für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
22:10,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
22:01,12:09,"Neuer Spielstand in Nürnberg, 12:9 durch den Treffer von Björn Zintel für ASV Hamm-Westfalen.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21:58,,"Der Torwart von ASV Hamm-Westfalen, Felix Hertlein hält den Wurf von Tim Zechel.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21:30,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
21:09,12:08,Mait Patrail (ASV Hamm-Westfalen) trifft zum Spielstand von 12:8 in Arena Nürnberger Versicherung.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
20:35,,Siebter Spieler eingewechselt ASV Hamm-Westfalen,HC Erlangen,ASV Hamm-Westfalen,0,0,0,1,0,0,0,0
20:20,,Felix Hertlein (ASV Hamm-Westfalen) mit einer Parade.,HC Erlangen,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
