Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:43:00,,Parade von Torwart Bertram Obling (HC Erlangen).,HC Erlangen,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:13:00,,Zeitstrafe vorbei HC Erlangen.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
59:01:00,33:29:00,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 33:29.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
58:43:00,32:29:00,Tor! Maximilian Gerbl (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 32:29.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
58:15:00,,Siebter Spieler eingewechselt HC Erlangen.,HC Erlangen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
58:06:00,,Branko Vujovic von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:59:00,,Hannover-Burgdorf wechselt den Torwart. Dario Quenstedt kommt für Domenico Ebner.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:49:00,32:28:00,Der 7-Meter wurde von Christoph Steinert (HC Erlangen) erfolgreich verwandelt.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:48:00,,Nun wird Domenico Ebner für Hannover-Burgdorf im Tor stehen.,HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:26:00,,Siebter Spieler eingewechselt HC Erlangen.,HC Erlangen,Hannover-Burgdorf,0,0,1,0,1,0,0,0
57:04:00,,"Nach einem harten Foul hat Nikolai Link (HC Erlangen) nun zwei Minuten Zeit, um sich auszuruhen.",HC Erlangen,Hannover-Burgdorf,0,0,0,0,1,0,0,1
