Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:51:00,,"Gute Torchance, aber Antonio Metzner (HC Erlangen) kann diese nicht erfolgreich verwandeln.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:12:00,36:32:00,Tim Matthes (SC DHfK Leipzig) trifft von (LA). Neuer Spielstand in Arena Nürnberger Versicherung: 36:32.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:30:00,36:31:00,Tor! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 36:31.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:48:00,35:31:00,Oskar Sunnefeldt (SC DHfK Leipzig) trifft zum Spielstand von 35:31 in Arena Nürnberger Versicherung.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:16:00,35:30:00,Tor (RM/fern)! Simon Jeppsson (HC Erlangen) netzt ein zum neuen Spielstand von 35:30.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:48:00,,Patrick Wiesmach von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:41:00,34:30:00,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 34:30.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:15:00,33:30:00,Maciej Gebala (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 33:30.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:03:00,,Parade von Torwart Kristian Sæverås (SC DHfK Leipzig).,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:39:00,33:29:00,"Neuer Spielstand in Nürnberg, 33:29 durch den Treffer RL/fern von Oskar Sunnefeldt für SC DHfK Leipzig.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
55:04:00,33:28:00,"Neuer Spielstand in Nürnberg, 33:28 durch den Treffer von Tim Zechel für HC Erlangen.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:58:00,,Überragende Parade des Torwarts Bertram Obling (HC Erlangen)! Simon Ernst kann den Ball nicht im Tor unterbringen!,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:51:00,32:28:00,"Neuer Spielstand in Nürnberg, 32:28 durch den Treffer von Hampus Olsson für HC Erlangen.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:58:00,,Matej Klima (SC DHfK Leipzig) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 31:28.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:43:00,31:27:00,"Neuer Spielstand in Nürnberg, 31:27 durch den Treffer RM/fern von Simon Jeppsson für HC Erlangen.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:22:00,,Zeitstrafe vorbei SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
51:14:00,,"Der Torwart von HC Erlangen, Bertram Obling pariert den Wurf.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
50:34:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,0,0,1,0,1,0,0
50:24:00,30:27:00,Tor (6M)! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 30:27.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:59:00,29:27:00,Oskar Sunnefeldt (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 29:27.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:28:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,0,0,1,0,1,0,0
49:16:00,29:26:00,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 29:26.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
49:12:00,,Es gibt eine 2 Minuten Strafe für Sime Ivic (SC DHfK Leipzig).,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,1,0
48:27:00,28:26:00,Sime Ivic (SC DHfK Leipzig) trifft zum Spielstand von 28:26 in Arena Nürnberger Versicherung.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:58:00,,Auszeit SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,1,0,0,0,0,0,0
47:48:00,28:25:00,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie und bringt den Spielstand auf 28:25.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:45:00,,Milos Putera von SC DHfK Leipzig wurde mit der Gelben Karte von Reich/Brodbeck verwarnt.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:41:00,,Torwartwechsel bei SC DHfK Leipzig. Kristian Sæverås kommt für Pascal Bochmann.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
47:09:00,27:25:00,Matej Klima (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 27:25.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:56:00,27:24:00,Tor! Hampus Olsson (HC Erlangen) netzt ein zum neuen Spielstand von 27:24.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:52:00,,Oskar Sunnefeldt von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:44:00,,Matej Klima blockt den Wurf von Hampus Olsson.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
46:22:00,26:24:00,"Neuer Spielstand in Nürnberg, 26:24 durch den Treffer von Matej Klima für SC DHfK Leipzig.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
45:26:00,,"Parade des Torwarts von HC Erlangen, Bertram Obling.",HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,0,0,0
43:54:00,,Zeitstrafe vorbei SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
43:43:00,,Fehlwurf von Hampus Olsson (HC Erlangen).,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
43:35:00,,Bertram Obling (HC Erlangen) mit einer Parade.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
43:07:00,,Siebter Spieler eingewechselt SC DHfK Leipzig,HC Erlangen,SC DHfK Leipzig,0,0,0,1,0,1,0,0
42:56:00,26:23:00,Hampus Olsson (HC Erlangen) trifft zum Spielstand von 26:23 in Arena Nürnberger Versicherung.,HC Erlangen,SC DHfK Leipzig,0,0,0,0,0,1,0,0
