Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,23:37,"Neuer Spielstand in Nürnberg, 23:37 durch den Treffer 6M von Manuel Zehnder für HC Erlangen.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
59:33:00,,Der Wurf von Michael Damgaard (SC Magdeburg) landet hinter dem Tor.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
58:53:00,22:37,Kay Smits (SC Magdeburg) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 22:37.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
58:51:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
58:09:00,22:36,Manuel Zehnder (HC Erlangen) trifft zum Spielstand von 22:36 in Arena Nürnberger Versicherung.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
57:52:00,21:36,"Neuer Spielstand in Nürnberg, 21:36 durch den Treffer von Michael Damgaard für SC Magdeburg.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
57:22:00,,Johannes Sellin von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
56:35:00,21:35,Tor! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 21:35.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
55:45:00,,Yannik Bialowas (HC Erlangen) scheitert am Torwart Mike Jensen (SC Magdeburg).,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
55:38:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
55:04:00,21:34,Simon Jeppsson (HC Erlangen) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 21:34.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
54:41:00,20:34,Tor! Matthias Musche (SC Magdeburg) netzt ein zum neuen Spielstand von 20:34.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
53:59:00,20:33,Simon Jeppsson (HC Erlangen) trifft von (RM/fern). Neuer Spielstand in Arena Nürnberger Versicherung: 20:33.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
53:50:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
53:38:00,19:33,Michael Damgaard (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 19:33.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
53:03:00,19:32,Tim Zechel (HC Erlangen) scheitert am Torwart Mike Jensen (SC Magdeburg).,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
52:41:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
52:31:00,19:31,"Neuer Spielstand in Nürnberg, 19:31 durch den Treffer von Tim Zechel für HC Erlangen.",HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
52:02:00,,Zeitstrafe vorbei SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,0,1,1,0,0
51:48:00,18:31,Tim Hornke (SC Magdeburg) trifft von der 7-Meter Linie.,HC Erlangen,SC Magdeburg,0,0,0,0,1,1,0,0
51:45:00,,Es gibt eine 2 Minuten Strafe für Nikolai Link (HC Erlangen).,HC Erlangen,SC Magdeburg,0,0,0,0,1,1,0,1
51:27:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
51:18:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,0,1,0,0
50:44:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
50:17:00,,"Nach einem harten Foul hat Gisli Thorgeir Kristjansson (SC Magdeburg) nun zwei Minuten Zeit, um sich auszuruhen.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,1,0
49:56:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
49:05:00,18:30,Tor (6M)! Manuel Zehnder (HC Erlangen) netzt ein zum neuen Spielstand von 18:30.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
48:34:00,17:30,"Tor Mike Jensen, SC Magdeburg",HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
48:33:00,,"Block von Piotr Chrapkowski, der den Torwurf von Lutz Heiny verhindert.",HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
48:17:00,,Auszeit HC Erlangen,HC Erlangen,SC Magdeburg,1,0,0,0,1,0,0,0
47:46:00,17:29,Tim Hornke (SC Magdeburg) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 17:29.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
47:21:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
47:02:00,17:28,Sebastian Firnhaber (HC Erlangen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,1
46:38:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
46:07:00,,"Chance für Steffen Fäth (HC Erlangen), er trifft aber nur den Pfosten.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
45:32:00,17:27,Matthias Musche (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 17:27.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
45:03:00,,"Der Torwart von HC Erlangen, Klemen Ferlin hält den Wurf von Gisli Thorgeir Kristjansson.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
44:50:00,,Auszeit SC Magdeburg,HC Erlangen,SC Magdeburg,0,1,0,0,0,0,0,0
44:50:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
44:40:00,,Der Wurfversuch von Michael Damgaard (SC Magdeburg) wurde durch einen Block von Nikolai Link verhindert.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
44:11:00,,Überragende Parade des Torwarts Mike Jensen (SC Magdeburg)! Lutz Heiny kann den Ball nicht im Tor unterbringen!,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
43:52:00,,Klemen Ferlin (HC Erlangen) hält den Wurf von Kay Smits.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
43:25:00,,"Gute Torchance, aber Manuel Zehnder (HC Erlangen) kann diese nicht erfolgreich verwandeln.",HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
42:47:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
42:37:00,17:26,Tor (6M)! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 17:26.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
42:13:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,1,0,0,0
42:03:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
41:36:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
41:27:00,,Der Strafwurf von Kay Smits wurde von Klemen Ferlin (HC Erlangen) gehalten.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
41:20:00,,Es gibt eine 2 Minuten Strafe für Nico Büdel (HC Erlangen).,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,1
41:12:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
41:05:00,17:25,Tor! Kay Smits (SC Magdeburg) netzt ein zum neuen Spielstand von 17:25.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
40:39:00,17:24,"Neuer Spielstand in Nürnberg, 17:24 durch den Treffer RL/fern von Michael Damgaard für SC Magdeburg.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
40:39:00,17:23,Simon Jeppsson (HC Erlangen) trifft zum Spielstand von 17:23 in Arena Nürnberger Versicherung.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
39:56:00,,Bennet Wiegert (SC Magdeburg) bekommt die Gelbe Karte von Baumgart/Wild gezeigt.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
39:10:00,,Zeitstrafe vorbei SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
38:49:00,16:23,Johannes Sellin (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 16:23.,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
38:01:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
37:25:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,0,1,0,0
37:19:00,15:23,"Neuer Spielstand in Nürnberg, 15:23 durch den Treffer von Simon Jeppsson für HC Erlangen.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
37:11:00,,"Nach einem harten Foul hat Lucas Meister (SC Magdeburg) nun zwei Minuten Zeit, um sich auszuruhen.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,1,0
37:07:00,14:23,"Neuer Spielstand in Nürnberg, 14:23 durch den Treffer 6M von Lucas Meister für SC Magdeburg.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
36:39:00,14:22,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 14:22.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
36:33:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
36:17:00,,Tim Hornke von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
36:16:00,13:22,Simon Jeppsson (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 13:22.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
35:47:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
35:47:00,12:22,Tor! Philipp Weber (SC Magdeburg) netzt ein zum neuen Spielstand von 12:22.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
35:10:00,,"Der Torwart von SC Magdeburg, Mike Jensen pariert den Wurf.",HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,0
34:55:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SC Magdeburg,0,0,1,0,1,0,0,0
34:25:00,,Antonio Metzner (HC Erlangen) erhält eine 2 Minuten Strafe.,HC Erlangen,SC Magdeburg,0,0,0,0,1,0,0,1
33:55:00,,Zeitstrafe vorbei SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
33:55:00,12:21,Johannes Sellin (HC Erlangen) trifft zum Spielstand von 12:21 in Arena Nürnberger Versicherung.,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
33:34:00,,Überragende Parade des Torwarts Klemen Ferlin (HC Erlangen)! Philipp Weber kann den Ball nicht im Tor unterbringen!,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
33:10:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,0,1,0,0
32:58:00,,Simon Jeppsson (HC Erlangen) scheitert am Torwart Mike Jensen (SC Magdeburg).,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
32:49:00,11:21,"Tor von der 7-Meter Linie von Tim Hornke (SC Magdeburg), neuer Spielstand 11:21.",HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
32:15:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,0,1,0,0
31:56:00,,Mike Jensen (SC Magdeburg) mit einer Parade.,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,0,0
31:47:00,,Kay Smits (SC Magdeburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HC Erlangen,SC Magdeburg,0,0,0,0,0,1,1,0
31:32:00,11:20,"Neuer Spielstand in Nürnberg, 11:20 durch den Treffer von Gisli Thorgeir Kristjansson für SC Magdeburg.",HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
30:46:00,11:19,Christopher Bissel (HC Erlangen) trifft von (LA). Neuer Spielstand in Arena Nürnberger Versicherung: 11:19.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
30:37:00,10:19,Tor (6M)! Gisli Thorgeir Kristjansson (SC Magdeburg) netzt ein zum neuen Spielstand von 10:19.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
HALBZ,10:18,,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
30:00:00,10:18,Tim Hornke (SC Magdeburg) trifft von (RA). Neuer Spielstand in Arena Nürnberger Versicherung: 10:18.,HC Erlangen,SC Magdeburg,0,0,0,0,0,0,0,0
29:57:00,,Siebter Spieler eingewechselt SC Magdeburg,HC Erlangen,SC Magdeburg,0,0,0,1,0,0,0,0
