Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:44:00,28:33:00,August Baskar Pedersen (SG Flensburg-Handewitt) überwindet den Torwart von (LA) zum neuen Spielstand von 28:33.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
59:12:00,28:32:00,"Neuer Spielstand in Nürnberg, 28:32 durch den Treffer 6M von Antonio Metzner für HC Erlangen.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
58:51:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
58:44:00,32:27:00,August Baskar Pedersen (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 27:32.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
58:26:00,,Sebastian Firnhaber geht den Gegner zu stark an. HC Erlangen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
57:35:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:51:00,,Antonio Metzner von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
56:01:00,,Auszeit HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
55:37:00,27:31:00,"Neuer Spielstand in Nürnberg, 27:31 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:59:00,27:30:00,"Tor von der 7-Meter Linie von Simon Jeppsson (HC Erlangen), neuer Spielstand 27:30.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
54:04:00,,Zeitstrafe vorbei HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
54:01:00,26:30:00,Hans Aaron Mensing (SG Flensburg-Handewitt) trifft zum Spielstand von 26:30 in Arena Nürnberger Versicherung.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:42:00,26:29:00,Antonio Metzner (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 26:29.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
53:24:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
53:08:00,25:29:00,Tor! Simon Hald Jensen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 25:29.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
52:31:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
52:17:00,25:28:00,Tor (RA)! Teitur Örn Einarsson (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 25:28.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
51:52:00,,Sebastian Firnhaber (HC Erlangen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
51:09:00,25:27:00,"Neuer Spielstand in Nürnberg, 25:27 durch den Treffer 6M von Antonio Metzner für HC Erlangen.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
50:09:00,24:27:00,Tor! Hans Aaron Mensing (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 24:27.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
49:43:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
49:34:00,24:26:00,Lutz Heiny (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 24:26.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
49:15:00,23:26,Tor (6M)! Hans Aaron Mensing (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 23:26.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
48:23:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,HC Erlangen,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
48:12:00,23:25,"Neuer Spielstand in Nürnberg, 23:25 durch den Treffer von Antonio Metzner für HC Erlangen.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
47:35:00,,"Der disqualifizierte Magnus Abelvik Rød muss das Spielfeld verlassen, aber SG Flensburg-Handewitt wird nach 2 Minuten wieder auffüllen dürfen.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,1,1,0
47:34:00,22:25,August Baskar Pedersen (SG Flensburg-Handewitt) trifft von (LA). Neuer Spielstand in Arena Nürnberger Versicherung: 22:25.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
47:23:00,22:24,Simon Jeppsson (HC Erlangen) trifft zum Spielstand von 22:24 in Arena Nürnberger Versicherung.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
46:59:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
46:15:00,21:24,Nico Büdel (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 21:24.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
45:09:00,20:24,Emil Jakobsen (SG Flensburg-Handewitt) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:24.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
44:26:00,20:23,Simon Jeppsson (HC Erlangen) trifft von der 7-Meter Linie.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:47:00,19:23,"Neuer Spielstand in Nürnberg, 19:23 durch den Treffer 6M von Johannes Golla für SG Flensburg-Handewitt.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:38:00,,Parade von Torwart Kevin Møller (SG Flensburg-Handewitt).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
43:21:00,,Auszeit HC Erlangen,HC Erlangen,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
43:14:00,19:22,Tor! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 19:22.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
42:30:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Antonio Metzner.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
42:09:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
41:27:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Sebastian Firnhaber kann den Ball nicht im Tor unterbringen!,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
40:32:00,19:21,Johannes Golla (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 19:21.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
40:15:00,,Kevin Møller (SG Flensburg-Handewitt) hält den Wurf von Manuel Zehnder.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
39:49:00,19:20,"Neuer Spielstand in Nürnberg, 19:20 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
39:22:00,,Auszeit SG Flensburg-Handewitt,HC Erlangen,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
39:17:00,19:19,Tor (6M)! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 19:19.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
38:08:00,18:19,Die Vorbereitung von Lasse Kjær Møller (SG Flensburg-Handewitt) führt zum Treffer durch August Baskar Pedersen.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
37:59:00,,Nico Büdel (HC Erlangen) scheitert am Torwart Kevin Møller (SG Flensburg-Handewitt).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
37:32:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
37:24:00,18:18,Antonio Metzner (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 18:18.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
36:50:00,,Klemen Ferlin (HC Erlangen) mit einer Parade.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
36:37:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
36:27:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
35:34:00,17:18,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 17:18.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
35:05:00,,"Der Torwart von HC Erlangen, Klemen Ferlin pariert den Wurf.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
34:49:00,16:18,Sebastian Firnhaber (HC Erlangen) trifft zum Spielstand von 16:18 in Arena Nürnberger Versicherung.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
34:41:00,,Fehlwurf von Simon Hald Jensen (SG Flensburg-Handewitt).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
34:01:00,15:18,Nico Büdel (HC Erlangen) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 15:18.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
32:44:00,14:18,Tor! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 14:18.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
32:08:00,14:17,Tor (6M)! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 14:17.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
31:47:00,13:17,"Neuer Spielstand in Nürnberg, 13:17 durch den Treffer 6M von Lasse Kjær Møller für SG Flensburg-Handewitt.",HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
31:45:00,,Klemen Ferlin (HC Erlangen) bleibt Sieger im 7-Meter-Duell gegen Lasse Kjær Møller (SG Flensburg-Handewitt).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
30:36:00,13:16,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 13:16.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
,,HALBZEIT (12:16),HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:58:00,,Kevin Møller (SG Flensburg-Handewitt) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:47:00,12:16,Benjamin Buric (SG Flensburg-Handewitt) hält den Wurf von Antonio Metzner.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
29:34:00,,Auszeit SG Flensburg-Handewitt,HC Erlangen,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
29:22:00,,Nico Büdel (HC Erlangen) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
28:11:00,12:15,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft zum Spielstand von 12:15 in Arena Nürnberger Versicherung.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
26:40:00,12:14,Mads Mensah Larsen (SG Flensburg-Handewitt) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 12:14.,HC Erlangen,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
