Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Parade von Torwart Bertram Obling (HC Erlangen).,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
59:54:00,,Es gibt eine 2 Minuten Strafe für Christopher Bissel (HC Erlangen).,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
59:49:00,,Auszeit TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
59:27:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
59:24:00,31:31:00,"Neuer Spielstand in Nürnberg, 31:31 durch den Treffer 6M von Nico Büdel für HC Erlangen.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:19:00,,Lukas Hutecek von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:00:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
58:45:00,30:31:00,Die Vorbereitung von Lutz Heiny (HC Erlangen) führt zum Treffer durch Sebastian Firnhaber.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:40:00,,Fehlwurf von Finn Zecher (TBV Lemgo Lippe).,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:31:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher pariert den Wurf.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:16:00,,Siebter Spieler eingewechselt HC Erlangen,HC Erlangen,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
58:09:00,,Auszeit HC Erlangen,HC Erlangen,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
58:07:00,29:31:00,Tor (RA)! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 29:31.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:48:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
57:35:00,,Wurfversuch von Simon Jeppsson (HC Erlangen) aber der Ball landet an der Latte.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:30:00,29:30:00,Gedeon Guardiola (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in Arena Nürnberger Versicherung: 29:30.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:03:00,,Bertram Obling (HC Erlangen) mit einer Parade.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:47:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
56:38:00,29:29:00,"Neuer Spielstand in Nürnberg, 29:29 durch den Treffer von Simon Jeppsson für HC Erlangen.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:08:00,,"Der Torwart von HC Erlangen, Bertram Obling hält den Wurf von Emil Buhl Lærke.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:33:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
55:21:00,,Der Wurf von HC Erlangen wurde geblockt.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:12:00,,HC Erlangen wechselt den Torwart. Bertram Obling kommt für Klemen Ferlin.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:54:00,28:29:00,Leve Carstensen (TBV Lemgo Lippe) trifft zum Spielstand von 28:29 in Arena Nürnberger Versicherung.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:12:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
54:01:00,28:28:00,Lutz Heiny (HC Erlangen) trifft von (RM/fern). Neuer Spielstand in Arena Nürnberger Versicherung: 28:28.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
53:20:00,27:28:00,"Tor von der 7-Meter Linie von Lukas Zerbe (TBV Lemgo Lippe), neuer Spielstand 27:28.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,1,0,0
53:15:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,1,0,0
52:45:00,,2-Minuten-Strafe für Tim Suton. TBV Lemgo Lippe muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,1,1,0
52:31:00,27:27:00,Tor! Lutz Heiny (HC Erlangen) netzt ein zum neuen Spielstand von 27:27.,HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:07:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
51:35:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
51:24:00,26:26:00,"Neuer Spielstand in Nürnberg, 26:26 durch den Treffer von Simon Jeppsson für HC Erlangen.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:19:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
51:14:00,,Auszeit TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
51:07:00,26:25:00,"Neuer Spielstand in Nürnberg, 26:25 durch den Treffer LA von Christopher Bissel für HC Erlangen.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
50:42:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HC Erlangen,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
50:33:00,,"Neuer Spielstand in Nürnberg, 25:26 durch den Treffer LA von Christopher Bissel für HC Erlangen.",HC Erlangen,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
