,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,25:25:00,"Neuer Spielstand in Wetzlar, 25:25 durch den Treffer RM/fern von Lenny Rubin für HSG Wetzlar.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
2,59:41:00,,Auszeit HSG Wetzlar,HSG Wetzlar,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
3,59:41:00,,Till Klimpke (HSG Wetzlar) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
4,59:38:00,24:25:00,Marcel Schiller (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie und bringt den Spielstand auf 24:25.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
5,59:38:00,,Torwartwechsel bei HSG Wetzlar. Anadin Suljakovic kommt für Till Klimpke.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
6,59:17:00,,Auszeit FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,1,0,0,0,1,0,0
7,58:59:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
8,58:52:00,24:24:00,Radojica Cepic (HSG Wetzlar) tankt sich durch und trifft!,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
9,58:26:00,,"Nach einem harten Foul hat Kresimir Kozina (FRISCH AUF! Göppingen) nun zwei Minuten Zeit, um sich auszuruhen.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
10,58:03:00,23:24,Tobias Ellebaek (FRISCH AUF! Göppingen) überwindet den Torwart von (6M) zum neuen Spielstand von 23:24.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
11,57:07:00,,Fehlwurf von Lenny Rubin (HSG Wetzlar).,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
12,55:49:00,23:23,Domen Novak (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 23:23.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
13,55:17:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
14,55:03:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
15,54:57:00,22:23,Tim Kneule (FRISCH AUF! Göppingen) trifft von (6M). Neuer Spielstand in Buderus Arena: 22:23.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
16,54:24:00,,Nun wird Till Klimpke für HSG Wetzlar im Tor stehen.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
17,54:18:00,,"Der Torwart von FRISCH AUF! Göppingen, Marin Sego pariert den Wurf.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
18,53:27:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
19,53:22:00,22:22,"Tor von der 7-Meter Linie von Marcel Schiller (FRISCH AUF! Göppingen), neuer Spielstand 22:22.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
20,53:18:00,,Erik Schmidt (HSG Wetzlar) erhält eine 2 Minuten Strafe.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,1
21,53:15:00,,"Der Trainer von HSG Wetzlar, Benjamin Matschke stellt nun Anadin Suljakovic zwischen die Pfosten.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
22,53:02:00,,Marin Sego (FRISCH AUF! Göppingen) mit einer Parade.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
23,52:22:00,22:21,"Neuer Spielstand in Wetzlar, 22:21 durch den Treffer von Jon Lindenchrone Andersen für FRISCH AUF! Göppingen.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
24,51:14:00,,HSG Wetzlar wechselt den Torwart. Till Klimpke kommt für Anadin Suljakovic.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
25,51:07:00,,Marcel Schiller (FRISCH AUF! Göppingen) vergibt den 7-Meter.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
26,50:55:00,,Torwartwechsel bei HSG Wetzlar. Anadin Suljakovic kommt für Till Klimpke.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
27,50:54:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
28,50:27:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
29,50:18:00,,Jovica Nikolic von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
30,49:56:00,,Überragende Parade des Torwarts Till Klimpke (HSG Wetzlar)! Jon Lindenchrone Andersen kann den Ball nicht im Tor unterbringen!,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
31,49:46:00,,Auszeit FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,1,0,0,0,1,0,0
32,49:44:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
33,49:12:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
34,48:57:00,,Magnus Fredriksen mit dem Lattenkracher. Was für ein Pech.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
35,48:49:00,,Josip Sarac geht den Gegner zu stark an. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
36,48:27:00,22:20,Tor! Josip Sarac (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 22:20.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
37,48:01:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
38,47:53:00,22:19,Lars Weissgerber (HSG Wetzlar) trifft zum Spielstand von 22:19 in Buderus Arena.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
39,47:51:00,,Der Strafwurf von Lars Weissgerber wurde von Marin Sego (FRISCH AUF! Göppingen) gehalten.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
40,47:44:00,,Es gibt eine 2 Minuten Strafe für Tobias Ellebaek (FRISCH AUF! Göppingen).,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
41,47:02:00,,Tobias Ellebaek von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
42,46:45:00,,Marin Sego (FRISCH AUF! Göppingen) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
43,46:37:00,21:19,Tor (6M)! Adam Nyfjäll (HSG Wetzlar) netzt ein zum neuen Spielstand von 21:19.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
44,46:00:00,20:19,"Neuer Spielstand in Wetzlar, 20:19 durch den Treffer 6M von Tobias Ellebaek für FRISCH AUF! Göppingen.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
45,45:46:00,,Der Wurf von Lenny Rubin (HSG Wetzlar) landet hinter dem Tor.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
46,45:06:00,20:18,Marcel Schiller (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 20:18.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
47,44:48:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
48,44:23:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
49,44:16:00,20:17,Domen Novak (HSG Wetzlar) trifft zum Spielstand von 20:17 in Buderus Arena.,HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
50,43:52:00,19:17,"Tor von der 7-Meter Linie von Marcel Schiller (FRISCH AUF! Göppingen), neuer Spielstand 19:17.",HSG Wetzlar,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
