,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,58:56:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
2,58:47:00,,"Gute Torchance, aber Fabian Wiede (Füchse Berlin) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
3,58:19:00,25:37:00,Erik Schmidt (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 25:37.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
4,57:44:00,24:37:00,Milos Vujovic (Füchse Berlin) trifft zum Spielstand von 24:37 in Buderus Arena.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
5,57:34:00,,Erik Schmidt von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
6,56:59:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
7,56:51:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic hält den Wurf von Matthes Langhoff.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
8,55:25:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
9,55:22:00,24:36:00,Tor (6M)! Matthes Langhoff (Füchse Berlin) netzt ein zum neuen Spielstand von 24:36.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
10,55:10:00,24:35:00,"Neuer Spielstand in Wetzlar, 24:35 durch den Treffer von Erik Schmidt für HSG Wetzlar.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
11,54:46:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
12,54:40:00,23:35,"Neuer Spielstand in Wetzlar, 23:35 durch den Treffer 6M von Milos Vujovic für Füchse Berlin.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
13,54:30:00,23:34,Fabian Wiede (Füchse Berlin) überwindet den Torwart von (6M) zum neuen Spielstand von 22:33.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
14,53:48:00,23:33,Radojica Cepic (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena: 23:33.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
15,53:01:00,22:32,"Tor Fabian Wiede, Füchse Berlin",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
16,52:58:00,,Auszeit HSG Wetzlar,HSG Wetzlar,Füchse Berlin,1,0,0,0,0,0,0,0
17,52:42:00,22:31,Radojica Cepic (HSG Wetzlar) trifft zum Spielstand von 22:31 in Buderus Arena.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
18,52:09:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
19,52:06:00,21:31,Tor! Valter Chrintz (Füchse Berlin) netzt ein zum neuen Spielstand von 21:31.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
20,51:24:00,,"Parade des Torwarts von Füchse Berlin, Dejan Milosavljev.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
21,51:00:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
22,50:55:00,21:30,Tor (6M)! Lasse Bredekjaer Andersson (Füchse Berlin) netzt ein zum neuen Spielstand von 21:30.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
23,50:24:00,,Dejan Milosavljev (Füchse Berlin) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
24,50:17:00,21:29,Der 7-Meter wurde von Lars Weissgerber (HSG Wetzlar) erfolgreich verwandelt.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
25,50:13:00,,Füchse Berlin wechselt den Torwart. Victor Kireev kommt für Dejan Milosavljev.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
26,50:07:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Füchse Berlin,0,0,1,0,0,0,0,0
27,49:57:00,20:29,Lasse Bredekjaer Andersson (Füchse Berlin) überwindet den Torwart zum neuen Spielstand von 20:29.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
28,49:21:00,,Jonas Schelker von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
29,48:57:00,20:28,"Neuer Spielstand in Wetzlar, 20:28 durch den Treffer von Lasse Bredekjaer Andersson für Füchse Berlin.",HSG Wetzlar,Füchse Berlin,0,0,0,0,0,0,0,0
