,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:39:00,,"Neuer Spielstand in Wetzlar, 28:30 durch den Treffer 6M von Hendrik Wagner für HSG Wetzlar.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
2,58:54:00,,Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 27:30.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
3,58:46:00,,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft zum Spielstand von 26:30 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
4,58:24:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
5,58:11:00,26:29:00,Hendrik Wagner (HSG Wetzlar) trifft zum Spielstand von 26:29 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
6,58:02:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
7,57:51:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,1,0,1,1,0,0
8,57:44:00,25:29:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 25:29.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
9,57:08:00,25:28:00,"Neuer Spielstand in Wetzlar, 25:28 durch den Treffer 6M von Jonas Schelker für HSG Wetzlar.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
10,56:58:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,1,0,1,1,0,0
11,56:54:00,24:28:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 24:28.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
12,56:44:00,,Torwartwechsel bei HSG Wetzlar. Till Klimpke kommt für Anadin Suljakovic.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,0
13,56:27:00,,Vladan Lipovina geht den Gegner zu stark an. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,1,0,1
14,56:04:00,,Die Schiedsrichter Kern/Kuschel zeigen Niklas Weller (Handball Sport Verein Hamburg) die Rote Karte.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
15,56:03:00,24:27:00,Tor! Jovica Nikolic (HSG Wetzlar) netzt ein zum neuen Spielstand von 24:27.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
16,56:01:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,1,0,0,0,0
17,55:54:00,23:27,"Neuer Spielstand in Wetzlar, 23:27 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
18,55:31:00,,"Parade des Torwarts von HSG Wetzlar, Anadin Suljakovic.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
19,54:52:00,,Auszeit Handball Sport Verein Hamburg,HSG Wetzlar,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
20,54:51:00,,Nun wird Johannes Bitter für Handball Sport Verein Hamburg im Tor stehen.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
21,54:45:00,23:26,"Tor von der 7-Meter Linie von Domen Novak (HSG Wetzlar), neuer Spielstand 23:26.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
22,54:36:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Ivan Budalic zwischen die Pfosten.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
23,54:09:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,1,0,0,0,0,0
24,54:06:00,,Auszeit HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
25,54:04:00,22:26,Tor (6M)! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 22:26.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
26,53:46:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic pariert den Wurf.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
27,53:17:00,,Lenny Rubin (HSG Wetzlar) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
28,52:54:00,22:25,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
29,52:12:00,,Johannes Bitter (Handball Sport Verein Hamburg) hält den Wurf von Domen Novak.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
30,52:00:00,,Azat Valiullin von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
31,51:29:00,,Parade von Torwart Johannes Bitter (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
32,51:13:00,22:24,Jacob Arenth Lassen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Buderus Arena: 22:24.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
33,51:05:00,,Wurfversuch von Jacob Arenth Lassen (Handball Sport Verein Hamburg) aber der Ball landet an der Latte.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
34,50:57:00,,Der Wurfversuch von Jacob Arenth Lassen (Handball Sport Verein Hamburg) wurde durch einen Block von Domen Novak verhindert.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
35,49:48:00,22:23,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 22:23.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
36,49:32:00,,Tor! Frederik Bo Andersen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 21:23.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
37,49:03:00,,Anadin Suljakovic (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
38,48:38:00,21:22,Domen Novak (HSG Wetzlar) trifft von der 7-Meter Linie.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39,48:02:00,20:22,"Neuer Spielstand in Wetzlar, 20:22 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
40,47:48:00,20:21,"Neuer Spielstand in Wetzlar, 20:21 durch den Treffer RA von Domen Novak für HSG Wetzlar.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
41,46:53:00,19:21,Tor (6M)! Frederik Bo Andersen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 19:21.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
42,45:43:00,,Der Wurf von Dani Baijens (Handball Sport Verein Hamburg) landet hinter dem Tor.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
43,44:46:00,19:20,"Tor von der 7-Meter Linie von Domen Novak (HSG Wetzlar), neuer Spielstand 19:20.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
44,43:57:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic hält den Wurf von Jacob Arenth Lassen.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
45,43:04:00,18:20,Jonas Schelker (HSG Wetzlar) trifft zum Spielstand von 18:20 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
46,42:12:00,17:20,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 17:20.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47,41:24:00,17:19,Domen Novak (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 17:19.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48,40:03:00,16:19,Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Buderus Arena: 16:19.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49,39:49:00,16:18,Lenny Rubin (HSG Wetzlar) überwindet den Torwart von (RR/fern) zum neuen Spielstand von 16:18.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50,38:53:00,15:18,Tor! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 15:18.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51,38:30:00,,Parade von Torwart Anadin Suljakovic (HSG Wetzlar).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52,38:03:00,15:17,Hendrik Wagner (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 15:17.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53,37:57:00,,Der Strafwurf von Lars Weissgerber wurde von Johannes Bitter (Handball Sport Verein Hamburg) gehalten.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54,36:40:00,,Überragende Parade des Torwarts Anadin Suljakovic (HSG Wetzlar)! Dani Baijens kann den Ball nicht im Tor unterbringen!,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55,35:40:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Johannes Bitter.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56,35:25:00,,Auszeit HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
57,35:11:00,14:17,"Neuer Spielstand in Wetzlar, 14:17 durch den Treffer RA von Frederik Bo Andersen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58,33:56:00,14:16,"Neuer Spielstand in Wetzlar, 14:16 durch den Treffer von Frederik Bo Andersen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59,33:38:00,,Vladan Lipovina (HSG Wetzlar) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
60,32:43:00,14:15,Der 7-Meter wurde von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
61,32:16:00,,Johannes Bitter (Handball Sport Verein Hamburg) hält den Wurf von Hendrik Wagner.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
62,32:07:00,14:14,Tor (6M)! Niklas Weller (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 14:14.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
63,31:31:00,14:13,Lenny Rubin (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 14:13.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
64,30:45:00,13:13,Azat Valiullin (Handball Sport Verein Hamburg) trifft zum Spielstand von 13:13 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
65,HALBZ,13:12,,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
66,29:48:00,13:12,"Neuer Spielstand in Wetzlar, 12:11 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
67,29:33:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
68,29:20:00,,Auszeit Handball Sport Verein Hamburg,HSG Wetzlar,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
69,28:29:00,13:11,Jonas Schelker (HSG Wetzlar) trifft zum Spielstand von 13:11 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
70,27:49:00,12:11,"Neuer Spielstand in Wetzlar, 12:11 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
71,27:34:00,12:10,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 12:10.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
72,27:24:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
73,27:03:00,11:10,Tor (LA)! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 11:10.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
74,26:24:00,11:09,Jonas Schelker (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena: 11:9.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
75,25:34:00,10:09,"Neuer Spielstand in Wetzlar, 10:9 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
76,25:29:00,,"Der Towart von HSG Wetzlar, Till Klimpke pariert den gegebenen 7-Meter.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,0
77,25:24:00,,Lenny Rubin (HSG Wetzlar) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,1,0,0,1
78,24:44:00,10:08,Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 10:8.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
79,23:58,,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) scheitert von der 7-Meter Linie.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
80,22:46,,Zeitstrafe vorbei Handball Sport Verein Hamburg.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
81,22:43,9:08,Lenny Rubin (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 9:8.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
82,22:21,,Der Wurf von Jacob Arenth Lassen (Handball Sport Verein Hamburg) landet hinter dem Tor.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
83,21:30,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,1,0,1,0,0
84,21:20,8:08,Tor! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 8:8.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
85,20:44,,Es gibt eine 2 Minuten Strafe für Azat Valiullin (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
86,20:39,,Lenny Rubin blockt den Wurf von Azat Valiullin.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
87,20:09,7:08,Tor (RR/fern)! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 7:8.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
88,18:47,,Till Klimpke (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
89,18:13,,"Block von Jacob Arenth Lassen, der den Torwurf von Hendrik Wagner verhindert.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
90,17:22,6:08,"Neuer Spielstand in Wetzlar, 6:8 durch den Treffer RM/fern von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
91,16:48,6:07,Hendrik Wagner (HSG Wetzlar) trifft zum Spielstand von 6:7 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
92,15:07,,Auszeit HSG Wetzlar.,HSG Wetzlar,Handball Sport Verein Hamburg,1,0,0,0,0,0,0,0
93,5:07,15:07,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 5:7.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
94,14:58,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter pariert den Wurf.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
95,14:48,5:06,"Neuer Spielstand in Wetzlar, 5:6 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
96,14:36,5:05,Vladan Lipovina (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 5:5.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
97,13:58,,Der Wurf von Handball Sport Verein Hamburg wurde geblockt.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
98,13:06,,Johannes Bitter (Handball Sport Verein Hamburg) mit einer Parade.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
99,12:28,,"Der Torwart von HSG Wetzlar, Till Klimpke pariert den Wurf.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
100,12:22,,Hendrik Wagner (HSG Wetzlar) bekommt die Gelbe Karte von Kern/Kuschel gezeigt.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
101,11:39,4:05,Hendrik Wagner (HSG Wetzlar) trifft von (RR/fern). Neuer Spielstand in Buderus Arena: 4:5.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
102,11:20,,"Gute Torchance, aber Dominik Axmann (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
103,10:54,,Johannes Bitter (Handball Sport Verein Hamburg) mit einer Parade.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
104,10:48,,Vladan Lipovina (HSG Wetzlar) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
105,10:07,3:05,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von (RA). Neuer Spielstand in Buderus Arena: 3:5.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
106,9:35,,"Parade von Johannes Bitter, Lars Weissgerber vergibt von der 7-Meter Linie!",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
107,8:51,3:04,"Neuer Spielstand in Wetzlar, 3:4 durch den Treffer 6M von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
108,7:19,,Fehlwurf von Vladan Lipovina (HSG Wetzlar).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
109,7:19,3:03,"Neuer Spielstand in Wetzlar, 3:3 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
110,6:57,,Johannes Bitter (Handball Sport Verein Hamburg) hält den Wurf von Erik Schmidt.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
111,6:36,3:02,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft zum Spielstand von 3:2 in Buderus Arena.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
112,6:20,3:01,Tor! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 3:1.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
113,5:38,2:01,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart von (LA) zum neuen Spielstand von 2:1.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
114,5:19,,Parade von Torwart Johannes Bitter (Handball Sport Verein Hamburg).,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
115,4:39,,Überragende Parade des Torwarts Johannes Bitter (Handball Sport Verein Hamburg)! Emil Mellegard kann den Ball nicht im Tor unterbringen!,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
116,4:31,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
117,3:38,,Domen Novak (HSG Wetzlar) trifft nur den Pfosten.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
118,3:06,,"Der Torwart von HSG Wetzlar, Till Klimpke hält den Wurf von Niklas Weller.",HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
119,2:59,2:00,Tor (6M)! Erik Schmidt (HSG Wetzlar) netzt ein zum neuen Spielstand von 2:0.,HSG Wetzlar,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
