Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Der Torwart von HSG Wetzlar, Till Klimpke pariert den Wurf.",HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
59:41:00,,Der Wurf von Rhein-Neckar Löwen wurde geblockt.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
59:05:00,,Mikael Appelgren (Rhein-Neckar Löwen) mit einer Parade.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
58:24:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
58:17:00,23:29,Lukas Nilsson (Rhein-Neckar Löwen) trifft von (RM/fern). Neuer Spielstand in Buderus Arena Wetzlar: 23:29.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:48:00,23:28,"Neuer Spielstand in Wetzlar, 23:28 durch den Treffer RM/fern von Lenny Rubin für HSG Wetzlar.",HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
57:27:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
57:18:00,22:28,Jannik Kohlbacher (Rhein-Neckar Löwen) überwindet den Torwart zum neuen Spielstand von 22:28.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:37:00,,"Der Torwart von Rhein-Neckar Löwen, Mikael Appelgren hält den Wurf von Vladan Lipovina.",HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
56:12:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
55:54:00,22:27,Tor! Patrick Groetzki (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 22:27.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
55:20:00,22:26,Adam Nyfjäll (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 22:26.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:54:00,21:26,Tor (RM/fern)! Olle Forsell Schefvert (Rhein-Neckar Löwen) netzt ein zum neuen Spielstand von 21:26.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,0,0,0,0,0,0
54:37:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,Rhein-Neckar Löwen,0,0,1,0,0,0,0,0
54:02:00,,Auszeit Rhein-Neckar Löwen.,HSG Wetzlar,Rhein-Neckar Löwen,0,1,0,0,0,0,0,0
