,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Fehlwurf von Radojica Cepic (HSG Wetzlar).,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
2,59:47:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SC DHfK Leipzig,0,0,1,0,0,0,0,0
3,59:41:00,24:25:00,Matej Klima (SC DHfK Leipzig) trifft zum Spielstand von 24:25 in Buderus Arena.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
4,59:04:00,24:24:00,Tor! Jovica Nikolic (HSG Wetzlar) netzt ein zum neuen Spielstand von 24:24.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
5,59:12:00,,Auszeit SC DHfK Leipzig,HSG Wetzlar,SC DHfK Leipzig,0,1,0,0,0,0,0,0
6,59:04:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SC DHfK Leipzig,0,0,1,0,0,0,0,0
7,58:28:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SC DHfK Leipzig,0,0,1,0,0,0,0,0
8,58:20:00,,Überragende Parade des Torwarts Anadin Suljakovic (HSG Wetzlar)! Matej Klima kann den Ball...,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
9,57:45:00,23:24,"Neuer Spielstand in Wetzlar, 23:24 durch den Treffer von Erik Schmidt für HSG Wetzlar.",HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
10,57:10:00,,Radojica Cepic (HSG Wetzlar) scheitert am Torwart Kristian Sæverås (SC DHfK Leipzig).,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
11,56:58:00,,Auszeit HSG Wetzlar,HSG Wetzlar,SC DHfK Leipzig,1,0,0,0,0,0,0,0
12,56:58:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SC DHfK Leipzig,0,0,1,0,0,0,0,0
13,56:54:00,22:24,Viggó Kristjánsson (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand...,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
14,56:04:00,,"Emil Mellegard (LA) wirft, jedoch neben das Tor.",HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
15,55:42:00,,Torwartwechsel bei HSG Wetzlar. Anadin Suljakovic kommt für Till Klimpke.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
16,55:35:00,22:23,"Tor von der 7-Meter Linie von Viggó Kristjánsson (SC DHfK Leipzig), neuer Spielstand 22:23.",HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
17,55:29:00,,Nun wird Till Klimpke für HSG Wetzlar im Tor stehen.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
18,54:55:00,,Kristian Sæverås (SC DHfK Leipzig) mit einer Parade.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
19,53:50:00,,Anadin Suljakovic (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
20,53:37:00,22:22,Emil Mellegard (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 22:22.,HSG Wetzlar,SC DHfK Leipzig,0,0,0,0,0,0,0,0
