,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:46:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
2,59:39:00,22:27,22:27 Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 22:27.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
3,59:06:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
4,58:58:00,21:27,21:27 Tor (LA)! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 21:27.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
5,58:54:00,,"Wurf von Lasse Kjær Møller (SG Flensburg-Handewitt), aber der Ball landet nur am Pfosten.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
6,58:29:00,,"Gute Torchance, aber Lenny Rubin (HSG Wetzlar) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
7,57:55:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
8,57:50:00,21:26,21:26 Tor! Emil Jakobsen (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 21:26.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
9,57:35:00,,Emil Mellegard (HSG Wetzlar) erhält eine 2 Minuten Strafe.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,1
10,57:08:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
11,56:52:00,21:25,Lasse Kjær Møller (SG Flensburg-Handewitt) trifft von (6M). Neuer Spielstand in Buderus Arena: 21:25.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
12,54:38:00,21:24,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 21:24.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
13,54:29:00,20:24,Lasse Kjær Møller (SG Flensburg-Handewitt) überwindet den Torwart zum neuen Spielstand von 20:24.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
14,54:29:00,20:23,Emil Mellegard (HSG Wetzlar) trifft zum Spielstand von 20:23 in Buderus Arena.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
15,53:51:00,,Hendrik Wagner (HSG Wetzlar) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
16,52:46:00,,Auszeit SG Flensburg-Handewitt,HSG Wetzlar,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
17,52:22:00,,"Block von Mads Mensah Larsen, der den Torwurf von Magnus Fredriksen verhindert.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
18,51:34:00,,Der Wurfversuch von Teitur Örn Einarsson (SG Flensburg-Handewitt) wurde durch einen Block von Erik Schmidt verhindert.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
19,51:02:00,19:23,"Neuer Spielstand in Wetzlar, 19:23 durch den Treffer von Magnus Fredriksen für HSG Wetzlar.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
20,50:30:00,18:23,"Neuer Spielstand in Wetzlar, 18:23 durch den Treffer 6M von Johannes Golla für SG Flensburg-Handewitt.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21,50:16:00,,"18:22 Neuer Spielstand in Wetzlar, 18:22 durch den Treffer von Lenny Rubin für HSG Wetzlar.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
22,49:48:00,,Es gibt Gelb für Maik Machulla (SG Flensburg-Handewitt) von Schmidt/Linker.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
23,49:43:00,,Auszeit HSG Wetzlar,HSG Wetzlar,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
24,48:30:00,,Zeitstrafe vorbei SG Flensburg-Handewitt,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
25,48:15:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
26,48:04:00,17:22,"Neuer Spielstand in Wetzlar, 17:22 durch den Treffer 6M von Johannes Golla für SG Flensburg-Handewitt.",HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
27,47:30:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,1,0,1,0,0
28,47:29:00,,Benjamin Buric (SG Flensburg-Handewitt) mit einer Parade beim 7-Meter.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
29,46:48:00,,Johannes Golla blockt den Wurf von Vladan Lipovina.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,0,0
30,46:31:00,,Simon Hald Jensen (SG Flensburg-Handewitt) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,1,1,0
31,45:46:00,17:21,Tor! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 17:21.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
32,45:06:00,,Der Wurfversuch von Vladan Lipovina (HSG Wetzlar) wurde durch einen Block von Johannes Golla verhindert.,HSG Wetzlar,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
