,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:52:00,25:31:00,Jovica Nikolic (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 25:31.,HSG Wetzlar,THW Kiel,0,0,0,0,0,1,0,0
2,59:44:00,24:31:00,Niclas Ekberg (THW Kiel) trifft von (RA). Neuer Spielstand in Buderus Arena: 24:31.,HSG Wetzlar,THW Kiel,0,0,0,0,0,1,0,0
3,59:29:00,,Siebter Spieler eingewechselt THW Kiel,HSG Wetzlar,THW Kiel,0,0,0,1,0,1,0,0
4,59:11:00,,Parade von Torwart Niklas Landin (THW Kiel).,HSG Wetzlar,THW Kiel,0,0,0,0,0,1,0,0
5,59:02:00,,Es gibt eine 2 Minuten Strafe für Karl Wallinius (THW Kiel).,HSG Wetzlar,THW Kiel,0,0,0,0,0,1,1,0
6,58:36:00,,"Block von Karl Wallinius, der den Torwurf von Jovica Nikolic verhindert.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
7,58:28:00,,"Der Torwart von HSG Wetzlar, Till Klimpke pariert den Wurf.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
8,57:43:00,24:30:00,Tor (LA)! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 24:30.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
9,57:35:00,,Harald Reinkind (THW Kiel) scheitert am Torwart Till Klimpke (HSG Wetzlar).,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
10,56:59:00,,Lenny Rubin von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
11,56:45:00,,Tor! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 23:30.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
12,55:48:00,23:30,Niklas Landin (THW Kiel) hält den Wurf von Lars Weissgerber.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
13,55:38:00,23:29,"Neuer Spielstand in Wetzlar, 23:29 durch den Treffer 6M von Harald Reinkind für THW Kiel.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
14,54:47:00,23:28,Lars Weissgerber (HSG Wetzlar) überwindet den Torwart von (RA) zum neuen Spielstand von 23:28.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
15,54:12:00,,Magnus Landin (THW Kiel) trifft von der 7-Meter Linie.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
16,53:30:00,,Lenny Rubin blockt den Wurf von Nikola Bilyk.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
17,53:07:00,,Auszeit THW Kiel,HSG Wetzlar,THW Kiel,0,1,0,0,0,0,0,0
18,52:38:00,22:27,Adam Nyfjäll (HSG Wetzlar) trifft zum Spielstand von 22:27 in Buderus Arena.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
19,52:23:00,,Nikola Bilyk (THW Kiel) überwindet den Torwart zum neuen Spielstand von 21:27.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
20,51:57:00,21:26,"Neuer Spielstand in Wetzlar, 21:26 durch den Treffer von Adam Nyfjäll für HSG Wetzlar.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
21,51:09:00,,"Wurf von Lars Weissgerber (HSG Wetzlar), aber der Ball landet nur am Pfosten.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
22,50:37:00,20:26,Magnus Landin (THW Kiel) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:26.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
23,49:36:00,20:25,Lenny Rubin (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 20:25.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
24,48:43:00,19:25,Nikola Bilyk (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 19:25.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
25,48:13:00,,Niklas Landin (THW Kiel) mit einer Parade.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
26,47:36:00,19:24,Tor (6M)! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 19:24.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
27,47:27:00,19:23,Jovica Nikolic (HSG Wetzlar) trifft zum Spielstand von 19:23 in Buderus Arena.,HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
28,46:39:00,18:23,"Neuer Spielstand in Wetzlar, 18:23 durch den Treffer RL/fern von Sander Sagosen für THW Kiel.",HSG Wetzlar,THW Kiel,0,0,0,0,0,0,0,0
