Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,TVB Stuttgart,0,0,0,0,1,0,0,0
59:58:00,32:24:00,Emil Mellegard (HSG Wetzlar) trifft zum Spielstand von 32:24 in Buderus Arena Wetzlar.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,1,0,0,0
59:35:00,31:24:00,Vladan Lipovina (HSG Wetzlar) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 31:24.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,1,0,0,0
58:56:00,30:24:00,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,TVB Stuttgart,0,0,1,0,1,0,0,0
58:51:00,30:24:00,Ivan Sliskovic (TVB Stuttgart) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 30:24.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,1,0,0,0
57:52:00,,2-Minuten-Strafe für Magnus Fredriksen. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,1,0,0,1
57:49:00,,Emil Mellegard von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
57:23:00,30:23:00,Tor (RM/fern)! Jan Forstbauer (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:23.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
57:23:00,30:23:00,Tor (RM/fern)! Jan Forstbauer (TVB Stuttgart) netzt ein zum neuen Spielstand von 30:23.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
56:38:00,30:22:00,Erik Schmidt (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 30:22.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
56:06:00,29:22:00,Egon Hanusz (TVB Stuttgart) überwindet den Torwart zum neuen Spielstand von 29:22.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
55:00:00,29:21:00,Erik Schmidt (HSG Wetzlar) trifft zum Spielstand von 29:21 in Buderus Arena Wetzlar.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
54:36:00,,Anadin Suljakovic (HSG Wetzlar) hält den Wurf von Jorge Serrano Villalobos.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
54:18:00,28:21:00,Der 7-Meter wurde von Domen Novak (HSG Wetzlar) erfolgreich verwandelt.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
54:15:00,,Herbert Stadler (TVB Stuttgart) bekommt die Gelbe Karte von Hannes/Hannes gezeigt.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
54:03:00,,Fynn-Luca Nicolaus von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
53:22:00,,Siebter Spieler eingewechselt TVB Stuttgart,HSG Wetzlar,TVB Stuttgart,0,0,0,1,0,0,0,0
52:37:00,,Siebter Spieler eingewechselt TVB Stuttgart,HSG Wetzlar,TVB Stuttgart,0,0,0,1,0,0,0,0
52:25:00,27:21:00,Tor! Erik Schmidt (HSG Wetzlar) netzt ein zum neuen Spielstand von 27:21.,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,0,0,0
51:50:00,,Siebter Spieler eingewechselt TVB Stuttgart,HSG Wetzlar,TVB Stuttgart,0,0,0,1,0,0,0,0
51:32:00,,Zeitstrafe vorbei TVB Stuttgart,HSG Wetzlar,TVB Stuttgart,0,0,0,0,0,1,0,0
