,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:53:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,VfL Gummersbach,0,0,1,0,0,0,0,0
2,59:47:00,29:30:00,Tor! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 29:30.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
3,59:08:00,,Lattenkracher von Vladan Lipovina (HSG Wetzlar).,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
4,58:43:00,,Auszeit HSG Wetzlar,HSG Wetzlar,VfL Gummersbach,1,0,0,0,0,0,0,0
5,58:05:00,29:29:00,Tom Jansen (VfL Gummersbach) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 29:29.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
6,57:24:00,,"Jonas Schelker wirft auf das Tor, trifft aber nur den Pfosten.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
7,57:00:00,29:28:00,Tor (6M)! Dominik Mappes (VfL Gummersbach) netzt ein zum neuen Spielstand von 29:28.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
8,56:55:00,,Tibor Ivanisevic (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
9,56:34:00,,"Der Trainer von VfL Gummersbach, Gudjon Valur Sigurdsson stellt nun Fabian Norsten zwischen die Pfosten.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
10,56:19:00,29:27:00,Der 7-Meter wurde von Lars Weissgerber (HSG Wetzlar) erfolgreich verwandelt.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
11,56:15:00,,"Block von Stepan Zeman, der den Torwurf von Jonas Schelker verhindert.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
12,55:07:00,,"Gute Torchance, aber Vladan Lipovina (HSG Wetzlar) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
13,54:14:00,,Fehlwurf von Julian Köster (VfL Gummersbach).,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
14,53:37:00,28:27:00,"Tor von der 7-Meter Linie von Lars Weissgerber (HSG Wetzlar), neuer Spielstand 28:27.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
15,52:31:00,27:27:00,Dominik Mappes (VfL Gummersbach) trifft von der 7-Meter Linie.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
16,50:09:00,27:26:00,Tilen Kodrin (VfL Gummersbach) trifft von (LA). Neuer Spielstand in Buderus Arena: 27:26.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
17,49:31:00,,"Parade des Torwarts von HSG Wetzlar, Anadin Suljakovic.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
18,49:11:00,27:25:00,Lenny Rubin (HSG Wetzlar) trifft von (RM/fern). Neuer Spielstand in Buderus Arena: 27:25.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
19,48:38:00,26:25:00,Lukas Blohme (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 26:25,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
20,48:21:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
21,47:52:00,26:24:00,Tor! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 26:24.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
22,47:33:00,,Auszeit VfL Gummersbach,HSG Wetzlar,VfL Gummersbach,0,1,0,0,0,0,0,0
23,47:24:00,26:23:00,Tor (6M)! Vladan Lipovina (HSG Wetzlar) netzt ein zum neuen Spielstand von 26:23.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
24,46:44:00,,Anadin Suljakovic (HSG Wetzlar) hält den Wurf von Lukas Blohme.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
25,46:03:00,25:23:00,"Neuer Spielstand in Wetzlar, 25:23 durch den Treffer von Lenny Rubin für HSG Wetzlar.",HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
26,44:37:00,,Vladan Lipovina von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,VfL Gummersbach,0,0,0,0,0,0,0,0
27,44:25:00,,Auszeit HSG Wetzlar,HSG Wetzlar,VfL Gummersbach,1,0,0,0,0,0,0,0
