Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,29:24:00,Tim Rüdiger (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 29:24.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
59:12:00,28:24:00,Tor (RL/fern)! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 28:24.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
58:38:00,28:23:00,Stefan Cavor (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 28:23.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:59:00,27:23:00,"Neuer Spielstand in Wetzlar, 27:23 durch den Treffer von Tim Wieling für ASV Hamm-Westfalen.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:40:00,,"Gute Torchance, aber Lenny Rubin (HSG Wetzlar) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
57:07:00,27:22:00,Fabian Huesmann (ASV Hamm-Westfalen) trifft von der 7-Meter Linie.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
56:28:00,,Auszeit ASV Hamm-Westfalen,HSG Wetzlar,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
56:12:00,27:21:00,Tor! Magnus Fredriksen (HSG Wetzlar) netzt ein zum neuen Spielstand von 27:21.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:35:00,,"Der Torwart von HSG Wetzlar, Till Klimpke pariert den Wurf.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
55:25:00,26:21:00,"Neuer Spielstand in Wetzlar, 26:21 durch den Treffer 6M von Magnus Fredriksen für HSG Wetzlar.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
54:52:00,,Till Klimpke (HSG Wetzlar) bleibt Sieger im 7-Meter-Duell gegen Fabian Huesmann (ASV Hamm-Westfalen).,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:38:00,25:21:00,"Tor von der 7-Meter Linie von Lukas Becher (HSG Wetzlar), neuer Spielstand 25:21.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
53:18:00,24:21:00,Tor (6M)! Marian Orlowski (ASV Hamm-Westfalen) netzt ein zum neuen Spielstand von 24:21.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:50:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:29:00,,Auszeit HSG Wetzlar,HSG Wetzlar,ASV Hamm-Westfalen,1,0,0,0,0,0,0,0
52:16:00,24:20:00,Tor! Jan Von Boenigk (ASV Hamm-Westfalen) überwindet den Torwart zum neuen Spielstand von 24:20.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
52:00:00,24:19:00,Stefan Cavor (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 24:19.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51:29:00,23:19,Marian Orlowski (ASV Hamm-Westfalen) trifft zum Spielstand von 23:19 in Buderus Arena Wetzlar.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
51:08:00,,"Parade des Torwarts von ASV Hamm-Westfalen, Felix Hertlein.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:35:00,,Lars Weissgerber (HSG Wetzlar) scheitert am Torwart Felix Hertlein (ASV Hamm-Westfalen).,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
50:25:00,,Till Klimpke (HSG Wetzlar) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:45:00,,Marian Orlowski (ASV Hamm-Westfalen) überwindet den Torwart von (6M) zum neuen Spielstand von 23:18.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:23:00,,Der eingewechselte Torwart Felix Hertlein (ASV Hamm-Westfalen) steht nun zwischen den Pfosten.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
49:14:00,23:17,Lars Weissgerber (HSG Wetzlar) trifft zum Spielstand von 23:17 in Buderus Arena Wetzlar.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
48:17:00,,Der 7-Meter wurde von Fabian Huesmann (ASV Hamm-Westfalen) erfolgreich verwandelt.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
47:47:00,,Anadin Suljakovic (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
46:47:00,22:16,Tor! Lukas Becher (HSG Wetzlar) netzt ein zum neuen Spielstand von 22:16.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
46:09:00,21:16,"Neuer Spielstand in Wetzlar, 21:16 durch den Treffer 6M von Stefan Cavor für HSG Wetzlar.",HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
45:32:00,,Auszeit ASV Hamm-Westfalen,HSG Wetzlar,ASV Hamm-Westfalen,0,1,0,0,0,0,0,0
44:56:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
44:33:00,20:15,Lukas Becher (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:15.,HSG Wetzlar,ASV Hamm-Westfalen,0,0,0,0,1,0,0,0
