Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Christopher Rudeck (Bergischer HC) mit einer Parade beim 7-Meter.,HSG Wetzlar,Bergischer HC,0,0,0,0,1,0,0,0
59:12:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Bergischer HC,0,0,1,0,1,0,0,0
59:07:00,22:28,Tobias Schmitz (Bergischer HC) überwindet den Torwart von (LA) zum neuen Spielstand von 22:28.,HSG Wetzlar,Bergischer HC,0,0,0,0,1,0,0,0
58:53:00,,Jovica Nikolic (HSG Wetzlar) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,HSG Wetzlar,Bergischer HC,0,0,0,0,1,0,0,1
58:11:00,,"Der Torwart von Bergischer HC, Christopher Rudeck pariert den Wurf.",HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
58:02:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Bergischer HC,0,0,1,0,0,0,0,0
57:45:00,,Lukas Stutzke von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
57:25:00,,Der Wurf von Lenny Rubin (HSG Wetzlar) landet hinter dem Tor.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
57:07:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,Bergischer HC,0,0,1,0,0,0,0,0
56:49:00,22:27,Noah Beyer (Bergischer HC) trifft zum Spielstand von 22:27 in Buderus Arena Wetzlar.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
56:28:00,,"Der Torwart von Bergischer HC, Christopher Rudeck pariert den gegebenen 7-Meter.",HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
56:06:00,22:26,Lukas Stutzke (Bergischer HC) legt den Treffer von Isak Persson auf. Es steht 22:26.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
55:35:00,,Auszeit Bergischer HC,HSG Wetzlar,Bergischer HC,0,1,0,0,0,0,0,0
55:08:00,,Frederik Ladefoged von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
55:05:00,22:25,Tor für HSG Wetzlar durch Erik Schmidt nach einem Pass von Magnus Fredriksen.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
54:24:00,,Christopher Rudeck (Bergischer HC) hält den Wurf von Domen Novak.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
53:52:00,21:25,Tor! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 21:25.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
53:07:00,,Lenny Rubin (HSG Wetzlar) trifft die Latte.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
52:15:00,,"Gute Torchance, aber Alexander Weck (Bergischer HC) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
51:46:00,21:24,"Neuer Spielstand in Wetzlar, 21:24 durch den Treffer von Lenny Rubin für HSG Wetzlar.",HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
50:58:00,,Christopher Rudeck (Bergischer HC) mit einer Parade.,HSG Wetzlar,Bergischer HC,0,0,0,0,0,0,0,0
50:23:00,,Auszeit HSG Wetzlar,HSG Wetzlar,Bergischer HC,1,0,0,0,0,0,0,0
49:41:00,,Zeitstrafe vorbei HSG Wetzlar,HSG Wetzlar,Bergischer HC,0,0,0,0,1,0,0,0
