Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,25:27:00,Filip Kuzmanovski (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 25:27.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
59:46:00,,Mohamed Amine Darmoul von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
59:29:00,24:27:00,Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 24:27.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
59:17:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
58:59:00,,"Wurf von Emil Mellegard (HSG Wetzlar), aber der Ball landet nur am Pfosten.",HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
58:52:00,,Philipp Ahouansou von GWD Minden unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
58:29:00,23:27,Filip Kuzmanovski (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 23:27.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
58:13:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,GWD Minden,0,0,1,0,0,0,0,0
58:06:00,22:27,Tor (6M)! Philipp Ahouansou (GWD Minden) netzt ein zum neuen Spielstand von 22:27.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
57:36:00,22:26,Die Vorbereitung von Filip Kuzmanovski (HSG Wetzlar) führt zum Treffer durch Nikita Pliuto.,HSG Wetzlar,GWD Minden,0,0,0,0,0,0,0,0
57:24:00,,Siebter Spieler eingewechselt HSG Wetzlar,HSG Wetzlar,GWD Minden,0,0,1,0,0,0,0,0
