Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,28:35:00,Adam Nyfjäll (HSG Wetzlar) trifft zum Spielstand von 28:35 in Buderus Arena Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
59:49:00,27:35:00,"Neuer Spielstand in Wetzlar, 27:35 durch den Treffer RR/fern von Yannik Bialowas für HC Erlangen.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
59:14:00,,Adam Nyfjäll (HSG Wetzlar) trifft nur den Pfosten.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
58:57:00,27:34:00,Tim Zechel (HC Erlangen) trifft von (RM/fern). Neuer Spielstand in Buderus Arena Wetzlar: 27:34.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
58:40:00,27:33:00,"Neuer Spielstand in Wetzlar, 27:33 durch den Treffer von Adam Nyfjäll für HSG Wetzlar.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
58:15:00,,"Gute Torchance, aber Bertram Obling (HC Erlangen) kann diese nicht erfolgreich verwandeln.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
58:00:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,0,0,0,0
57:55:00,26:33:00,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
57:19:00,26:32:00,Stefan Cavor (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 26:32.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
57:05:00,,Überragende Parade des Torwarts Till Klimpke (HSG Wetzlar)! Nico Büdel kann den Ball nicht im Tor unterbringen!,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
56:30:00,25:32:00,Jonas Schelker (HSG Wetzlar) trifft zum Spielstand von 25:32 in Buderus Arena Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
56:15:00,,Zeitstrafe vorbei HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
55:51:00,24:32:00,Tor! Hampus Olsson (HC Erlangen) netzt ein zum neuen Spielstand von 24:32.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
55:20:00,24:31:00,Tor (6M)! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 24:31.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
55:10:00,,Christoph Steinert von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
54:35:00,,Siebter Spieler eingewechselt HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,1,0,1,0,0
54:28:00,,Zeitstrafe vorbei HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,0
54:24:00,,Filip Kuzmanovski (HSG Wetzlar) scheitert am Torwart Bertram Obling (HC Erlangen).,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,0
54:11:00,,Tim Zechel (HC Erlangen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,1,0
54:08:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
54:01:00,,Parade von Torwart Till Klimpke (HSG Wetzlar).,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
53:37:00,,Filip Kuzmanovski von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
53:15:00,23:31,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 23:31.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
53:02:00,23:30,Lenny Rubin (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 23:30.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
52:47:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
52:36:00,22:30,Christoph Steinert (HC Erlangen) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 22:30.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
52:21:00,,2-Minuten-Strafe für Jonas Schelker. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,1
52:17:00,,Jonas Schelker von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
51:55:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,0,0,0,0
51:48:00,22:29,Tor (RA)! Hampus Olsson (HC Erlangen) netzt ein zum neuen Spielstand von 22:29.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
51:17:00,22:28,"Neuer Spielstand in Wetzlar, 22:28 durch den Treffer 6M von Jonas Schelker für HSG Wetzlar.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
51:09:00,,Auszeit HSG Wetzlar.,HSG Wetzlar,HC Erlangen,1,0,0,0,0,0,0,0
51:02:00,,Zeitstrafe vorbei HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
50:35:00,,"Tor Tim Zechel, HC Erlangen.",HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
50:28:00,,Technischer Fehler HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
49:31:00,,Zeitstrafe vorbei HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,0
49:21:00,21:27,"Neuer Spielstand in Wetzlar, 21:27 durch den Treffer von Hampus Olsson für HC Erlangen.",HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,0
49:00:00,,Lenny Rubin geht den Gegner zu stark an. HSG Wetzlar muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,1
48:45:00,,Siebter Spieler eingewechselt HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,1,0,1,0,0
48:34:00,21:26,Lenny Rubin (HSG Wetzlar) trifft zum Spielstand von 21:26 in Buderus Arena Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
48:26:00,,Tor! Christopher Bissel (HC Erlangen) netzt ein zum neuen Spielstand von 20:26.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
47:43:00,,Siebter Spieler eingewechselt HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,1,0,1,0,0
47:33:00,20:25,Domen Novak (HSG Wetzlar) trifft von der 7-Meter Linie und bringt den Spielstand auf 20:25.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,0,0
47:30:00,,Antonio Metzner (HC Erlangen) erhält eine 2 Minuten Strafe.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,1,1,0
47:23:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
47:17:00,,Der Wurf von Lenny Rubin (HSG Wetzlar) landet hinter dem Tor.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
46:23:00,19:25,Tor! Domen Novak (HSG Wetzlar) netzt ein zum neuen Spielstand von 19:25.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
45:50:00,,Christoph Steinert (HC Erlangen) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 18:25.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
44:54:00,,Filip Kuzmanovski von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
44:52:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,0,0,0,0
43:50:00,18:24,Domen Novak (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 18:24.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
43:34:00,,"Torwurf von Christopher Bissel (HC Erlangen), aber der Ball trifft nur die Latte.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
43:16:00,,Der Wurf von HC Erlangen wurde geblockt.,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
42:48:00,,"Parade des Torwarts von HSG Wetzlar, Till Klimpke.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
41:59:00,,"Der Torwart von HC Erlangen, Bertram Obling pariert den Wurf.",HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
41:45:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,0,0,0,0
41:35:00,,Zeitstrafe vorbei HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
41:34:00,17:24,Christoph Steinert (HC Erlangen) trifft zum Spielstand von 17:24 in Buderus Arena Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
40:47:00,,Zeitstrafe vorbei HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
40:46:00,,"Der Trainer von HC Erlangen, Raúl Alonso stellt nun Bertram Obling zwischen die Pfosten.",HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
40:38:00,17:23,Der 7-Meter wurde von Domen Novak (HSG Wetzlar) erfolgreich verwandelt.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
40:31:00,,Nun wird Klemen Ferlin für HC Erlangen im Tor stehen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
40:08:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
40:06:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
39:52:00,,Stefan Ruhl von HSG Wetzlar wurde mit der Gelben Karte von Hannes/Hannes verwarnt.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
39:35:00,,"Nach einem harten Foul hat Adam Nyfjäll (HSG Wetzlar) nun zwei Minuten Zeit, um sich auszuruhen.",HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,1
39:33:00,,Adam Nyfjäll (HSG Wetzlar) scheitert am Torwart Bertram Obling (HC Erlangen).,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
39:10:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
38:44:00,,Erik Schmidt (HSG Wetzlar) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,1
38:08:00,,Überragende Parade des Torwarts Bertram Obling (HC Erlangen)! Jovica Nikolic kann den Ball nicht im Tor unterbringen!,HSG Wetzlar,HC Erlangen,0,0,0,0,0,0,0,0
38:02:00,,Zeitstrafe vorbei HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
37:33:00,,Auszeit HSG Wetzlar.,HSG Wetzlar,HC Erlangen,1,0,0,0,1,0,0,0
37:16:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,HC Erlangen,0,0,1,0,1,0,0,0
37:12:00,16:22,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 16:22.",HSG Wetzlar,HC Erlangen,0,0,0,0,1,0,0,0
37:05:00,,Zeitstrafe vorbei HC Erlangen.,HSG Wetzlar,HC Erlangen,0,0,0,0,1,1,0,0
