Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
58:57:00,,"Parade des Torwarts von SC Magdeburg, Nikola Portner.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
58:17:00,30:35:00,Tor! Nikola Portner (SC Magdeburg) netzt ein zum neuen Spielstand von 30:35.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
58:09:00,,Siebter Spieler eingewechselt HSG Wetzlar.,HSG Wetzlar,SC Magdeburg,0,0,1,0,0,0,0,0
58:05:00,,"Der Torwart von SC Magdeburg, Nikola Portner pariert den Wurf.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
57:52:00,,Auszeit HSG Wetzlar.,HSG Wetzlar,SC Magdeburg,1,0,0,0,0,0,0,0
57:44:00,,Till Klimpke (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
57:40:00,,Tim Hornke (SC Magdeburg) scheitert am Torwart Till Klimpke (HSG Wetzlar).,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
57:18:00,,"Wurf von Oscar Bergendahl (SC Magdeburg), aber der Ball landet nur am Pfosten.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
56:14:00,30:34:00,Stefan Cavor (HSG Wetzlar) trifft zum Spielstand von 30:34 in Buderus Arena Wetzlar.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
55:42:00,,"Wurfversuch von Gisli Thorgeir Kristjansson (SC Magdeburg), aber der Ball landet an der Latte.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
55:10:00,29:34:00,Hendrik Wagner (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 29:34.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
54:26:00,28:34:00,"Neuer Spielstand in Wetzlar, 28:34 durch den Treffer 6M von Oscar Bergendahl für SC Magdeburg.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
54:06:00,,Auszeit SC Magdeburg.,HSG Wetzlar,SC Magdeburg,0,1,0,0,0,0,0,0
54:04:00,28:33:00,"Neuer Spielstand in Wetzlar, 28:33 durch den Treffer von Domen Novak für HSG Wetzlar.",HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
53:30:00,27:33:00,Lukas Becher (HSG Wetzlar) trifft von (6M). Neuer Spielstand in Buderus Arena Wetzlar: 27:33.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
52:45:00,26:33:00,Tor (RL/fern)! Hendrik Wagner (HSG Wetzlar) netzt ein zum neuen Spielstand von 26:33.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
51:50:00,,Kay Smits (SC Magdeburg) trifft zum Spielstand von 25:33 in Buderus Arena Wetzlar.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
51:39:00,25:32:00,Adam Nyfjäll (HSG Wetzlar) überwindet den Torwart von (6M) zum neuen Spielstand von 25:32.,HSG Wetzlar,SC Magdeburg,0,0,0,0,0,0,0,0
