Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:50:00,26:24:00,Tor! Adam Nyfjäll (HSG Wetzlar) netzt ein zum neuen Spielstand von 26:24.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:33:00,25:24:00,"Neuer Spielstand in Wetzlar, 25:24 durch den Treffer von Lukas Hutecek für TBV Lemgo Lippe.",HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:13:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic hält den Wurf von Samuel Zehnder.",HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:08:00,,Parade von Torwart Anadin Suljakovic (HSG Wetzlar).,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:02:00,,Anadin Suljakovic (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:55:00,,Adam Nyfjäll von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:34:00,,Auszeit HSG Wetzlar,HSG Wetzlar,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
58:09:00,,Anadin Suljakovic (HSG Wetzlar) mit einer Parade.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:56:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
57:47:00,25:23:00,Tor (6M)! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 25:23.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:59:00,24:23:00,Hendrik Wagner (HSG Wetzlar) trifft zum Spielstand von 24:23 in Buderus Arena Wetzlar.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:12:00,23:23,Lukas Zerbe (TBV Lemgo Lippe) trifft von (RA). Neuer Spielstand in Buderus Arena Wetzlar: 23:23.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:14:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
55:06:00,23:22,Tor! Lenny Rubin (HSG Wetzlar) netzt ein zum neuen Spielstand von 23:22.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:43:00,,Nun wird Anadin Suljakovic für HSG Wetzlar im Tor stehen.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:34:00,22:22,Tor (RM/fern)! Lukas Hutecek (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 22:22.,HSG Wetzlar,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
