,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,32:25:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 32:25.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
2,59:06:00,31:25:00,Andreas Magaard (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 31:25.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
3,58:35:00,,Ivan Budalic (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
4,58:02:00,30:25:00,"Neuer Spielstand in Hamburg, 30:25 durch den Treffer 6M von Leif Tissier für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
5,56:50:00,29:25:00,Alexander Schulze (ASV Hamm-Westfalen) trifft zum Spielstand von 29:25 in Barclays Arena.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
6,56:43:00,,"Block von Remi Leventoux, der den Torwurf von Nicolai Theilinger verhindert.",Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
7,56:34:00,,Der Wurfversuch von Nicolai Theilinger (Handball Sport Verein Hamburg) wurde durch einen Block von Remi Leventoux verhindert.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
8,55:47:00,,Torwartwechsel bei Handball Sport Verein Hamburg. Ivan Budalic kommt für Johannes Bitter.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
9,55:30:00,,Der eingewechselte Torwart Johannes Bitter (Handball Sport Verein Hamburg) steht nun zwischen den Pfosten.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
10,55:29:00,29:24:00,Der 7-Meter wurde von Fabian Huesmann (ASV Hamm-Westfalen) erfolgreich verwandelt.,Handball Sport Verein Hamburg,ASV Hamm-Westfalen,0,0,0,0,0,0,0,0
