,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,,"Der Torwart von Bergischer HC, Peter Johannesson pariert den Wurf.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
2,59:37:00,33:23:00,Tor! Frederik Ladefoged (Bergischer HC) netzt ein zum neuen Spielstand von 33:23.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
3,59:12:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
4,59:01:00,33:22:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 33:22.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
5,58:46:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
6,57:59:00,32:22:00,Alexander Weck (Bergischer HC) trifft zum Spielstand von 32:22 in Barclays Arena.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
7,57:44:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
8,57:24:00,32:21:00,Ivan Budalic (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 32:21.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
9,57:21:00,,Parade von Torwart Ivan Budalic (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
10,57:01:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Ivan Budalic.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
11,56:22:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
12,56:16:00,31:21:00,"Neuer Spielstand in Hamburg, 31:21 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
13,55:28:00,,Tom Bergner von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
14,55:23:00,30:21:00,"Neuer Spielstand in Hamburg, 30:21 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
15,54:11:00,29:21:00,Noah Beyer (Bergischer HC) trifft von (LA). Neuer Spielstand in Barclays Arena: 29:21.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
16,53:48:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
17,53:43:00,,Zeitstrafe vorbei Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
18,53:35:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,1,0,0
19,53:03:00,,Dominik Axmann von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
20,52:50:00,,Ivan Budalic (Handball Sport Verein Hamburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
21,52:35:00,29:20:00,Tor! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 29:20.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
22,52:13:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,1,0,0
23,52:01:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,1,0,0
24,51:52:00,,Peter Johannesson (Bergischer HC) mit einer Parade.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,1,0,0
25,51:40:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,1,0,1,1,0,0
26,51:38:00,,Es gibt eine 2 Minuten Strafe für Linus Arnesson (Bergischer HC).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,1,1,0
27,51:06:00,,Johannes Bitter (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
28,50:48:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,1,0,0,0
29,50:33:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz...,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
30,50:09:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,1,0,1,0,0,0
31,49:47:00,,Tobias Schimmelbauer (Handball Sport Verein Hamburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,1
32,49:47:00,29:19:00,Tor (6M)! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 29:19.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
33,49:24:00,29:18:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft zum Spielstand von 29:18 in Barclays Arena.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
34,48:48:00,,Johannes Bitter (Handball Sport Verein Hamburg) hält den Wurf von Noah Beyer.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
35,48:28:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
36,48:17:00,,Der Spieler Casper Ulrich Mortensen von Handball Sport Verein Hamburg vergibt den 7-Meter.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
37,47:30:00,,"Noah Beyer (LA) wirft, jedoch neben das Tor.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
38,47:23:00,28:18:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 28:18.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
39,46:51:00,27:18:00,Isak Persson (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 27:18.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
40,46:30:00,,Auszeit Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,1,0,0,0,0,0,0
41,46:20:00,27:17:00,"Neuer Spielstand in Hamburg, 27:17 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
42,45:34:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
43,45:30:00,26:17:00,Tor! Dani Baijens (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 26:17.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
44,44:42:00,25:17:00,Frederik Ladefoged (Bergischer HC) trifft von (6M). Neuer Spielstand in Barclays Arena: 25:17.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
45,44:12:00,25:16:00,"Neuer Spielstand in Hamburg, 25:16 durch den Treffer 6M von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
46,44:06:00,,Parade von Torwart Peter Johannesson (Bergischer HC).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
47,43:33:00,24:16:00,Noah Beyer (Bergischer HC) trifft zum Spielstand von 24:16 in Barclays Arena.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
48,43:25:00,,Jacob Arenth Lassen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
49,43:12:00,,Der Wurfversuch von Azat Valiullin (Handball Sport Verein Hamburg) wurde durch einen Block von Djibril M'Bengue verhindert.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
50,42:16:00,24:15:00,Isak Persson (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 24:15.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
51,41:48:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
52,41:37:00,24:14:00,"Tor Johannes Bitter, Handball Sport Verein Hamburg",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
53,41:28:00,,"Gute Torchance, aber Lukas Stutzke (Bergischer HC) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
54,41:05:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,0,0,0
55,40:56:00,23:14,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 23:14.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
56,40:09:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter hält den Wurf von Djibril M'Bengue.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
57,39:59:00,22:14,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 22:14.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
58,39:05:00,,Zeitstrafe vorbei Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
59,39:01:00,21:14,Dani Baijens (Handball Sport Verein Hamburg) trifft zum Spielstand von 21:14 in Barclays Arena.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
60,38:51:00,20:14,Tor (LA)! Noah Beyer (Bergischer HC) netzt ein zum neuen Spielstand von 20:14.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
61,38:21:00,,Auszeit Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,1,0,0,0,1,0,0
62,37:29:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Johannes Bitter.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
63,36:48:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,1,0,0
64,36:37:00,,"Nach einem harten Foul hat Djibril M'Bengue (Bergischer HC) nun zwei Minuten Zeit, um sich auszuruhen.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,1,0
65,36:35:00,20:13,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 20:13.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
66,35:52:00,19:13,Niklas Weller (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 19:13.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
67,34:49:00,18:13,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 18:13.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
68,34:15:00,17:13,"Neuer Spielstand in Hamburg, 17:13 durch den Treffer 6M von Lukas Stutzke für Bergischer HC.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
69,33:51:00,17:12,"Neuer Spielstand in Hamburg, 17:12 durch den Treffer von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
70,33:17:00,,Isak Persson von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
71,33:06:00,,Überragende Parade des Torwarts Christopher Rudeck (Bergischer HC)! Azat Valiullin kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
72,32:34:00,,Djibril M'Bengue (Bergischer HC) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
73,32:00:00,16:12,Tor! Azat Valiullin (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 16:12.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
74,31:27:00,15:12,Isak Persson (Bergischer HC) trifft zum Spielstand von 15:12 in Barclays Arena.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
75,31:15:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter pariert den Wurf.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
76,30:33:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter pariert den Wurf.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
77,HALBZ,15:11,,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
78,30:00:00,,Der Wurf von Jacob Arenth Lassen (Handball Sport Verein Hamburg) landet hinter dem Tor.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
79,29:43:00,15:11,"Tor von der 7-Meter Linie von Noah Beyer (Bergischer HC), neuer Spielstand 15:11.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
80,29:02:00,15:10,"Neuer Spielstand in Hamburg, 15:10 durch den Treffer 6M von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
81,28:21:00,,Überragende Parade des Torwarts Johannes Bitter (Handball Sport Verein Hamburg)! Lukas Stutzke kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
82,26:54:00,,"Tomas Babak (RM/fern) wirft, jedoch neben das Tor.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
83,26:50:00,,Zeitstrafe vorbei Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
84,26:19:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,0,1,0,0
85,26:06:00,14:10,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (LA). Neuer Spielstand in Barclays Arena: 14:10.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
86,25:40:00,,Lukas Stutzke von Bergischer HC unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,1,0,0
87,25:34:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,1,0,0
88,25:30:00,,Siebter Spieler eingewechselt Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,1,1,1,0,0
89,24:38:00,,Linus Arnesson (Bergischer HC) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,1,1,0
90,24:01:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,1,0,1,0,0,0
91,23:44,13:10,Tor! Tom Kare Nikolaisen (Bergischer HC) netzt ein zum neuen Spielstand von 13:10.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
92,23:31,,Tobias Schimmelbauer geht den Gegner zu stark an. Handball Sport Verein Hamburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,1
93,23:01,,"Gute Torchance, aber Frederik Bo Andersen (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
94,22:28,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
95,22:19,,Fehlwurf von Alexander Weck (Bergischer HC).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
96,21:30,13:09,"Neuer Spielstand in Hamburg, 13:9 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
97,20:39,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Bergischer HC,0,0,1,0,1,0,0,0
98,20:26,12:09,Noah Beyer (Bergischer HC) trifft von der 7-Meter Linie.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,0
99,20:21,,Niklas Weller (Handball Sport Verein Hamburg) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,1,0,0,1
100,19:49,,Christopher Rudeck (Bergischer HC) hält den Wurf von Jacob Arenth Lassen.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
101,19:46,12:08,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 12:8.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
102,19:04,11:08,Tor (6M)! Lukas Stutzke (Bergischer HC) netzt ein zum neuen Spielstand von 11:8.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
103,19:01,,Lattenkracher von Niklas Weller (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
104,18:22,11:07,Lukas Stutzke (Bergischer HC) überwindet den Torwart von (6M) zum neuen Spielstand von 11:7.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
105,18:07,,Auszeit Bergischer HC,Handball Sport Verein Hamburg,Bergischer HC,0,1,0,0,0,0,0,0
106,17:58,11:06,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 11:6.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
107,17:24,10:06,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 10:6.,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
108,16:54,9:06,"Neuer Spielstand in Hamburg, 9:6 durch den Treffer 6M von Niklas Weller für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
109,16:50,,Jacob Arenth Lassen (Handball Sport Verein Hamburg) scheitert am Torwart Christopher Rudeck (Bergischer HC).,Handball Sport Verein Hamburg,Bergischer HC,0,0,0,0,0,0,0,0
