,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:55:00,,Tor (6M)! Lukas Mertens (SC Magdeburg) netzt ein zum neuen Spielstand von 28:30.,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
2,59:43:00,,Auszeit SC Magdeburg,Handball Sport Verein Hamburg,SC Magdeburg,0,1,0,0,1,0,0,0
3,59:27:00,,"Nach einem harten Foul hat Casper Ulrich Mortensen (Handball Sport Verein Hamburg) nun zwei Minuten Zeit, um sich auszuruhen.",Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,1
4,59:18:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
5,59:15:00,28:29:00,Der 7-Meter wurde von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
6,59:08:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SC Magdeburg,0,0,1,0,1,0,0,0
7,58:54:00,,Überragende Parade des Torwarts Johannes Bitter (Handball Sport Verein Hamburg)! Lukas Mertens kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
8,58:21:00,27:29:00,Azat Valiullin (Handball Sport Verein Hamburg) trifft zum Spielstand von 27:29 in Barclays Arena.,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
9,58:02:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SC Magdeburg,0,0,1,0,1,0,0,0
10,57:48:00,,Daniel Pettersson (SC Magdeburg) überwindet den Torwart von (RA) zum neuen Spielstand von 26:29.,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,0
11,57:15:00,,Markus Gross (Handball Sport Verein Hamburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,SC Magdeburg,0,0,0,0,1,0,0,1
