,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Der Wurf von Handball Sport Verein Hamburg wurde geblockt.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,60:00:00,,Magnus Abelvik Rød geht den Gegner zu stark an. SG Flensburg-Handewitt muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,1,0
3,59:59:00,,Der eingewechselte Torwart Kevin Møller (SG Flensburg-Handewitt) steht nun zwischen den Pfosten.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
4,59:57:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
5,59:57:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
6,59:56:00,30:31:00,Johannes Golla (SG Flensburg-Handewitt) trifft zum Spielstand von 30:31 in Barclays Arena.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,59:33:00,,Torsten Jansen (Handball Sport Verein Hamburg) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,1,0
8,59:33:00,,Tobias Schimmelbauer (Handball Sport Verein Hamburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,1
9,59:18:00,,Auszeit SG Flensburg-Handewitt,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
10,58:53:00,30:30:00,Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart von (RL/fern) zum neuen Spielstand von 30:30.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
11,58:12:00,,Handball Sport Verein Hamburg wechselt den Torwart. Johannes Bitter kommt für Ivan Budalic.,Handball Sport Verein Hamburg,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
