Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:55:00,30:34:00,Miha Zarabec (THW Kiel) trifft zum Spielstand von 30:34 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
59:41:00,30:33:00,"Neuer Spielstand in Hamburg, 30:33 durch den Treffer RA von Thies Bergemann für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
58:59:00,29:33:00,Harald Reinkind (THW Kiel) überwindet den Torwart zum neuen Spielstand von 29:33.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
58:12:00,,Jens Vortmann (Handball Sport Verein Hamburg) hält den Wurf von Hendrik Pekeler.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
57:44:00,,Blazenko Lackovic von Handball Sport Verein Hamburg wurde mit der Gelben Karte von Tonnies/Schulze verwarnt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
57:16:00,29:32:00,Thies Bergemann (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 29:32.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
56:23:00,,"Der Torwart von THW Kiel, Tomas Mrkva hält den Wurf von Leif Tissier.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
55:47:00,,Jens Vortmann (Handball Sport Verein Hamburg) bleibt Sieger im 7-Meter-Duell gegen Niclas Ekberg (THW Kiel).,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
54:57:00,28:32:00,Tor (6M)! Niklas Weller (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 28:32.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
54:22:00,27:32:00,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 27:32.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
54:06:00,,Der Wurfversuch von Miha Zarabec (THW Kiel) wurde durch einen Block von Niklas Weller verhindert.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
53:48:00,,53:48:00 27:31:00 Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft zum Spielstand von 27:31 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
52:29:00,,Nikola Bilyk von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
52:15:00,26:31:00,"Neuer Spielstand in Hamburg, 26:31 durch den Treffer LA von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
51:39:00,25:31:00,Yannick Fraatz (THW Kiel) überwindet den Torwart von (RA) zum neuen Spielstand von 25:31.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
51:20:00,,Auszeit THW Kiel,Handball Sport Verein Hamburg,THW Kiel,0,1,0,0,0,0,0,0
51:13:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
50:36:00,25:30:00,Tor (6M)! Azat Valiullin (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 25:30.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
50:25:00,24:30:00,Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 24:30.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
49:26:00,,Tomas Mrkva (THW Kiel) hält den Wurf von Casper Ulrich Mortensen.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
49:06:00,24:29:00,"Neuer Spielstand in Hamburg, 24:29 durch den Treffer von Nikola Bilyk für THW Kiel.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
48:56:00,24:28:00,Tor! Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 24:28.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
48:14:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Jens Vortmann.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
47:17:00,,Fehlwurf von Dani Baijens (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
46:28:00,,Parade von Torwart Jens Vortmann (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
46:19:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Dani Baijens kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
46:04:00,23:28,Nikola Bilyk (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 23:28.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
45:24:00,,"Neuer Spielstand in Hamburg, 23:27 durch den Treffer RM/fern von Azat Valiullin für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
45:13:00,,"Der Torwart von Handball Sport Verein Hamburg, Jens Vortmann hält den Wurf von Niclas Ekberg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
44:36:00,22:27,"Neuer Spielstand in Hamburg, 22:27 durch den Treffer von Leif Tissier für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
44:25:00,,Sander Sagosen von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
43:48:00,,Niklas Weller von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
43:07:00,21:27,Tor (6M)! Hendrik Pekeler (THW Kiel) netzt ein zum neuen Spielstand von 21:27.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
42:59:00,21:26,21:26:00 Leif Tissier (Handball Sport Verein Hamburg) trifft zum Spielstand von 21:26 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
42:22:00,,"Der Torwart von Handball Sport Verein Hamburg, Jens Vortmann pariert den Wurf.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
41:38:00,20:26,20:26:00 Niklas Weller (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 20:26.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
40:53:00,19:26,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 19:26.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
40:10:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
39:19:00,19:25,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 19:25.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
38:32:00,19:24,19:24:00 Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 19:24.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
38:07:00,,Auszeit Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,THW Kiel,1,0,0,0,0,0,0,0
38:01:00,18:24,Patrick Wiencek (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 18:24.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
37:53:00,,Dominik Axmann von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
37:45:00,,Niclas Ekberg (THW Kiel) scheitert am Torwart Jens Vortmann (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
37:06:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den gegebenen 7-Meter.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
36:30:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
36:22:00,,Casper Ulrich Mortensen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
36:16:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
35:55:00,,"Casper Ulrich Mortensen wirft auf das Tor, trifft aber nur den Pfosten.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
34:41:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Jens Vortmann.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
33:46:00,18:23,18:23:00 Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (LA). Neuer Spielstand in Barclays Arena: 18:23.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
33:07:00,17:23,"Neuer Spielstand in Hamburg, 17:23 durch den Treffer von Nikola Bilyk für THW Kiel.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
33:00:00,,Frederik Bo Andersen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
32:53:00,,"Der Torwart von THW Kiel, Tomas Mrkva pariert den Wurf.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
32:22:00,17:22,Tor (RA)! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 17:22.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
32:16:00,,"Block von Dominik Axmann, der den Torwurf von Harald Reinkind verhindert.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
32:03:00,17:21,"Neuer Spielstand in Hamburg, 17:21 durch den Treffer 6M von Frederik Bo Andersen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
31:54:00,,Der Wurf von THW Kiel wurde geblockt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
31:44:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
30:47:00,,"Wurf von Dominik Axmann (Handball Sport Verein Hamburg), aber der Ball landet nur am Pfosten.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
30:35:00,16:21,Sander Sagosen (THW Kiel) trifft zum Spielstand von 16:21 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
30:09:00,,Jens Vortmann (Handball Sport Verein Hamburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
HALBZ,16:20,,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
29:59:00,,Der Wurf von Nikola Bilyk (THW Kiel) landet hinter dem Tor.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
29:52:00,,Auszeit THW Kiel.,Handball Sport Verein Hamburg,THW Kiel,0,1,0,0,0,0,0,0
29:46:00,16:20,16:20:00 Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft zum Spielstand von 16:20 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
29:04:00,15:20,29:04:00 Magnus Landin (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 15:20.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
28:28:00,15:19,"Neuer Spielstand in Hamburg, 15:19 durch den Treffer von Nikola Bilyk für THW Kiel.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
27:20:00,15:18,Tor! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 15:18.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
26:48:00,15:17,27:20:00 Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 15:17.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
25:59:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,THW Kiel,1,0,0,0,0,0,0,0
25:46:00,14:17,Petter Øverby (THW Kiel) trifft von (6M). Neuer Spielstand in Barclays Arena: 14:17.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
25:03:00,,Tomas Mrkva (THW Kiel) hält den Wurf von Casper Ulrich Mortensen.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
24:29:00,14:16,"Neuer Spielstand in Hamburg, 14:16 durch den Treffer 6M von Miha Zarabec für THW Kiel.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
24:06:00,,"Gute Torchance, aber Casper Ulrich Mortensen (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
23:31,14:15,Der 7-Meter wurde von Niclas Ekberg (THW Kiel) erfolgreich verwandelt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
22:27,14:14,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 14:14.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
21:44,13:14,Tor (LA)! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 13:14.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
21:29,13:13,Tor! Dani Baijens (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 13:13.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
20:38,,Torwartwechsel bei Handball Sport Verein Hamburg. Alexander Pinski kommt für Jens Vortmann.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
20:29,12:13,"Neuer Spielstand in Hamburg, 12:13 durch den Treffer von Sander Sagosen für THW Kiel.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
20:21,,Der eingewechselte Torwart Tomas Mrkva (THW Kiel) steht nun zwischen den Pfosten.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
19:53,12:12,Andreas Magaard (Handball Sport Verein Hamburg) trifft zum Spielstand von 12:12 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
19:46,,Patrick Wiencek von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
19:32,11:12,"Neuer Spielstand in Hamburg, 11:12 durch den Treffer 6M von Andreas Magaard für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
19:21,10:12,Patrick Wiencek (THW Kiel) überwindet den Torwart zum neuen Spielstand von 10:12.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
18:33,10:11,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie und bringt den Spielstand auf 10:11.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
17:49,,Der Wurfversuch von Dani Baijens (Handball Sport Verein Hamburg) wurde durch einen Block von Magnus Landin verhindert.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
17:03,,Azat Valiullin mit dem Lattenkracher. Was für ein Pech.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
16:33,10:10,Tor (LA)! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 10:10.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
16:03,10:09,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart von (RA) zum neuen Spielstand von 10:9.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
15:56,,Patrick Wiencek (THW Kiel) trifft von (6M). Neuer Spielstand in Barclays Arena: 9:9.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
14:39,9:08,"Neuer Spielstand in Hamburg, 9:8 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
14:06,,Tor (6M)! Harald Reinkind (THW Kiel) netzt ein zum neuen Spielstand von 8:8.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
13:54,8:07,Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 8:7.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
13:05,,"Torwurf von Azat Valiullin (Handball Sport Verein Hamburg), aber der Ball trifft nur die Latte.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
12:29,7:07,Tor! Niclas Ekberg (THW Kiel) netzt ein zum neuen Spielstand von 7:7.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
12:00,,Zeitstrafe vorbei THW Kiel,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,1,0,0
11:57,7:06,"Neuer Spielstand in Hamburg, 7:6 durch den Treffer RA von Frederik Bo Andersen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,1,0,0
11:39,,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,1,0,0
10:29,,Siebter Spieler eingewechselt THW Kiel,Handball Sport Verein Hamburg,THW Kiel,0,0,0,1,1,1,0,0
10:29,5:05,Patrick Wiencek (THW Kiel) trifft zum Spielstand von 5:5 in Barclays Arena.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,1,0,0
9:58,,Niklas Landin (THW Kiel) mit einer Parade beim 7-Meter.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,1,0,0
9:55,,Magnus Landin (THW Kiel) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,1,1,0
9:02,,Tobias Schimmelbauer (Handball Sport Verein Hamburg) wird für die verbleibende Spielzeit dieses Spiels disqualifiziert und muss das Spielfeld umgehend verlassen!,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,1,0,0,1
8:56,,"Der Torwart von THW Kiel, Niklas Landin hält den Wurf von Frederik Bo Andersen.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
8:09,5:04,"Neuer Spielstand in Hamburg, 5:4 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
7:49,4:04,Nikola Bilyk (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 4:4.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,0,0,0
7:04,,Zeitstrafe vorbei THW Kiel,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,1,0,0
6:56,4:03,Tor (6M)! Niklas Weller (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 4:3.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,1,0,0
6:46,,Dani Baijens (Handball Sport Verein Hamburg) scheitert am Torwart Niklas Landin (THW Kiel).,Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,1,0,0
6:16,3:03,"Tor von der 7-Meter Linie von Niclas Ekberg (THW Kiel), neuer Spielstand 3:3.",Handball Sport Verein Hamburg,THW Kiel,0,0,0,0,0,1,0,0
5:42,,Siebter Spieler eingewechselt THW Kiel.,Handball Sport Verein Hamburg,THW Kiel,0,0,0,1,0,1,0,0
