,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:59:00,34:31:00,Dominik Mappes (VfL Gummersbach) legt den Treffer von Stepan Zeman auf. Es steht 34:31.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
2,59:42:00,34:30:00,Azat Valiullin (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 34:30.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
3,59:09:00,,Julian Köster von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
4,58:58:00,33:30:00,"Neuer Spielstand in Hamburg, 33:30 durch den Treffer 6M von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
5,58:27:00,,"Der Towart von Handball Sport Verein Hamburg, Johannes Bitter pariert den gegebenen 7-Meter.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
6,58:26:00,,Der eingewechselte Torwart Johannes Bitter (Handball Sport Verein Hamburg) steht nun zwischen den Pfosten.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
7,58:10:00,,Auszeit VfL Gummersbach,Handball Sport Verein Hamburg,VfL Gummersbach,0,1,0,0,0,0,0,0
8,57:55:00,,"Gute Torchance, aber Jacob Arenth Lassen (Handball Sport Verein Hamburg) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
9,56:56:00,32:30:00,Tor (6M)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 32:30.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
10,56:43:00,,Stepan Zeman blockt den Wurf von Jacob Arenth Lassen.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
11,55:27:00,32:29:00,"Neuer Spielstand in Hamburg, 32:29 durch den Treffer von Tilen Kodrin für VfL Gummersbach.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
12,55:26:00,,Tibor Ivanisevic (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
13,55:17:00,32:28:00,Lukas Ossenkopp (Handball Sport Verein Hamburg) trifft zum Spielstand von 32:28 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
14,54:40:00,31:28:00,"Neuer Spielstand in Hamburg, 31:28 durch den Treffer 6M von Julian Köster für VfL Gummersbach.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
15,54:34:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,0,0,0
16,54:31:00,31:27:00,Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 31:27.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,0,0,0
17,53:47:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,1,0,1,0,0,0
18,53:36:00,,Jonas Stüber (VfL Gummersbach) trifft die Latte.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,0,0,0
19,53:17:00,,Siebter Spieler eingewechselt VfL Gummersbach,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,1,1,0,0,0
20,53:11:00,,Zeitstrafe vorbei VfL Gummersbach,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,1,0,0
21,52:47:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,1,0,1,1,0,0
22,52:35:00,30:27:00,"Neuer Spielstand in Hamburg, 30:27 durch den Treffer von Jonas Stüber für VfL Gummersbach.",Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,1,0,0
23,52:21:00,,Niklas Weller geht den Gegner zu stark an. Handball Sport Verein Hamburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,1,1,0,1
24,51:51:00,,Siebter Spieler eingewechselt VfL Gummersbach,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,1,0,1,0,0
25,51:07:00,,Tilen Kodrin (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,1,1,0
26,50:19:00,29:26:00,Ole Pregler (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 29:26.,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
27,49:41:00,,Parade von Torwart Ivan Budalic (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,VfL Gummersbach,0,0,0,0,0,0,0,0
