Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,31:28:00,"Neuer Spielstand in Hamburg, 31:28 durch den Treffer 6M von Jon Lindenchrone Andersen für FRISCH AUF! Göppingen.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:42:00,31:27:00,Thore Feit (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 31:27.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:37:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,1,0,0,0,0,0
59:18:00,30:27:00,Tor! Kevin Maageroe Gulliksen (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 30:27.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:50:00,30:26:00,"Neuer Spielstand in Hamburg, 30:26 durch den Treffer von Marin Sego für FRISCH AUF! Göppingen.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:21:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,1,0,0,0,0,0
58:06:00,30:25:00,Tor (6M)! Blaz Blagotinsek (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 30:25.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:37:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,0,0,0
57:32:00,30:24:00,Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 30:24.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:42:00,,Jon Lindenchrone Andersen von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:33:00,,Nicolai Theilinger von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:09:00,29:24:00,Blaz Blagotinsek (FRISCH AUF! Göppingen) trifft zum Spielstand von 29:24 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:23:00,29:23:00,Tor! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 29:24.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:02:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,0,0,0
54:53:00,28:23:00,Nicolai Theilinger (Handball Sport Verein Hamburg) trifft zum Spielstand von 28:23 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:33:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,1,0,0,0,0,0,0,0
54:10:00,,Jens Vortmann (Handball Sport Verein Hamburg) hält den Wurf von Josip Sarac.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:05:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
53:30:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
53:17:00,27:23:00,"Neuer Spielstand in Hamburg, 27:23 durch den Treffer 6M von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
53:07:00,,Marcel Schiller (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 26:23.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
53:05:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
52:51:00,,Auszeit FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,1,0,0,0,1,0,0
52:51:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
52:39:00,26:22:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 26:22.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
51:52:00,,David Schmidt geht den Gegner zu stark an. FRISCH AUF! Göppingen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,1,0
51:37:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
51:11:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
51:01:00,,Nicolai Theilinger von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
49:49:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,1,0,1,0,0
49:37:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
49:34:00,25:22:00,Der 7-Meter wurde von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
49:30:00,,Tim Kneule (FRISCH AUF! Göppingen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,1,1,0
48:54:00,,"Kevin Maageroe Gulliksen wirft auf das Tor, trifft aber nur den Pfosten.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
48:38:00,24:22:00,"Neuer Spielstand in Hamburg, 24:22 durch den Treffer von Dominik Axmann für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
47:41:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
47:35:00,,Torwartwechsel bei Handball Sport Verein Hamburg. Jens Vortmann kommt für Johannes Bitter.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
47:27:00,23:22,Marcel Schiller (FRISCH AUF! Göppingen) trifft von der 7-Meter Linie.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
47:24:00,,Johannes Bitter (Handball Sport Verein Hamburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
47:23:00,,2-Minuten-Strafe für Azat Valiullin. Handball Sport Verein Hamburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,1,0,1,0
46:51:00,,"Der Torwart von FRISCH AUF! Göppingen, Daniel Rebmann hält den Wurf von Azat Valiullin.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
46:33:00,,Dani Baijens (Handball Sport Verein Hamburg) trifft die Latte.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
46:07:00,,Es gibt Gelb für Markus Baur (FRISCH AUF! Göppingen) von Kinzel/Grobe.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
45:56:00,,Jon Lindenchrone Andersen von FRISCH AUF! Göppingen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
45:31:00,,Auszeit FRISCH AUF! Göppingen.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
45:24:00,23:21,Tor! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 23:21.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
44:41:00,22:21,Azat Valiullin (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 22:21.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
44:29:00,21:21,Kresimir Kozina (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 21:21.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
43:51:00,21:20,Tor! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 21:20.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
43:08:00,20:20,"Neuer Spielstand in Hamburg, 20:20 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
42:56:00,19:20,Kresimir Kozina (FRISCH AUF! Göppingen) trifft zum Spielstand von 19:20 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
42:17:00,19:19,Frederik Bo Andersen (Handball Sport Verein Hamburg) überwindet den Torwart von (RA) zum neuen Spielstand von 19:19.,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
42:05:00,18:19,"Neuer Spielstand in Hamburg, 18:19 durch den Treffer 6M von Kresimir Kozina für FRISCH AUF! Göppingen.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
41:37:00,,Überragende Parade des Torwarts Daniel Rebmann (FRISCH AUF! Göppingen)! Dani Baijens kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
41:22:00,,"Block von Blaz Blagotinsek, der den Torwurf von Azat Valiullin verhindert.",Handball Sport Verein Hamburg,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
