Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,"Jacob Arenth Lassen (6M) wirft, jedoch neben das Tor.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
59:35:00,,Zeitstrafe vorbei HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
59:34:00,33:29:00,Hampus Olsson (HC Erlangen) trifft von der 7-Meter Linie.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
58:38:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,1,0,0
58:25:00,33:28:00,"Neuer Spielstand in Hamburg, 33:28 durch den Treffer von Leif Tissier für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
58:01:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter pariert den Wurf.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
57:50:00,32:28:00,"Neuer Spielstand in Hamburg, 32:28 durch den Treffer 6M von Leif Tissier für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
57:21:00,,"Gute Torchance, aber Simon Jeppsson (HC Erlangen) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
57:08:00,,Sebastian Firnhaber (HC Erlangen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,1,0
57:08:00,31:28:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) trifft zum Spielstand von 31:28 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
56:40:00,30:28:00,Tor! Manuel Zehnder (HC Erlangen) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 30:28.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
56:35:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,0,0,0
56:23:00,,Casper Ulrich Mortensen von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
55:15:00,,Antonio Metzner von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
54:48:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,0,0,0
54:34:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
54:21:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,HC Erlangen,1,0,0,0,0,0,0,0
54:06:00,30:27:00,Hampus Olsson (HC Erlangen) überwindet den Torwart von (RA) zum neuen Spielstand von 30:27.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
53:46:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,0,0,0
53:29:00,30:26:00,Jacob Arenth Lassen (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 30:26.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
53:00:00,,Tor! Antonio Metzner (HC Erlangen) netzt ein zum neuen Spielstand von 29:26.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
52:38:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,0,0,0
52:35:00,,Auszeit HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,1,0,0,0,0,0,0
52:11:00,,"Der Trainer von HC Erlangen, Raúl Alonso stellt nun Klemen Ferlin zwischen die Pfosten.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
52:06:00,,Überragende Parade des Torwarts Johannes Bitter (Handball Sport Verein Hamburg)! Manuel Zehnder kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
51:48:00,29:25:00,"Neuer Spielstand in Hamburg, 29:25 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
51:37:00,,Tor (6M)! Nico Büdel (HC Erlangen) netzt ein zum neuen Spielstand von 28:25.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
51:27:00,,Nun wird Bertram Obling für HC Erlangen im Tor stehen.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
51:09:00,,Klemen Ferlin (HC Erlangen) mit einer Parade beim 7-Meter.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
50:54:00,,Torwartwechsel bei Handball Sport Verein Hamburg. Johannes Bitter kommt für Jens Vortmann.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
50:26:00,28:24:00,Der 7-Meter wurde von Hampus Olsson (HC Erlangen) erfolgreich verwandelt.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
50:14:00,,Handball Sport Verein Hamburg wechselt den Torwart. Jens Vortmann kommt für Johannes Bitter.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
49:29:00,28:23:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 28:23.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
49:09:00,,Leif Tissier von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
48:41:00,,Zeitstrafe vorbei HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
48:39:00,27:23:00,"Neuer Spielstand in Hamburg, 27:23 durch den Treffer von Antonio Metzner für HC Erlangen.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
47:55:00,27:22:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 27:22.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
46:59:00,,Siebter Spieler eingewechselt HC Erlangen,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,1,0,1,0,0
46:52:00,26:22:00,Tor (6M)! Niklas Weller (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 26:22.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,0,0
46:34:00,,"Nach einem harten Foul hat Tim Zechel (HC Erlangen) nun zwei Minuten Zeit, um sich auszuruhen.",Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,1,1,0
45:32:00,,Lutz Heiny von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,HC Erlangen,0,0,0,0,0,0,0,0
