Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:50:00,24:21:00,Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 24:21.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,1,0,0
59:29:00,,Adam Nyfjäll (HSG Wetzlar) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,1,1,0
59:22:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Jens Vortmann.",Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
59:14:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
59:03:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
58:54:00,,Niklas Weller von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
58:22:00,23:21,"Neuer Spielstand in Hamburg, 23:21 durch den Treffer RA von Lars Weissgerber für HSG Wetzlar.",Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
58:12:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
57:58:00,,"Der Torwart von HSG Wetzlar, Anadin Suljakovic hält den Wurf von Dani Baijens.",Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
57:27:00,23:20,"Neuer Spielstand in Hamburg, 23:20 durch den Treffer von Stefan Cavor für HSG Wetzlar.",Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
57:25:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
57:13:00,23:19,Dani Baijens (Handball Sport Verein Hamburg) trifft zum Spielstand von 23:19 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
56:48:00,,Anadin Suljakovic (HSG Wetzlar) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
56:37:00,22:19,Tor (6M)! Stefan Cavor (HSG Wetzlar) netzt ein zum neuen Spielstand von 22:19.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
56:25:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
56:14:00,,Der 7-Meter von Casper Ulrich Mortensen (Handball Sport Verein Hamburg) landet nicht im Tor.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
56:10:00,,Der eingewechselte Torwart Till Klimpke (HSG Wetzlar) steht nun zwischen den Pfosten.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
55:18:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
55:18:00,,Siebter Spieler eingewechselt HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,1,0,0,0,0
55:05:00,22:17,Tor! Dominik Axmann (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 22:17.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
54:26:00,,Auszeit Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,HSG Wetzlar,1,0,0,0,0,0,0,0
53:43:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
52:57:00,,Auszeit HSG Wetzlar.,Handball Sport Verein Hamburg,HSG Wetzlar,0,1,0,0,0,0,0,0
52:34:00,21:17,Tor nach Tempogegenstoß. Die Abwehr von Handball Sport Verein Hamburg steht gut und Dominik Axmann trifft souverän zum 21:17.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
51:47:00,20:17,Dominik Axmann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 20:17.,Handball Sport Verein Hamburg,HSG Wetzlar,0,0,0,0,0,0,0,0
