Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:57:00,32:26:00,Thies Bergemann (Handball Sport Verein Hamburg) trifft von (RA). Neuer Spielstand in Sporthalle Hamburg: 32:26.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
59:29:00,31:26:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft zum Spielstand von 31:26 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:56:00,31:25:00,Andreas Magaard (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 31:25.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
58:25:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
58:23:00,,Der 7-Meter von Veit Mävers (Hannover-Burgdorf) landet nicht im Tor.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:44:00,30:25:00,Thies Bergemann (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 30:25.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
57:17:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
56:45:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,1,0,1,0,0,0
56:37:00,29:25:00,Tor! Branko Vujovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 29:25.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
56:22:00,,Casper Ulrich Mortensen geht den Gegner zu stark an. Handball Sport Verein Hamburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,1
56:18:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
56:07:00,29:24:00,"Neuer Spielstand in Hamburg, 29:24 durch den Treffer von Casper Ulrich Mortensen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
55:01:00,,Der Spieler Marius Steinhauser von Hannover-Burgdorf vergibt den 7-Meter.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
54:34:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
54:23:00,28:24:00,"Neuer Spielstand in Hamburg, 28:24 durch den Treffer 6M von Andreas Magaard für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:55:00,,"Neuer Spielstand in Hamburg, 27:24 durch den Treffer 6M von Uladzislau Kulesh für Hannover-Burgdorf.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:43:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
53:28:00,27:23:00,"Neuer Spielstand in Hamburg, 27:23 durch den Treffer von Jacob Arenth Lassen für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
53:12:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,1,0,0,0,0,0,0,0
52:49:00,26:23:00,Tor! Marius Steinhauser (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 26:23.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:21:00,26:22:00,Tor (6M)! Thies Bergemann (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 26:22.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:19:00,,Ilija Brozovic von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
52:04:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,0,0,0
51:41:00,25:22:00,Leif Tissier (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 25:22.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
51:03:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50:56:00,24:22:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft zum Spielstand von 24:22 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
50:30:00,,"Jacob Arenth Lassen wirft auf das Tor, trifft aber nur den Pfosten.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
49:17:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,1,0,1,0,0,0
49:15:00,24:21:00,Vincent Büchner (Hannover-Burgdorf) trifft von (LA). Neuer Spielstand in Sporthalle Hamburg: 24:21.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:58:00,,2-Minuten-Strafe für Azat Valiullin. Handball Sport Verein Hamburg muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,1
48:51:00,24:20:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) überwindet den Torwart von (LA) zum neuen Spielstand von 24:20.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
48:35:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,1,0,0,0,0,0
48:31:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:10:00,23:20,"Neuer Spielstand in Hamburg, 23:20 durch den Treffer 6M von Marius Steinhauser für Hannover-Burgdorf.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
48:04:00,,Jens Vortmann (Handball Sport Verein Hamburg) hält den Wurf von Ilija Brozovic.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47:21:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Casper Ulrich Mortensen kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,0
47:02:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,1,0,1,0,0,0
46:28:00,,Niklas Weller (Handball Sport Verein Hamburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,1,0,0,1
46:27:00,,Zeitstrafe vorbei Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45:57:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,1,0,0
45:48:00,23:19,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 23:19.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45:28:00,22:19,Marian Michalczik (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 22:19.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
45:10:00,,Auszeit Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,1,0,0,0,1,0,0
44:50:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,1,0,1,0,0
44:42:00,22:18,Tor! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 22:18.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,1,0,0
44:23:00,,Es gibt eine 2 Minuten Strafe für Ilija Brozovic (Hannover-Burgdorf).,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,1,1,0
43:45:00,,"Der Torwart von Handball Sport Verein Hamburg, Jens Vortmann pariert den Wurf.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
43:12:00,21:18,"Neuer Spielstand in Hamburg, 21:18 durch den Treffer von Andreas Magaard für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
42:06:00,20:18,Ilija Brozovic (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 20:18.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41:31:00,,Dani Baijens von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41:25:00,20:17,Veit Mävers (Hannover-Burgdorf) trifft zum Spielstand von 20:17 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
41:09:00,20:16,Tor (6M)! Jacob Arenth Lassen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 20:16.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:37:00,,"Gute Torchance, aber Maximilian Gerbl (Hannover-Burgdorf) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
40:07:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
39:32:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
38:37:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
37:45:00,19:16,"Neuer Spielstand in Hamburg, 19:16 durch den Treffer RM/fern von Marian Michalczik für Hannover-Burgdorf.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
36:23:00,,"Der Torwart von Handball Sport Verein Hamburg, Jens Vortmann hält den Wurf von Uladzislau Kulesh.",Handball Sport Verein Hamburg,Hannover-Burgdorf,0,0,0,0,0,0,0,0
