Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:33:00,33:28:00,Tor! Thore Feit (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 33:28.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
59:04:00,,Arnar Freyr Arnarsson (MT Melsungen) trifft zum Spielstand von 32:28 in Barclays Arena.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
58:55:00,,Adam Morawski (MT Melsungen) hält den Wurf von Tobias Schimmelbauer.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
58:18:00,,Überragende Parade des Torwarts Alexander Pinski (Handball Sport Verein Hamburg)! Gleb Kalarash kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
58:13:00,,Siebter Spieler eingewechselt MT Melsungen,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,1,0,0,0,0
57:50:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,MT Melsungen,1,0,0,0,0,0,0,0
57:49:00,32:27:00,"Neuer Spielstand in Hamburg, 32:27 durch den Treffer von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
57:40:00,,Handball Sport Verein Hamburg wechselt den Torwart. Alexander Pinski kommt für Jens Vortmann.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
56:38:00,31:27:00,Leif Tissier (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 31:27.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
55:39:00,,Tor (6M)! André Gomes (MT Melsungen) netzt ein zum neuen Spielstand von 30:27.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
55:33:00,,"Der Torwart von MT Melsungen, Adam Morawski pariert den Wurf.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
54:46:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
54:21:00,,Leif Tissier (Handball Sport Verein Hamburg) scheitert am Torwart Adam Morawski (MT Melsungen).,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
53:08:00,30:26:00,Dani Baijens (Handball Sport Verein Hamburg) trifft von (6M). Neuer Spielstand in Barclays Arena: 30:26.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
52:42:00,29:26:00,"Neuer Spielstand in Hamburg, 29:26 durch den Treffer RM/fern von André Gomes für MT Melsungen.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
52:17:00,,Zeitstrafe vorbei MT Melsungen,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
52:07:00,29:25:00,"Tor von der 7-Meter Linie von Frederik Bo Andersen (Handball Sport Verein Hamburg), neuer Spielstand 29:25.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
51:47:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,MT Melsungen,1,0,0,0,0,1,0,0
51:41:00,,Jens Vortmann (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
51:39:00,28:25:00,Arnar Freyr Arnarsson (MT Melsungen) überwindet den Torwart zum neuen Spielstand von 28:25.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
51:20:00,,Siebter Spieler eingewechselt MT Melsungen,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,1,0,1,0,0
51:01:00,28:24:00,Leif Tissier (Handball Sport Verein Hamburg) trifft zum Spielstand von 28:24 in Barclays Arena.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
50:55:00,,Agustin Casado Marcelo (MT Melsungen) trifft von (6M). Neuer Spielstand in Barclays Arena: 27:24.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
50:32:00,,Siebter Spieler eingewechselt MT Melsungen,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,1,0,1,0,0
50:13:00,27:23:00,Frederik Bo Andersen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 27:23.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,0,0
49:47:00,,Es gibt eine 2 Minuten Strafe für Gleb Kalarash (MT Melsungen).,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,1,1,0
49:06:00,26:23:00,David Mandic (MT Melsungen) überwindet den Torwart von (LA) zum neuen Spielstand von 26:23.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
48:07:00,26:22:00,Tor! Niklas Weller (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 26:22.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
47:55:00,,Tor (RA)! Timo Kastening (MT Melsungen) netzt ein zum neuen Spielstand von 25:22.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
47:20:00,,Fehlwurf von Dani Baijens (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
46:50:00,,Nun wird Jens Vortmann für Handball Sport Verein Hamburg im Tor stehen.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
46:36:00,25:21:00,Der 7-Meter wurde von Timo Kastening (MT Melsungen) erfolgreich verwandelt.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
46:31:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Alexander Pinski zwischen die Pfosten.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
45:53:00,25:20:00,"Neuer Spielstand in Hamburg, 25:20 durch den Treffer 6M von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
45:24:00,,Jens Vortmann (Handball Sport Verein Hamburg) hält den Wurf von Kai Häfner.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
45:06:00,,Siebter Spieler eingewechselt MT Melsungen,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,1,0,0,0,0
44:07:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,1,0,0,0
44:01:00,24:20:00,"Neuer Spielstand in Hamburg, 24:20 durch den Treffer von Agustin Casado Marcelo für MT Melsungen.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,1,0,0,0
43:37:00,24:19:00,Leif Tissier (Handball Sport Verein Hamburg) trifft zum Spielstand von 24:19 in Barclays Arena.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,1,0,0,0
42:27:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,MT Melsungen,0,0,1,0,1,0,0,0
42:10:00,,Kai Häfner (MT Melsungen) trifft von (6M). Neuer Spielstand in Barclays Arena: 23:19.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,1,0,0,0
41:53:00,,Dani Baijens (Handball Sport Verein Hamburg) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,1,0,0,1
41:34:00,,"Block von Arnar Freyr Arnarsson, der den Torwurf von Dani Baijens verhindert.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
39:56:00,,"Der Torwart von Handball Sport Verein Hamburg, Jens Vortmann pariert den Wurf.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
39:28:00,23:18,"Neuer Spielstand in Hamburg, 23:18 durch den Treffer 6M von Andreas Magaard für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,MT Melsungen,0,0,0,0,0,0,0,0
