Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:53:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) hält den Wurf von Leif Tissier.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:29:00,28:31:00,Lukas Binder (SC DHfK Leipzig) trifft von (6M). Neuer Spielstand in Barclays Arena: 28:31.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
59:07:00,28:30:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (LA). Neuer Spielstand in Barclays Arena: 28:30.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:57:00,,Fehlwurf von Sime Ivic (SC DHfK Leipzig).,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:33:00,,Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig) mit einer Parade.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
58:19:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,SC DHfK Leipzig,1,0,0,0,0,0,0,0
58:18:00,27:30:00,"Neuer Spielstand in Hamburg, 27:30 durch den Treffer 6M von Luca Witzke für SC DHfK Leipzig.",Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:54:00,,Lattenkracher von Leif Tissier (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
57:17:00,27:29:00,Lucas Krzikalla (SC DHfK Leipzig) trifft von der 7-Meter Linie und bringt den Spielstand auf 27:29.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:33:00,,Niklas Weller (Handball Sport Verein Hamburg) scheitert am Torwart Mohamed Essam Moustafa El-Tayar (SC DHfK Leipzig).,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:21:00,,Alexander Pinski (Handball Sport Verein Hamburg) mit einer Parade.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
56:20:00,27:28:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft zum Spielstand von 27:28 in Barclays Arena.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:43:00,26:28:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart von (6M) zum neuen Spielstand von 26:28.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
54:06:00,26:27:00,Tor! Luca Witzke (SC DHfK Leipzig) netzt ein zum neuen Spielstand von 26:27.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:55:00,26:26:00,Tor (6M)! Andreas Magaard (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 26:26.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:48:00,,Lukas Binder blockt den Wurf von Leif Tissier.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
53:03:00,,Maciej Gebala von SC DHfK Leipzig unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:33:00,,"Der Torwart von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar hält den Wurf von Azat Valiullin.",Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:06:00,25:26:00,Patrick Wiesmach (SC DHfK Leipzig) überwindet den Torwart zum neuen Spielstand von 25:26.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
52:02:00,,"Parade des Torwarts von SC DHfK Leipzig, Mohamed Essam Moustafa El-Tayar.",Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:47:00,25:25:00,"Neuer Spielstand in Hamburg, 25:25 durch den Treffer von Maciej Gebala für SC DHfK Leipzig.",Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,0,0,0
51:20:00,,Zeitstrafe vorbei SC DHfK Leipzig,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
51:20:00,,Auszeit SC DHfK Leipzig,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,1,0,0,0,1,0,0
50:50:00,25:24:00,Thies Bergemann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 25:24.,Handball Sport Verein Hamburg,SC DHfK Leipzig,0,0,0,0,0,1,0,0
