Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:58:00,,"Gute Torchance, aber Urh Kastelic (TBV Lemgo Lippe) kann diese nicht erfolgreich verwandeln.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:51:00,,Fehlwurf von Leif Tissier (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:34:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
59:25:00,28:32:00,Tor! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 28:32.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:22:00,,Auszeit TBV Lemgo Lippe.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
58:59:00,28:31:00,"Neuer Spielstand in Hamburg, 28:31 durch den Treffer RA von Thies Bergemann für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:48:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
57:55:00,27:31:00,Tor (6M)! Andreas Magaard (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 27:31.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:46:00,,"Block von Jan Brosch, der den Torwurf von Dani Baijens verhindert.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:43:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
57:35:00,26:31:00,Lukas Hutecek (TBV Lemgo Lippe) überwindet den Torwart von (6M) zum neuen Spielstand von 26:31.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:51:00,26:30:00,Dani Baijens (Handball Sport Verein Hamburg) trifft zum Spielstand von 26:30 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:30:00,,Auszeit Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
56:29:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
56:26:00,25:30:00,Tor! Lukas Zerbe (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 25:30.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:44:00,,Urh Kastelic (TBV Lemgo Lippe) hält den Wurf von Dominik Axmann.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:39:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,1,0,0,0,0,0
55:36:00,,Nun wird Urh Kastelic für TBV Lemgo Lippe im Tor stehen.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:25:00,25:29:00,"Neuer Spielstand in Hamburg, 25:29 durch den Treffer von Lukas Zerbe für TBV Lemgo Lippe.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:56:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
54:41:00,25:28:00,Der 7-Meter wurde von Frederik Bo Andersen (Handball Sport Verein Hamburg) erfolgreich verwandelt.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:36:00,,"Der Trainer von TBV Lemgo Lippe, Florian Kehrmann stellt nun Finn Zecher zwischen die Pfosten.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:26:00,24:28:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 24:28.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:53:00,,"Wurfversuch von Dani Baijens (Handball Sport Verein Hamburg), aber der Ball landet an der Latte.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:43:00,,Parade von Torwart Alexander Pinski (Handball Sport Verein Hamburg).,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:20:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
53:03:00,,Niklas Weller von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:36:00,24:27:00,Niels Gerardus Versteijnen (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in Sporthalle Hamburg: 24:27.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:09:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
52:01:00,24:26:00,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 24:26.,Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:11:00,23:26,"Neuer Spielstand in Hamburg, 23:26 durch den Treffer von Tobias Schimmelbauer für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
