Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Block von Dominik Axmann, der den Torwurf von Ivan Sliskovic verhindert.",Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
59:53:00,27:27:00,"Neuer Spielstand in Hamburg, 27:27 durch den Treffer 6M von Dani Baijens für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
59:44:00,,Max Häfner von TVB Stuttgart unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
59:20:00,,Auszeit TVB Stuttgart,Handball Sport Verein Hamburg,TVB Stuttgart,0,1,0,0,0,1,0,0
58:57:00,,"Der Torwart von TVB Stuttgart, Miljan Vujovic pariert den gegebenen 7-Meter.",Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
58:53:00,,2-Minuten-Strafe für Jerome Müller. TVB Stuttgart muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,1,0
58:05:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,1,0,0,0,0,0
58:03:00,26:27:00,Nicolai Theilinger (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 26:27.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
57:34:00,,Überragende Parade des Torwarts Jens Vortmann (Handball Sport Verein Hamburg)! Jerome Müller kann den Ball nicht im Tor unterbringen!,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
57:04:00,,Dani Baijens (Handball Sport Verein Hamburg) scheitert am Torwart Miljan Vujovic (TVB Stuttgart).,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
56:19:00,,Auszeit Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,TVB Stuttgart,1,0,0,0,0,0,0,0
56:19:00,25:27:00,Max Häfner (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 25:27.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
56:18:00,,Zeitstrafe vorbei TVB Stuttgart,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
56:03:00,,Siebter Spieler eingewechselt TVB Stuttgart,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,1,0,1,0,0
55:46:00,,Miljan Vujovic (TVB Stuttgart) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
55:44:00,25:26:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von (LA). Neuer Spielstand in Sporthalle Hamburg: 25:26.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
55:10:00,24:26:00,Tor! Marino Maric (TVB Stuttgart) netzt ein zum neuen Spielstand von 24:26.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
54:45:00,,Siebter Spieler eingewechselt TVB Stuttgart,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,1,0,1,0,0
54:25:00,24:25:00,"Neuer Spielstand in Hamburg, 24:25 durch den Treffer von Thies Bergemann für Handball Sport Verein Hamburg.",Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,0,0
54:11:00,,Fynn-Luca Nicolaus (TVB Stuttgart) erhält eine 2 Minuten Strafe.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,1,1,0
53:55:00,23:25,Tor (6M)! Jerome Müller (TVB Stuttgart) netzt ein zum neuen Spielstand von 23:25.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
53:15:00,23:24,Dominik Axmann (Handball Sport Verein Hamburg) trifft zum Spielstand von 23:24 in Sporthalle Hamburg.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
52:33:00,,Patrick Zieker (TVB Stuttgart) trifft von (LA). Neuer Spielstand in Sporthalle Hamburg: 22:24.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
52:03:00,,Auszeit TVB Stuttgart,Handball Sport Verein Hamburg,TVB Stuttgart,0,1,0,0,0,0,0,0
51:30:00,,Nicolai Theilinger von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,0,0,0,0
51:18:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,1,0,0,0
50:23:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,1,0,1,0,0,0
50:11:00,22:23,Tor (6M)! Egon Hanusz (TVB Stuttgart) netzt ein zum neuen Spielstand von 22:23.,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,1,0,0,0
49:55:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,1,0,0,0
49:47:00,22:22,"Tor von der 7-Meter Linie von Frederik Bo Andersen (Handball Sport Verein Hamburg), neuer Spielstand 22:22.",Handball Sport Verein Hamburg,TVB Stuttgart,0,0,0,0,1,0,0,0
