Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:49:00,30:32:00,Hannes Feise (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 30:32.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
59:41:00,29:32:00,Tor! Isak Persson (Bergischer HC) netzt ein zum neuen Spielstand von 29:32.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
59:19:00,,"Parade des Torwarts von Bergischer HC, Peter Johannesson.",Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
58:58:00,29:31:00,Tomas Babak (Bergischer HC) trifft zum Spielstand von 29:31 in der ZAG Arena.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
58:50:00,,Zeitstrafe vorbei für Bergischer HC.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
58:30:00,,"Der Torwart von Bergischer HC, Peter Johannesson, pariert den Wurf.",Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
58:18:00,29:30:00,Tor (6M)! Tomas Babak (Bergischer HC) netzt ein zum neuen Spielstand von 29:30.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
58:04:00,,Auszeit für Bergischer HC.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
57:44:00,29:29:00,"Neuer Spielstand in Hannover, 29:29 durch den Treffer RA von Maximilian Gerbl für Hannover-Burgdorf.",Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
57:20:00,,Isak Persson (Bergischer HC) scheitert am Torwart Dario Quenstedt (Hannover-Burgdorf).,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
57:04:00,,Siebter Spieler eingewechselt für Bergischer HC.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
56:50:00,28:29:00,Marius Steinhauser (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 28:29.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,0,0
56:45:00,,Lukas Stutzke (Bergischer HC) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,1,1,0
56:36:00,27:29:00,"Neuer Spielstand in Hannover, 27:29 durch den Treffer von Linus Arnesson für Bergischer HC.",Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
55:32:00,27:28:00,Marius Steinhauser (Hannover-Burgdorf) trifft von der 7-Meter Linie.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
55:13:00,,Überragende Parade des Torwarts Dario Quenstedt (Hannover-Burgdorf)! Tom Kare Nikolaisen kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
54:56:00,,Auszeit für Bergischer HC.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
54:40:00,,Maximilian Gerbl von Hannover-Burgdorf unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
54:07:00,,Der eingewechselte Torwart Peter Johannesson (Bergischer HC) steht nun zwischen den Pfosten.,Hannover-Burgdorf,Bergischer HC,0,0,0,0,0,0,0,0
