Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,28:24:00,Tor (6M)! Josip Sarac (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 28:24.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:48:00,28:23:00,Maximilian Gerbl (Hannover-Burgdorf) überwindet den Torwart von (RA) zum neuen Spielstand von 28:23.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:18:00,27:23:00,"Neuer Spielstand in Hannover, 27:23 durch den Treffer von Till Hermann für FRISCH AUF! Göppingen.",Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:43:00,27:22:00,Branko Vujovic (Hannover-Burgdorf) trifft zum Spielstand von 27:22 in ZAG Arena.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:55:00,,Auszeit FRISCH AUF! Göppingen,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
57:38:00,26:22:00,Uladzislau Kulesh (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 26:22.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:54:00,25:22:00,Tor! Jaka Malus (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 25:22.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:26:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
56:24:00,25:21:00,Branko Vujovic (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 25:21.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:49:00,,Überragende Parade des Torwarts Dario Quenstedt (Hannover-Burgdorf)! Jaka Malus kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
55:35:00,,"Der Trainer von Hannover-Burgdorf, Christian Prokop stellt nun Dario Quenstedt zwischen die Pfosten.",Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
54:58:00,24:21:00,"Tor! Es war Branko Vujovic (Hannover-Burgdorf), der das Tor von Maximilian Gerbl vorbereitete.",Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
54:39:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
54:28:00,,"Nach einem harten Foul hat Kresimir Kozina (FRISCH AUF! Göppingen) nun zwei Minuten Zeit, um sich auszuruhen.",Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,1,1,0
54:14:00,,Marin Sego (FRISCH AUF! Göppingen) hält den Wurf von Branko Vujovic.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
54:01:00,23:21,Tor (6M)! David Schmidt (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 23:21.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
54:01:00,,David Schmidt (FRISCH AUF! Göppingen) trifft von (6M). Neuer Spielstand in ZAG Arena: 23:20.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
52:54:00,,Uladzislau Kulesh (Hannover-Burgdorf) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,1
52:54:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,0,1,0,0
52:36:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
51:43:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
50:48:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
