,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
2,59:54:00,,Auszeit Hannover-Burgdorf,Hannover-Burgdorf,HC Erlangen,1,0,0,0,0,0,0,0
3,59:21:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
4,58:51:00,29:28:00,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie.,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
5,58:41:00,,"Der Torwart von Hannover-Burgdorf, Dario Quenstedt hält den Wurf von Lutz Heiny.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
6,58:06:00,,Auszeit HC Erlangen,Hannover-Burgdorf,HC Erlangen,0,1,0,0,0,0,0,0
7,58:01:00,,Der Wurf von HC Erlangen wurde geblockt.,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
8,57:52:00,29:27:00,"Neuer Spielstand in Hannover, 29:27 durch den Treffer 6M von Renars Uscins für Hannover-Burgdorf.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
9,57:19:00,28:27:00,"Tor von der 7-Meter Linie von Christoph Steinert (HC Erlangen), neuer Spielstand 28:27.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
10,56:59:00,28:26:00,Marian Michalczik (Hannover-Burgdorf) trifft zum Spielstand von 28:26 in ZAG Arena.,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
11,55:48:00,,"Antonio Metzner wirft auf das Tor, trifft aber nur den Pfosten.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
12,55:08:00,27:26:00,Tor! Marian Michalczik (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:26.,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
13,54:09:00,26:26:00,Tor! Tim Zechel (HC Erlangen) netzt ein zum neuen Spielstand von 26:26.,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
14,53:25:00,,Parade von Torwart Klemen Ferlin (HC Erlangen).,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
15,52:52:00,,"Parade des Torwarts von Hannover-Burgdorf, Dario Quenstedt.",Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
16,52:26:00,,Überragende Parade des Torwarts Dario Quenstedt (Hannover-Burgdorf)! Johannes Sellin kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,HC Erlangen,0,0,0,0,0,0,0,0
