,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:54:00,23:26,Emil Mellegard (HSG Wetzlar) trifft von (LA). Neuer Spielstand in ZAG Arena: 23:26.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
2,59:46:00,,Nun wird Till Klimpke für HSG Wetzlar im Tor stehen.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
3,59:35:00,23:25,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 23:25.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
4,59:29:00,,Anadin Suljakovic (HSG Wetzlar) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
5,59:15:00,,Emil Mellegard von HSG Wetzlar unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
6,59:03:00,22:25,Marian Michalczik (Hannover-Burgdorf) trifft zum Spielstand von 22:25 in ZAG Arena.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,0,0,0,0
7,59:00:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,0,0,0
8,58:53:00,,"Wurf von Branko Vujovic (Hannover-Burgdorf), aber der Ball landet nur am Pfosten.",Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,0,0,0
9,58:39:00,,Lenny Rubin blockt den Wurf von Branko Vujovic.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,0,0,0
10,58:26:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,HSG Wetzlar,0,0,1,0,1,0,0,0
11,58:14:00,21:25,Lenny Rubin (HSG Wetzlar) trifft zum Spielstand von 21:25 in ZAG Arena.,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,0,0,0
12,57:41:00,,Zeitstrafe vorbei HSG Wetzlar,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,1,0,0
13,57:31:00,,Parade von Torwart Till Klimpke (HSG Wetzlar).,Hannover-Burgdorf,HSG Wetzlar,0,0,0,0,1,1,0,0
14,57:09:00,,Auszeit Hannover-Burgdorf,Hannover-Burgdorf,HSG Wetzlar,1,0,0,0,1,1,0,0
15,57:09:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,HSG Wetzlar,0,0,1,0,1,1,0,0
