Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:56:00,,"Parade des Torwarts von Hannover-Burgdorf, Domenico Ebner.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
59:29:00,,Auszeit Handball Sport Verein Hamburg,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
58:58:00,28:27:00,Renars Uscins (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 28:27.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
58:19:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Niklas Weller kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:51:00,27:27:00,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
57:09:00,26:27:00,Thies Bergemann (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 26:27.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:30:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter pariert den Wurf.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:18:00,26:26:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft zum Spielstand von 26:26 in ZAG Arena.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
56:08:00,,"Marian Michalczik (RL/fern) wirft, jedoch neben das Tor.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:44:00,26:25:00,"Neuer Spielstand in Hannover, 26:25 durch den Treffer von Niklas Weller für Handball Sport Verein Hamburg.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:31:00,26:24:00,Tor! Ilija Brozovic (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 26:24.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
55:00:00,,Hannes Feise (Hannover-Burgdorf) scheitert am Torwart Johannes Bitter (Handball Sport Verein Hamburg).,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:34:00,25:24:00,Dani Baijens (Handball Sport Verein Hamburg) überwindet den Torwart von (6M) zum neuen Spielstand von 25:24.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
54:20:00,25:23:00,Tor (RM/fern)! Uladzislau Kulesh (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 25:23.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
53:59:00,,Dominik Axmann blockt den Wurf von Uladzislau Kulesh.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
52:36:00,24:23:00,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 24:23.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
51:30:00,,Der Wurf von Uladzislau Kulesh (Hannover-Burgdorf) landet hinter dem Tor.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
50:22:00,24:22:00,Thies Bergemann (Handball Sport Verein Hamburg) überwindet den Torwart zum neuen Spielstand von 24:22.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:56:00,,"Der Torwart von Handball Sport Verein Hamburg, Johannes Bitter hält den Wurf von Hannes Feise.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:48:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
49:43:00,24:21:00,Jonathan Edvardsson (Hannover-Burgdorf) trifft zum Spielstand von 24:21 in ZAG Arena.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48:58:00,23:21,"Neuer Spielstand in Hannover, 23:21 durch den Treffer 6M von Dominik Axmann für Handball Sport Verein Hamburg.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
48:48:00,23:20,"Neuer Spielstand in Hannover, 23:20 durch den Treffer von Renars Uscins für Hannover-Burgdorf.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:53:00,,Nun wird Domenico Ebner für Hannover-Burgdorf im Tor stehen.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:47:00,22:20,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) trifft von der 7-Meter Linie.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:29:00,,Der eingewechselte Torwart Dario Quenstedt (Hannover-Burgdorf) steht nun zwischen den Pfosten.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
47:23:00,22:19,Jonathan Edvardsson (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 22:19.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
46:34:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
46:23:00,,Auszeit Handball Sport Verein Hamburg,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
46:13:00,21:19,Tor! Hannes Feise (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 21:19.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
45:53:00,20:19,Maximilian Gerbl (Hannover-Burgdorf) überwindet den Torwart von (RA) zum neuen Spielstand von 20:19.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
45:15:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
44:37:00,,Domenico Ebner (Hannover-Burgdorf) mit einer Parade.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
43:29:00,19:19,Tor! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 19:19.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
42:33:00,,Azat Valiullin (Handball Sport Verein Hamburg) trifft zum Spielstand von 18:19 in ZAG Arena.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
41:54:00,18:19,"Tor von der 7-Meter Linie von Casper Ulrich Mortensen (Handball Sport Verein Hamburg), neuer Spielstand 18:18.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
40:57:00,18:18,Der Wurfversuch von Dominik Axmann (Handball Sport Verein Hamburg) wurde durch einen Block von Veit Mävers verhindert.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
40:05:00,18:17,Der 7-Meter wurde von Maximilian Gerbl (Hannover-Burgdorf) erfolgreich verwandelt.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39:51:00,,Johannes Bitter (Handball Sport Verein Hamburg) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39:51:00,,Nun wird Ivan Budalic für Handball Sport Verein Hamburg im Tor stehen.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39:51:00,,"Der Trainer von Handball Sport Verein Hamburg, Torsten Jansen stellt nun Johannes Bitter zwischen die Pfosten.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
39:51:00,,Handball Sport Verein Hamburg wechselt den Torwart. Ivan Budalic kommt für Johannes Bitter.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
38:47:00,17:17,Tor (LA)! Casper Ulrich Mortensen (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 17:17.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
38:37:00,17:16,Jonathan Edvardsson (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 17:16.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
37:46:00,,"Der Torwart von Hannover-Burgdorf, Domenico Ebner pariert den Wurf.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
36:56:00,16:16,Ilija Brozovic (Hannover-Burgdorf) überwindet den Torwart zum neuen Spielstand von 16:16.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
36:41:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Dominik Axmann kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
35:36:00,15:16,"Neuer Spielstand in Hannover, 15:16 durch den Treffer von Marian Michalczik für Hannover-Burgdorf.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
35:26:00,,Domenico Ebner (Hannover-Burgdorf) hält den Wurf von Casper Ulrich Mortensen.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
35:08:00,,Fehlwurf von Jonathan Edvardsson (Hannover-Burgdorf).,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
34:59:00,14:16,"Neuer Spielstand in Hannover, 14:16 durch den Treffer RA von Thies Bergemann für Handball Sport Verein Hamburg.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
34:01:00,14:15,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 14:15.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
33:17:00,,Thies Bergemann von Handball Sport Verein Hamburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
32:35:00,13:15,"Neuer Spielstand in Hannover, 13:15 durch den Treffer von Maximilian Gerbl für Hannover-Burgdorf.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
32:26:00,,Zeitstrafe vorbei Handball Sport Verein Hamburg,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
31:55:00,12:15,Tor! Dani Baijens (Handball Sport Verein Hamburg) netzt ein zum neuen Spielstand von 12:15.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
31:27:00,,Siebter Spieler eingewechselt Handball Sport Verein Hamburg,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,1,0,1,0,0
30:39:00,,"Parade des Torwarts von Handball Sport Verein Hamburg, Johannes Bitter.",Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
HALBZ,12:14,,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,1,0,0
30:00:00,,Casper Ulrich Mortensen (Handball Sport Verein Hamburg) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,1,1,0
29:53:00,,Jacob Arenth Lassen (Handball Sport Verein Hamburg) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
29:49:00,12:14,Maximilian Gerbl (Hannover-Burgdorf) trifft von der 7-Meter Linie und bringt den Spielstand auf 12:14.,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
28:57:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,0,0,0,0,0,0,0
28:22:00,,Auszeit Handball Sport Verein Hamburg,Hannover-Burgdorf,Handball Sport Verein Hamburg,0,1,0,0,0,0,0,0
