Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:50:00,,Fehlwurf von Veit Mävers (Hannover-Burgdorf).,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
59:43:00,,"Der Torwart von SC Magdeburg, Mike Jensen hält den Wurf von Evgeni Pevnov.",Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
59:26:00,,Der Wurf von Gisli Thorgeir Kristjansson (SC Magdeburg) landet hinter dem Tor.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
59:11:00,34:31:00,Tor (RA)! Maximilian Gerbl (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 34:31.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
58:43:00,33:31:00,Kay Smits (SC Magdeburg) trifft von der 7-Meter Linie und bringt den Spielstand auf 33:31.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
58:34:00,,Zeitstrafe vorbei SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
58:25:00,,Siebter Spieler eingewechselt SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,0,0,1,0,1,0,0
58:24:00,33:30:00,Evgeni Pevnov (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 33:30.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
58:01:00,32:30:00,Gisli Thorgeir Kristjansson (SC Magdeburg) überwindet den Torwart zum neuen Spielstand von 32:30.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
57:34:00,,Siebter Spieler eingewechselt SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,0,0,1,0,1,0,0
57:24:00,32:29:00,"Neuer Spielstand in Hannover, 32:29 durch den Treffer von Vincent Büchner für Hannover-Burgdorf.",Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
57:14:00,,Der eingewechselte Torwart Mike Jensen (SC Magdeburg) steht nun zwischen den Pfosten.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
56:57:00,31:29:00,"Neuer Spielstand in Hannover, 31:29 durch den Treffer 6M von Kay Smits für SC Magdeburg.",Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
56:46:00,31:28:00,Evgeni Pevnov (Hannover-Burgdorf) trifft zum Spielstand von 31:28 in ZAG Arena.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
56:38:00,,Auszeit SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,1,0,0,0,1,0,0
56:24:00,30:28:00,Oscar Bergendahl (SC Magdeburg) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,1,0
56:23:00,30:27:00,"Neuer Spielstand in Hannover, 30:27 durch den Treffer 6M von Evgeni Pevnov für Hannover-Burgdorf.",Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
55:50:00,29:27:00,Tor (6M)! Michael Damgaard (SC Magdeburg) netzt ein zum neuen Spielstand von 29:27.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,0,0,0
55:28:00,,Zeitstrafe vorbei SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
55:18:00,29:26:00,Der 7-Meter wurde von Marius Steinhauser (Hannover-Burgdorf) erfolgreich verwandelt.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
54:25:00,,Kay Smits von SC Magdeburg unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
53:57:00,,Siebter Spieler eingewechselt SC Magdeburg,Hannover-Burgdorf,SC Magdeburg,0,0,0,1,0,1,0,0
53:46:00,28:26:00,Maximilian Gerbl (Hannover-Burgdorf) überwindet den Torwart von (RA) zum neuen Spielstand von 28:26.,Hannover-Burgdorf,SC Magdeburg,0,0,0,0,0,1,0,0
