,Time,Score,Event.Description,hometeam,awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:58:00,,"August Baskar Pedersen wirft auf das Tor, trifft aber nur den Pfosten.",Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,59:52:00,,Überragende Parade des Torwarts Kevin Møller (SG Flensburg-Handewitt)! Uladzislau Kulesh kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
3,59:11:00,25:35:00,Tor! Lasse Kjær Møller (SG Flensburg-Handewitt) netzt ein zum neuen Spielstand von 25:35.,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
4,58:39:00,,"Der Torwart von SG Flensburg-Handewitt, Kevin Møller hält den Wurf von Ilija Brozovic.",Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
5,57:49:00,25:34:00,Teitur Örn Einarsson (SG Flensburg-Handewitt) trifft zum Spielstand von 25:34 in ZAG Arena.,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
6,57:18:00,25:33:00,Renars Uscins (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 25:33.,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,57:02:00,,"Wurf von Uladzislau Kulesh (Hannover-Burgdorf), aber der Ball landet nur am Pfosten.",Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
8,56:50:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
9,56:27:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,1,0,1,0,0,0
10,56:25:00,24:33:00,"Neuer Spielstand in Hannover, 24:33 durch den Treffer von Lasse Kjær Møller für SG Flensburg-Handewitt.",Hannover-Burgdorf,SG Flensburg-Handewitt,0,0,0,0,1,0,0,0
