,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 29:25.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
2,59:35:00,29:24:00,Ilija Brozovic (Hannover-Burgdorf) trifft zum Spielstand von 29:24 in ZAG Arena.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
3,58:55:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
4,58:50:00,,"Block von Gedeon Guardiola, der den Torwurf von Branko Vujovic verhindert.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
5,57:55:00,,Gedeon Guardiola von TBV Lemgo Lippe unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
6,57:21:00,28:24:00,"Tor von der 7-Meter Linie von Samuel Zehnder (TBV Lemgo Lippe), neuer Spielstand 28:24.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
7,57:05:00,28:23:00,"Neuer Spielstand in Hannover, 28:23 durch den Treffer von Ilija Brozovic für Hannover-Burgdorf.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
8,56:30:00,,Frederik Simak (TBV Lemgo Lippe) scheitert am Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
9,56:20:00,,Der Wurfversuch von Veit Mävers (Hannover-Burgdorf) wurde durch einen Block von Frederik Simak verhindert.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
10,55:30:00,,Überragende Parade des Torwarts Domenico Ebner (Hannover-Burgdorf)! Samuel Zehnder kann den Ball nicht im Tor unterbringen!,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
11,55:20:00,27:23:00,Tor! Veit Mävers (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:23.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
12,54:48:00,,Gedeon Guardiola blockt den Wurf von Branko Vujovic.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
13,54:24:00,,Zeitstrafe vorbei Hannover-Burgdorf,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
14,54:20:00,26:23:00,"Neuer Spielstand in Hannover, 26:23 durch den Treffer RA von Lukas Zerbe für TBV Lemgo Lippe.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
15,54:01:00,,Finn Zecher (TBV Lemgo Lippe) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
16,53:53:00,,"Der Trainer von TBV Lemgo Lippe, Florian Kehrmann stellt nun Timon Mühlenstädt zwischen die Pfosten.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
17,53:23:00,25:22:00,Samuel Zehnder (TBV Lemgo Lippe) überwindet den Torwart von (LA) zum neuen Spielstand von 25:22.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
18,52:58:00,,"Branko Vujovic (RM/fern) wirft, jedoch neben das Tor.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,0
19,52:32:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,1,0,1,0,0,0
20,52:23:00,,"Nach einem harten Foul hat Justus Fischer (Hannover-Burgdorf) nun zwei Minuten Zeit, um sich auszuruhen.",Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,1,0,0,1
21,52:23:00,25:21:00,Gedeon Guardiola (TBV Lemgo Lippe) trifft von (6M). Neuer Spielstand in ZAG Arena: 25:21.,Hannover-Burgdorf,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
