Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:52:00,27:29:00,"Neuer Spielstand in Hannover, 27:29 durch den Treffer RM/fern von Domagoj Duvnjak für THW Kiel.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,1,0,0
59:35:00,,Auszeit THW Kiel,Hannover-Burgdorf,THW Kiel,0,1,0,0,0,1,0,0
59:31:00,,Siebter Spieler eingewechselt THW Kiel,Hannover-Burgdorf,THW Kiel,0,0,0,1,0,1,0,0
59:23:00,27:28:00,Uladzislau Kulesh (Hannover-Burgdorf) trifft von (6M). Neuer Spielstand in ZAG Arena: 27:28.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,1,0,0
59:14:00,,Magnus Landin geht den Gegner zu stark an. THW Kiel muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,1,1,0
59:10:00,26:28:00,Harald Reinkind (THW Kiel) überwindet den Torwart zum neuen Spielstand von 26:28.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
58:27:00,,Fehlwurf von Filip Kuzmanovski (Hannover-Burgdorf).,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
58:15:00,,Auszeit Hannover-Burgdorf,Hannover-Burgdorf,THW Kiel,1,0,0,0,0,0,0,0
58:01:00,26:27:00,Tor! Magnus Landin (THW Kiel) netzt ein zum neuen Spielstand von 26:27.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
57:31:00,,Siebter Spieler eingewechselt THW Kiel,Hannover-Burgdorf,THW Kiel,0,0,0,1,0,0,0,0
57:24:00,,"Wurf von Marian Michalczik (Hannover-Burgdorf), aber der Ball landet nur am Pfosten.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
56:56:00,,"Block von Patrick Wiencek, der den Torwurf von Branko Vujovic verhindert.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
56:23:00,,Harald Reinkind von THW Kiel unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
56:15:00,,Der Wurfversuch von Eric Johansson (THW Kiel) wurde durch einen Block von Marian Michalczik verhindert.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
55:56:00,,Siebter Spieler eingewechselt THW Kiel,Hannover-Burgdorf,THW Kiel,0,0,0,1,0,0,0,0
55:49:00,,"Parade des Torwarts von THW Kiel, Tomas Mrkva.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
54:54:00,26:26:00,Patrick Wiencek (THW Kiel) überwindet den Torwart von (6M) zum neuen Spielstand von 26:26.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
54:38:00,,Der Wurf von Maximilian Gerbl (Hannover-Burgdorf) landet hinter dem Tor.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
54:17:00,26:25:00,Tor (6M)! Eric Johansson (THW Kiel) netzt ein zum neuen Spielstand von 26:25.,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
54:13:00,,Siebter Spieler eingewechselt THW Kiel,Hannover-Burgdorf,THW Kiel,0,0,0,1,0,0,0,0
53:52:00,26:24:00,"Neuer Spielstand in Hannover, 26:24 durch den Treffer von Maximilian Gerbl für Hannover-Burgdorf.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
53:50:00,,"Der Towart von THW Kiel, Tomas Mrkva pariert den gegebenen 7-Meter.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
53:18:00,,"Der Torwart von Hannover-Burgdorf, Dario Quenstedt pariert den Wurf.",Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
52:30:00,,Siebter Spieler eingewechselt THW Kiel,Hannover-Burgdorf,THW Kiel,0,0,0,1,0,0,0,0
52:18:00,,Überragende Parade des Torwarts Tomas Mrkva (THW Kiel)! Ilija Brozovic kann den Ball nicht im Tor...,Hannover-Burgdorf,THW Kiel,0,0,0,0,0,0,0,0
