,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,60:00:00,,"Neuer Spielstand in Hannover, 27:22 durch den Treffer von Ivan...",Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,1,0,0,0
2,59:56:00,,Siebter Spieler eingewechselt Hannover-Burgdorf,Hannover-Burgdorf,TVB Stuttgart,0,0,1,0,1,0,0,0
3,59:28:00,27:21:00,Tor! Ivan Sliskovic (TVB Stuttgart) netzt ein zum neuen Spielstand von 27:21.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,1,0,0,0
4,59:12:00,,Renars Uscins (Hannover-Burgdorf) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,1,0,0,1
5,58:23:00,27:20:00,Tor (6M)! Filip Kuzmanovski (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 27:20.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
6,57:53:00,26:20:00,Sascha Pfattheicher (TVB Stuttgart) überwindet den Torwart von (6M) zum neuen Spielstand von 26:20.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
7,57:45:00,,"Parade des Torwarts von TVB Stuttgart, Miljan Vujovic.",Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
8,57:29:00,26:19:00,Max Häfner (TVB Stuttgart) trifft zum Spielstand von 26:19 in ZAG Arena.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
9,57:19:00,26:18:00,Renars Uscins (Hannover-Burgdorf) überwindet den Torwart von (6M) zum neuen Spielstand von 26:18.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
10,57:00:00,,Miljan Vujovic (TVB Stuttgart) mit einer Parade.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
11,56:21:00,,"Der Trainer von Hannover-Burgdorf, Christian Prokop stellt nun Domenico Ebner zwischen die Pfosten.",Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
12,56:10:00,25:18:00,Sascha Pfattheicher (TVB Stuttgart) trifft von der 7-Meter Linie und bringt den Spielstand auf 25:18.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
13,56:03:00,,Dario Quenstedt (Hannover-Burgdorf) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
14,55:49:00,,Siebter Spieler eingewechselt TVB Stuttgart,Hannover-Burgdorf,TVB Stuttgart,0,0,0,1,0,0,0,0
15,55:21:00,25:17:00,Hannes Feise (Hannover-Burgdorf) trifft zum Spielstand von 25:17 in ZAG Arena.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
16,55:12:00,,Parade von Torwart Domenico Ebner (Hannover-Burgdorf).,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
17,54:58:00,,Siebter Spieler eingewechselt TVB Stuttgart,Hannover-Burgdorf,TVB Stuttgart,0,0,0,1,0,0,0,0
18,54:52:00,24:17:00,Tor (6M)! Renars Uscins (Hannover-Burgdorf) netzt ein zum neuen Spielstand von 24:17.,Hannover-Burgdorf,TVB Stuttgart,0,0,0,0,0,0,0,0
